N	2gram	Vygotskiy_	BTomashe
1	у нас	1	3
2	лучше и	1	2
3	все это	8	2
4	в ней	3	2
5	можно было	10	2
6	не то	1	2
7	стр и	1	2
8	больше чем	2	2
9	и не	16	2
10	видеть в	4	2
11	вопрос о	2	1
12	говорить о	1	1
13	со всем	1	1
14	не только	16	1
15	остановиться на	3	1
16	таким образом	36	1
17	следует конечно	1	1
18	в эпоху	1	1
19	прежде всего	6	1
20	и в	38	1
21	так и	11	1
22	на которой	2	1
23	это вместе	1	1
24	можно в	1	1
25	из своей	1	1
26	в своей	9	1
27	во всяком	10	1
28	и потому	2	1
29	и во	4	1
30	по нашему	2	1
31	за пределы	1	1
32	не уничтожается	1	1
33	же не	3	1
34	в речи	4	1
35	с другой	11	1
36	об этом	2	1
37	значение слова	7	1
38	свое название	2	1
39	совершенно не	1	1
40	не о	1	1
41	случае очень	1	1
42	другой стороны	5	1
43	всяком случае	10	1
44	кроме того	1	1
45	было бы	15	1
46	не следует	1	1
47	не признать	2	1
48	точно и	1	1
49	и ее	1	1
50	чем на	1	1
51	одной из	1	1
52	в значительной	1	1
53	по мотивам	1	1
54	в пределах	1	1
55	в данном	1	1
56	в области	9	1
57	из частичных	1	1
58	далеко не	2	1
59	тем более	2	1
60	то как	2	1
61	и более	4	1
62	что все	2	1
63	не все	1	1
64	нельзя не	2	1
65	нашему мнению	2	1
66	значительной степени	1	1
67	более подробно	1	1
68	также не	2	1
69	а не	7	1
70	отнюдь не	6	1
71	до конца	2	1
72	переходя к	1	1
73	представляется нам	1	1
74	сейчас в	2	1
75	и на	9	1
76	выходит за	1	1
77	по отдельным	1	1
78	между ними	6	1
79	еще не	6	1
80	к ней	2	1
81	все же	11	1
82	что в	31	1
