N	3gram	Bakhtin_Fr	OGranits
1	с точки зрения	4	5
2	не может быть	2	4
3	вполне понятно что	3	3
4	по отношению к	2	3
5	и т.п и	1	3
6	в том что	2	2
7	не что иное	1	2
8	в данном случае	3	2
9	есть не что	1	2
10	что иное как	1	2
11	с одной стороны	4	2
12	с другой стороны	5	2
13	с самого начала	1	2
14	и при анализе	1	2
15	само собой разумеется	1	1
16	в узком смысле	2	1
17	во всем разнообразии	1	1
18	на самом деле	5	1
19	важное значение имеет	1	1
20	в особенности в	1	1
21	те же самые	2	1
22	и тот же	3	1
23	все то что	2	1
24	включает в себя	1	1
25	но в то	7	1
26	это конечно не	1	1
27	к сожалению мы	1	1
28	эпохи но ведь	1	1
29	между тем как	1	1
30	подобно тому как	2	1
31	в значительной мере	1	1
32	в конечном счете	1	1
33	весь этот материал	1	1
34	в нашу задачу	2	1
35	что в ней	1	1
36	тех или иных	2	1
37	для того чтобы	5	1
38	том что в	1	1
39	и их функций	1	1
40	и некоторых других	1	1
41	все эти три	2	1
42	он и не	1	1
43	но это конечно	1	1
44	к слову в	1	1
45	в чем же	1	1
46	с одним из	1	1
47	что в основе	1	1
48	в связи со	2	1
49	в собственном смысле	1	1
50	входит в нашу	1	1
51	один и тот	3	1
52	в другом месте	1	1
53	в отличие от	3	1
54	узком смысле слова	2	1
55	как и в	2	1
56	в связи с	5	1
57	не входит в	1	1
58	то что в	1	1
59	во всем своем	1	1
60	только то что	2	1
61	и это особенно	1	1
62	стадиях своего развития	1	1
63	нет и не	1	1
64	еще тем что	1	1
65	в этом отношении	4	1
66	в своей статье	1	1
67	то же время	13	1
68	особенно часто мы	1	1
69	более или менее	1	1
70	в то же	13	1
71	само по себе	1	1
72	вместе с ними	1	1
73	прежде всего в	1	1
74	и следовательно в	1	1
75	и в области	1	1
76	там где нет	1	1
77	можно было бы	2	1
78	и вместе с	1	1
79	в последнем счете	1	1
80	и не может	1	1
81	а также и	4	1
82	может быть и	2	1
