N	2gram	Propp_Isto	formyVre
1	и в	44	148
2	в этом	20	73
3	в нем	10	51
4	прежде всего	7	46
5	и т	39	40
6	и не	19	37
7	в его	16	36
8	и его	15	36
9	вовсе не	6	35
10	но и	16	33
11	то же	9	32
12	не только	17	32
13	в литературе	1	32
14	но в	7	31
15	жизни и	4	31
16	в греческом	1	29
17	так и	9	29
18	может быть	31	27
19	не в	11	26
20	как мы	9	26
21	как и	12	25
22	как бы	4	25
23	точки зрения	3	24
24	мы уже	6	24
25	только в	8	23
26	в то	5	23
27	человека в	5	23
28	в том	13	22
29	то что	16	22
30	связи с	10	21
31	во всех	3	21
32	же время	1	21
33	все эти	11	21
34	в своем	3	19
35	и др	6	19
36	и на	11	19
37	в основном	5	19
38	и для	3	19
39	таким образом	21	18
40	у него	7	18
41	и все	4	18
42	еще не	16	18
43	по существу	2	18
44	при этом	4	17
45	те же	1	17
46	с этим	7	17
47	в особенности	6	17
48	так как	19	17
49	в пределах	5	17
50	человека и	2	17
51	все же	17	16
52	в связи	6	16
53	того же	3	16
54	в основе	3	16
55	и во	1	16
56	не может	10	16
57	в одном	2	15
58	в них	3	15
59	в дальнейшем	6	15
60	никогда не	5	15
61	с точки	1	15
62	с его	3	15
63	вместе с	26	15
64	лишь в	2	15
65	и как	5	14
66	и с	8	14
67	так же	14	14
68	в конце	1	14
69	всех этих	2	14
70	а не	5	14
71	все это	4	14
72	в самом	1	13
73	в котором	2	13
74	для того	3	13
75	друг с	2	13
76	во время	12	13
77	с ним	9	13
78	как в	11	13
79	роль в	3	13
80	здесь в	1	13
81	в их	1	13
82	с другом	2	13
83	в частности	9	13
84	того чтобы	3	13
85	а в	9	13
86	же в	3	13
87	конечно не	1	12
88	время в	2	12
89	не было	2	12
90	он не	5	12
91	отнюдь не	1	12
92	что в	18	12
93	это время	2	12
94	потому что	18	12
95	в истории	7	12
96	ничего не	4	12
97	но не	8	12
98	и наконец	2	12
99	из них	4	11
100	хотя и	1	11
101	его в	17	11
102	между ними	2	11
103	и у	3	11
104	ни в	2	11
105	в образе	16	11
106	смерть и	2	11
107	уже в	4	11
108	мира и	2	11
109	смерти в	2	11
110	в ней	8	11
111	и другие	5	10
112	уже не	14	10
113	входит в	5	10
114	в ее	4	10
115	сих пор	7	10
116	также и	2	10
117	до сих	7	10
118	уже говорили	1	10
119	на основе	1	10
120	здесь не	3	10
121	тот же	1	10
122	и даже	4	9
123	но все	8	9
124	их в	7	9
125	на этой	5	9
126	с другой	11	9
127	наряду с	7	9
128	здесь нет	3	9
129	к себе	3	9
130	и это	5	9
131	в других	4	9
132	могут быть	9	9
133	та же	2	9
134	оно не	1	9
135	том что	12	9
136	для него	2	9
137	есть в	2	9
138	и других	5	9
139	и к	3	8
140	в результате	1	8
141	в виду	1	8
142	в этих	7	8
143	время как	3	8
144	и смерть	2	8
145	к тому	1	8
146	но эти	4	8
147	в этот	2	8
148	в некоторых	6	8
149	все его	2	8
150	с одной	7	8
151	что и	11	8
152	в мире	1	8
153	героя и	3	8
154	здесь мы	7	8
155	здесь на	1	8
156	и по	3	8
157	один из	6	8
158	в жизни	1	8
159	если бы	5	8
160	связанные с	5	8
161	здесь и	2	8
162	мы еще	2	8
163	и то	5	8
164	том числе	3	8
165	во всяком	1	8
166	это не	8	8
167	а также	5	8
168	и потому	2	8
169	отношение к	3	8
170	отношению к	2	8
171	или иной	1	8
172	в целом	4	8
173	не как	5	7
174	широком смысле	1	7
175	связанных с	1	7
176	к ним	2	7
177	к этому	5	7
178	из этих	5	7
179	в себе	1	7
180	но он	2	7
181	не знает	1	7
182	в которой	4	7
183	в себя	3	7
184	в форме	5	7
185	в процессе	1	7
186	например в	11	7
187	и он	9	7
188	то время	3	7
189	здесь еще	5	7
190	нет ничего	1	7
191	в главе	1	7
192	было бы	2	7
193	не могло	2	7
194	в отличие	1	7
195	т д	36	7
196	у них	2	7
197	того что	3	7
198	ее в	8	7
199	отличие от	1	7
200	место в	1	7
201	что было	1	6
202	все что	5	6
203	с тем	9	6
204	только для	1	6
205	на первый	1	6
206	о том	11	6
207	с помощью	1	6
