N	2gram	Propp_Isto	Retstnzi
1	не может	10	4
2	и в	44	3
3	если в	4	2
4	один из	6	2
5	может и	1	1
6	в особенности	6	1
7	в иную	1	1
8	несмотря на	3	1
9	работ это	1	1
10	может быть	31	1
11	не только	17	1
12	точки зрения	3	1
13	с точки	1	1
14	становится особенно	1	1
15	к историческому	1	1
16	для него	2	1
17	в ней	8	1
18	тех же	2	1
19	связи с	10	1
20	бы на	1	1
21	на месте	1	1
22	можно и	1	1
23	с другими	4	1
24	лучше всего	1	1
25	форм нет	1	1
26	если бы	5	1
27	смысл и	1	1
28	в его	16	1
29	не менее	6	1
30	именно с	1	1
31	и социальной	1	1
32	и заставляет	2	1
33	в языке	1	1
34	речь и	1	1
35	но и	16	1
36	мы видим	12	1
37	к тому	1	1
38	можно назвать	1	1
39	тому что	1	1
40	в то	5	1
41	из этих	5	1
42	он в	3	1
43	ни один	1	1
44	же время	1	1
45	то же	9	1
46	по своим	1	1
47	при анализе	2	1
48	а не	5	1
49	бы в	1	1
50	и не	19	1
51	так называемая	1	1
52	на нее	3	1
53	и все	4	1
54	и на	11	1
