N	4gram	Losev_Prob	EvropaiE
1	в то же время	1	14
2	с этой точки зрения	2	5
3	бы то ни было	2	4
4	в той или иной	2	3
5	но в то же	2	2
6	и в этом смысле	1	2
7	каких бы то ни	1	2
8	и то и другое	1	1
9	не только в том	2	1
10	если оставить в стороне	1	1
11	дело в том что	4	1
12	в том числе и	1	1
13	и с точки зрения	1	1
14	подобно этому и в	1	1
15	и человеческой жизни вообще	1	1
16	не кто иной как	2	1
17	их можно было бы	1	1
18	в последнее время в	1	1
19	в связи с этим	1	1
20	в то время как	4	1
21	несмотря на то что	1	1
22	не говоря уже о	2	1
23	в том смысле что	1	1
