N	3gram	Savitsky_E	Tvorches
1	в то же	15	25
2	то же время	14	24
3	и т д	1	17
4	в том что	6	11
5	по нашему мнению	2	10
6	в соответствии с	1	8
7	и в то	8	7
8	не может быть	2	6
9	но в то	2	6
10	в том же	1	5
11	с точки зрения	16	4
12	в одной из	1	4
13	дело в том	1	4
14	чуть ли не	1	3
15	в отличие от	1	3
16	это значит что	1	3
17	во всяком случае	3	3
18	с другой стороны	2	3
19	хотя и не	1	3
20	в данном случае	2	2
21	как и его	1	2
22	заключает в себе	3	2
23	для того чтобы	5	2
24	в том числе	1	2
25	так и в	2	2
26	не сводится к	1	2
27	том числе и	1	2
28	к тому же	1	2
29	не могут быть	1	2
30	в известном смысле	3	2
31	в связи с	1	2
32	в одном из	2	2
33	в свою очередь	2	2
34	и будущего в	1	2
35	заключается в том	2	2
36	можно сказать что	3	2
37	на этот вопрос	1	2
38	и та же	1	2
39	не означает что	1	2
40	мы находим у	1	2
41	он сам в	1	2
42	так же как	5	2
43	не только в	4	2
44	как бы ни	3	2
45	но тем самым	1	1
46	в этот период	1	1
47	имеет место в	2	1
48	настоящего и будущего	1	1
49	отказаться от своей	1	1
50	мы не находим	1	1
51	в применении к	3	1
52	том смысле что	1	1
53	к концу xix	1	1
54	что оно не	1	1
55	то или иное	1	1
56	хотя бы и	3	1
57	говорить о том	1	1
58	в частности в	2	1
59	то что может	1	1
60	начале xx века	1	1
61	именно потому что	1	1
62	же время для	1	1
63	и тем самым	1	1
64	во многих случаях	1	1
65	и прежде всего	3	1
66	оставляя открытым вопрос	1	1
67	по себе не	2	1
68	что как бы	1	1
69	то ни было	4	1
70	и того же	1	1
71	оставим в стороне	1	1
72	несмотря на его	1	1
73	одну и ту	1	1
74	на то чтобы	1	1
75	к тому что	1	1
76	не может не	1	1
77	в стороне от	1	1
78	бы то ни	4	1
79	мысль о возможности	1	1
80	и в этом	4	1
81	мы видим как	1	1
82	и xix век	1	1
83	того или иного	4	1
84	к ней в	1	1
85	той или иной	4	1
86	связанного с этим	1	1
87	отнюдь не означает	1	1
88	и только в	2	1
89	но и в	1	1
90	и ту же	1	1
91	в том смысле	1	1
92	сплошь и рядом	2	1
93	ту или иную	3	1
94	отцов и детей	1	1
95	что же касается	1	1
96	то что в	2	1
97	и не в	1	1
98	только в качестве	1	1
99	с одной стороны	8	1
100	и не было	1	1
101	но как бы	1	1
102	каких бы то	2	1
103	в то время	1	1
104	отметить что в	1	1
105	то и другое	1	1
106	в отношении к	12	1
107	можно было бы	3	1
108	в начале xx	1	1
109	еще далеко не	1	1
110	же как и	3	1
111	и поэтому в	1	1
112	одного и того	1	1
113	одна и та	1	1
114	в нем и	1	1
115	в себе ничего	1	1
116	и не только	1	1
117	мы не можем	1	1
118	как и всякая	1	1
119	нам кажется что	2	1
