N	3gram	Tiupa_Anal	FransuaR
1	то же время	7	55
2	в то же	9	55
3	в том что	13	27
4	в том числе	3	27
5	до сих пор	1	27
6	с точки зрения	6	20
7	но в то	2	20
8	в этом отношении	5	20
9	для того чтобы	3	17
10	том числе и	1	17
11	о том что	8	17
12	в связи с	2	16
13	большей или меньшей	4	16
14	то есть в	2	15
15	но и в	3	15
16	в большей или	1	15
17	или меньшей степени	1	14
18	не может быть	17	13
19	с одной стороны	6	13
20	в той же	1	13
21	с другой стороны	2	12
22	в отличие от	8	11
23	можно сказать что	1	11
24	в той или	3	10
25	самом же деле	1	10
26	той или иной	8	10
27	как и в	2	10
28	на самом же	1	10
29	в данном случае	3	10
30	в значительной степени	1	10
31	не только в	3	10
32	по отношению к	9	9
33	до известной степени	1	9
34	в свое время	3	9
35	более или менее	2	8
36	в самом деле	3	7
37	о том как	1	7
38	включает в себя	1	7
39	можно было бы	1	7
40	прежде всего в	2	7
41	в отрыве от	2	7
42	подобно тому как	5	7
43	во всех этих	1	7
44	или иной форме	1	6
45	к тому же	6	6
46	имеем в виду	1	6
47	выходит за пределы	1	6
48	и во всех	1	6
49	в свою очередь	1	6
50	в применении к	1	5
51	друг с другом	2	5
52	то же самое	3	5
53	и в частности	1	5
54	мы имеем в	1	5
55	во всяком случае	1	5
56	и тот же	2	5
57	не подлежит никакому	1	5
58	в том же	1	5
59	в первом случае	2	5
60	жизнью и смертью	1	5
61	в основе своей	2	5
62	в собственном смысле	1	4
63	и той же	1	4
64	начало и конец	1	4
65	сказать что в	1	4
66	не только для	1	4
67	и даже в	1	4
68	на этот вопрос	1	4
69	и то что	1	4
70	как мы увидим	1	4
71	во второй половине	1	4
72	в самом начале	3	4
73	также и в	1	4
74	о мире и	1	4
75	во втором случае	1	4
76	но прежде всего	1	4
77	одной и той	1	4
78	как раз и	2	4
79	и не может	4	4
80	в сущности это	1	4
81	и в самом	3	4
82	один и тот	1	4
83	и как бы	1	3
84	те же самые	1	3
85	смысле этого слова	1	3
86	в особенности же	1	3
87	между тем как	2	3
88	не только не	2	3
89	и того же	2	3
90	и т.п и	1	3
91	в области литературы	1	3
92	со всех сторон	1	3
93	почти вовсе не	1	3
94	вместе с тем	1	3
95	он не только	1	3
96	это своего рода	1	3
97	как один из	1	3
98	все же не	1	3
99	содержит в себе	3	3
100	так и на	1	3
101	третьей и четвертой	1	3
102	и не могут	1	3
103	но и для	1	3
104	оно ни было	1	3
105	как и во	1	3
106	мы уже отмечали	1	3
107	в себе в	1	3
108	в этом смысле	3	3
109	имеется в виду	1	3
110	далеко за пределы	1	3
111	одного и того	2	3
112	тех или иных	3	3
113	а с другой	1	3
114	и не в	4	3
115	есть не что	4	3
116	здесь как и	1	3
117	хотя он и	1	3
118	бы то ни	3	3
119	то есть на	1	3
120	и в этом	4	3
121	с одной из	1	3
122	еще и до	1	3
123	заключается в том	1	3
124	бы оно ни	1	3
125	так и не	5	3
126	не что иное	5	3
127	все эти три	1	3
128	свидетельствует о том	1	3
129	что иное как	6	3
130	нет и не	2	3
131	но и не	5	2
132	в частности к	1	2
133	никак не может	1	2
134	в том или	3	2
135	самом деле в	1	2
136	как и его	1	2
137	в коем случае	2	2
138	во внешнем мире	2	2
139	с ним в	1	2
140	сам по себе	1	2
141	конечно далеко не	1	2
142	и вместе с	1	2
143	встречаемся с ним	1	2
144	далеко не все	1	2
145	оно и не	1	2
146	то ни было	3	2
147	или во всяком	1	2
148	из того что	3	2
149	и внешнее и	1	2
150	и тем же	1	2
151	дело не с	2	2
152	в одном лице	1	2
153	в том чтобы	7	2
154	смысл и значение	1	2
155	да и в	1	2
156	несмотря на его	1	2
157	именно в этом	2	2
158	особый тип общения	1	2
159	по своей природе	1	2
160	с самим собой	2	2
161	не могут быть	2	2
162	в полной мере	3	2
163	том или ином	4	2
164	в конечном счете	5	2
165	и на все	1	2
166	в себе все	1	2
167	только для того	1	2
168	но и на	1	2
169	ни в коем	2	2
170	до некоторой степени	1	2
171	его как бы	1	2
172	его то есть	1	2
173	в известном смысле	2	2
174	и особенно в	1	2
175	только тогда когда	1	2
176	при взгляде на	2	2
177	во всех языках	1	2
178	же время они	1	2
179	с жизнью и	1	2
180	же время он	1	2
181	в какой-то степени	1	2
182	какой бы то	2	2
183	мы встречаемся с	1	2
184	ни на что	1	2
185	в самом его	1	2
186	и та же	1	2
187	одним и тем	1	2
188	на что не	1	2
189	при всей их	1	2
190	не мог найти	1	2
191	в этом случае	4	2
192	том что он	2	2
193	одна и та	1	2
194	и в сущности	1	2
195	внешнее и внутреннее	1	2
196	по своей сущности	1	2
197	в таких случаях	1	2
198	выходит далеко за	1	1
199	как будто бы	1	1
200	то он не	1	1
201	уже не могут	1	1
202	в соответствии с	2	1
203	одним из первых	1	1
204	и тогда когда	2	1
205	а не так	1	1
206	лишь одной из	1	1
207	в этом ряду	3	1
208	хотя бы и	1	1
209	налагает на него	1	1
210	в течение всего	1	1
211	все это приводит	1	1
212	первый и второй	1	1
213	на все моменты	1	1
214	в новом свете	1	1
215	не он сам	1	1
216	а не его	1	1
217	далеко не всегда	2	1
218	не совпадает с	1	1
219	вместе с ними	1	1
220	бы ни был	1	1
221	как будто он	1	1
222	в этом понимании	1	1
223	по своему содержанию	1	1
224	как правило не	2	1
225	лишь в самом	1	1
226	в обоих случаях	2	1
227	и в словах	1	1
228	во всех своих	1	1
229	и таким образом	1	1
230	и тем самым	2	1
231	но ведь и	1	1
232	речи и к	1	1
233	но если бы	1	1
234	в этих исключительных	1	1
235	а затем и	1	1
236	тем самым и	1	1
237	не только на	1	1
238	со смертью в	1	1
239	как если бы	1	1
240	в начале и	1	1
241	имеет дело с	1	1
242	мотивов в том	1	1
243	на этот раз	1	1
244	что даже в	1	1
245	к первой части	1	1
246	она превращается в	1	1
247	в художественном произведении	1	1
248	же самое что	1	1
249	в тех случаях	1	1
250	всех и каждого	1	1
251	нового но не	1	1
252	и всего романа	1	1
253	не приходится однако	1	1
254	они могут быть	1	1
255	вместе с ним	2	1
256	никогда не бывает	1	1
257	еще в самом	1	1
258	но в качестве	1	1
259	карнавал переживаемый в	1	1
260	переживаемый в одиночку	1	1
261	с мотивом смерти	1	1
262	и не становится	1	1
263	то есть без	1	1
264	только в его	1	1
265	как это было	1	1
266	в правой руке	1	1
267	в эту минуту	1	1
268	а между тем	1	1
269	и к тому	2	1
270	в художественном творчестве	1	1
271	отношения к самому	1	1
272	как это ни	1	1
273	что в конце	1	1
274	смерти то есть	1	1
275	вследствие чего она	1	1
276	жизни прежде всего	2	1
277	и состоит что	1	1
278	как будто не	1	1
279	то или иное	1	1
280	места и для	1	1
281	так же точно	1	1
282	и т.п по	1	1
283	в первую очередь	1	1
284	ни о чем	1	1
285	из настоящего в	1	1
286	пролог и эпилог	1	1
287	но и самого	1	1
288	том случае если	1	1
289	то что мы	1	1
290	более того в	1	1
291	в этом последнем	1	1
292	в себе предельную	1	1
293	если бы он	1	1
294	и не знает	1	1
295	от них не	1	1
296	в центре этой	1	1
297	мы узнаем из	1	1
298	с ним как	1	1
299	отвечая на вопрос	1	1
300	а не к	1	1
301	своей полноте и	1	1
302	в данном контексте	1	1
303	оно может быть	1	1
304	именно к этому	1	1
305	его позиция в	1	1
306	в борьбе с	2	1
307	одной из своих	1	1
308	еще раз что	1	1
309	и на всех	1	1
310	тем не менее	3	1
311	в силу своей	3	1
312	а как бы	1	1
313	сказать и о	1	1
314	не так как	1	1
315	не в том	3	1
316	на вопрос о	1	1
317	по природе своей	3	1
318	в литературе последних	1	1
319	тех же основаниях	1	1
320	и т.п поэтому	1	1
321	содержат в себе	1	1
322	в чем дело	1	1
323	что один из	1	1
324	сами по себе	3	1
325	и если бы	1	1
326	в том случае	1	1
327	на точку зрения	1	1
328	этот сокровенный смысл	1	1
329	в этой плоскости	1	1
330	но на фоне	1	1
331	жизни включая и	1	1
332	в зависимости от	1	1
333	слава богу не	1	1
334	может быть ничего	1	1
335	это было в	1	1
336	себя в своих	1	1
337	во всей своей	1	1
338	в мире в	1	1
339	это означает что	2	1
340	состоит в том	6	1
341	в частности в	2	1
342	могла бы быть	1	1
343	мы видим как	1	1
344	при этом как	1	1
345	смертью в той	1	1
346	все без исключения	1	1
