N	4gram	Medvedev_U	ViktorSh
1	словесных материалов и в	1	1
2	новых приемов расположения и	1	1
3	обработки словесных материалов и	1	1
4	и в частности гораздо	1	1
5	и обработки словесных материалов	1	1
6	к накоплению и выявлению	1	1
7	материалов и в частности	1	1
8	приемов расположения и обработки	1	1
9	вся работа поэтических школ	1	1
10	сводится к накоплению и	1	1
11	к расположению образов чем	1	1
12	расположения и обработки словесных	1	1
13	чем к созданию их	1	1
14	образов чем к созданию	1	1
15	расположению образов чем к	1	1
16	выявлению новых приемов расположения	1	1
17	накоплению и выявлению новых	1	1
18	и выявлению новых приемов	1	1
