N	3gram	Bakhtin_Pr	Morfolog
1	в этих случаях	1	14
2	мы видим что	1	11
3	в этом случае	1	10
4	не может быть	8	9
5	в связи с	1	9
6	по отношению к	5	7
7	с точки зрения	13	6
8	тем не менее	2	6
9	то перед нами	4	5
10	с другой стороны	3	5
11	а также и	3	5
12	в том что	6	4
13	к тому что	1	4
14	на то что	2	3
15	в большинстве случаев	9	3
16	о том что	3	3
17	в собственном смысле	3	3
18	как и в	4	3
19	состоит в том	1	3
20	если мы не	1	3
21	собственном смысле слова	1	3
22	до наших дней	3	2
23	мы увидим что	1	2
24	дело не в	1	2
25	более или менее	3	2
26	для наших целей	1	2
27	хотя и не	3	2
28	под углом зрения	3	2
29	не что иное	1	2
30	в обоих случаях	1	2
31	можно было бы	2	2
32	в данном случае	1	2
33	мы имеем в	3	2
34	и в других	1	2
35	не входит в	1	2
36	а вовсе не	1	2
37	во всяком случае	1	2
38	и пр он	1	2
39	что иное как	1	2
40	к вопросу о	1	2
41	в этом отношении	1	2
42	мы не будем	2	2
43	друг к другу	1	2
44	может быть и	2	2
45	можно себе представить	1	1
46	есть не что	1	1
47	о характере этого	1	1
48	и тот же	1	1
49	могут быть названы	1	1
50	том что все	2	1
51	чем перейти к	1	1
52	мы уже знаем	1	1
53	и даже не	1	1
54	как один из	1	1
55	он как бы	1	1
56	то это совершенно	1	1
57	в применении к	1	1
58	перед нами опять	1	1
59	то что он	1	1
60	отношению к этой	2	1
61	и может быть	1	1
62	но могли бы	1	1
63	они играют в	2	1
64	это одна из	1	1
65	наряду с этими	1	1
66	в чем же	1	1
67	так как мы	1	1
68	здесь перед нами	2	1
69	перед нами в	1	1
70	если же они	1	1
71	и действительно в	1	1
72	один и тот	1	1
73	здесь как и	1	1
74	таким образом во	1	1
75	те формы которые	1	1
76	не менее мы	1	1
77	может войти в	1	1
78	можно сказать что	6	1
79	его но в	1	1
80	на его жизнь	1	1
81	два или три	2	1
82	далеко не всегда	1	1
83	в этом и	1	1
84	не вызывает никаких	1	1
85	более и более	1	1
86	в то же	8	1
87	но они не	1	1
88	тех или иных	2	1
89	со всеми другими	2	1
90	и то же	1	1
91	на этот вопрос	1	1
92	нужно заметить что	1	1
93	как мы уже	5	1
94	хотя они и	1	1
95	в таком случае	1	1
96	друг друга это	1	1
97	прежде чем перейти	1	1
98	мы будем говорить	1	1
99	но и она	2	1
100	иногда же она	1	1
101	в области народной	1	1
102	а не первого	1	1
103	друг с другом	6	1
104	до сих пор	8	1
105	все более и	1	1
106	так как это	1	1
107	во всех случаях	1	1
108	один из его	1	1
109	то мы не	1	1
110	мы переходим к	1	1
111	там где есть	1	1
112	ко второму типу	1	1
113	он ничего не	1	1
114	с помощью этого	1	1
115	героя может быть	1	1
116	одно и то	1	1
117	той или иной	2	1
118	следует сказать что	1	1
119	относится ко второму	1	1
120	так же не	1	1
121	вовсе не с	1	1
122	что он первый	1	1
123	останавливаться не будем	1	1
124	ее по существу	1	1
125	это один из	1	1
126	во всей своей	1	1
127	с самого начала	4	1
128	типа а не	2	1
129	в точном смысле	1	1
130	это было бы	1	1
131	по существу и	1	1
132	в высшей степени	1	1
133	не может войти	1	1
134	и др здесь	1	1
135	и в некоторых	1	1
136	вплоть до наших	1	1
137	во всех других	2	1
138	как бы в	2	1
139	в целом и	1	1
140	или во всяком	1	1
141	то же время	8	1
142	является одним из	2	1
143	все эти явления	1	1
144	не то что	3	1
145	для этой цели	1	1
146	самого начала в	1	1
147	после того как	1	1
148	в сущности вовсе	1	1
149	хотя и здесь	1	1
150	если же он	1	1
151	потому что они	1	1
152	только в тех	1	1
