N	4gram	Losev_Prob	Hudozhes
1	в то же время	1	7
2	состоит в том что	1	4
3	в виду не только	1	3
4	в том числе и	1	2
5	ни в коем случае	3	2
6	в том что он	2	2
7	бы то ни было	2	2
8	в коем случае не	1	2
9	в той или иной	2	2
10	с этой точки зрения	2	2
11	в войне и мире	1	2
12	не что иное как	3	1
13	в одном и том	1	1
14	той или иной мере	2	1
15	а с другой стороны	3	1
16	той или иной эстетической	1	1
17	с другой стороны не	1	1
18	из тех или иных	1	1
19	в одной из своих	1	1
20	в преступлении и наказании	1	1
21	но в то же	2	1
22	тех или иных первичных	1	1
23	одним и тем же	1	1
24	одном и том же	1	1
25	мы имеем дело с	1	1
26	в связи с этим	1	1
27	еще и потому что	2	1
