N	3gram	Propp_Isto	Sovremen
1	мы не можем	3	6
2	в зависимости от	3	4
3	не может быть	8	4
4	мы видели что	3	3
5	с самого начала	4	3
6	друг с другом	3	2
7	то же самое	3	2
8	через некоторое время	1	2
9	тем не менее	7	2
10	еще не может	1	2
11	в отличие от	3	2
12	том случае когда	1	1
13	подлежит никакому сомнению	1	1
14	почти не знает	1	1
15	есть не что	2	1
16	мы этого не	2	1
17	то ни было	2	1
18	мы знаем что	7	1
19	в том что	6	1
20	один и тот	2	1
21	сих пор в	1	1
22	но все эти	1	1
23	на самом деле	2	1
24	не более как	1	1
25	не могут быть	1	1
26	до сих пор	11	1
27	одной стороны и	1	1
28	а может быть	2	1
29	влечет за собой	2	1
30	до наших дней	2	1
31	сами по себе	1	1
32	и тот же	2	1
33	это или нет	1	1
34	но уже в	1	1
35	не что иное	3	1
36	мы можем поставить	1	1
37	в связи с	5	1
38	какой бы то	1	1
39	дело в том	3	1
40	на другой день	1	1
41	в том случае	1	1
42	между ним и	1	1
43	это как бы	1	1
44	в результате мы	1	1
45	что иное как	3	1
46	как мы это	1	1
47	прежде всего мы	1	1
48	но все же	7	1
49	мы уже знаем	3	1
50	равно как и	1	1
51	в этом направлении	1	1
52	не подлежит никакому	1	1
53	и прежде всего	1	1
54	это значит что	1	1
55	но если мы	1	1
56	уже знаем что	2	1
57	с одной стороны	7	1
58	они не могут	1	1
59	к которому они	1	1
60	но никогда не	1	1
61	в одном случае	1	1
62	мы видим не	1	1
63	так же как	6	1
64	не в том	1	1
65	а не только	1	1
66	с другом мы	1	1
67	по отношению к	6	1
68	и может быть	1	1
69	в том как	1	1
70	но они не	3	1
71	оно может быть	2	1
72	бы то ни	2	1
73	следить дальше за	1	1
74	в обратном порядке	2	1
75	на этот вопрос	2	1
76	а в некоторых	1	1
77	и в этом	1	1
78	для наших целей	2	1
79	в этом случае	3	1
80	и есть то	1	1
81	же самое что	2	1
82	и ничего не	1	1
83	может быть сведен	1	1
84	можно было бы	5	1
85	друг на друга	1	1
86	в этом смысле	1	1
87	стадии развития на	1	1
88	в себе в	1	1
89	за собой изменение	1	1
90	но тем не	1	1
91	по его мнению	2	1
92	на этой стадии	1	1
93	мы видим что	12	1
94	может быть только	1	1
