N	4gram	Voloshinov	FransuaR
1	в то же время	1	55
2	но в то же	1	20
3	один и тот же	1	4
4	и не может быть	1	4
5	то же время в	1	4
6	нет и не может	1	3
7	не что иное как	2	3
8	есть не что иное	2	3
9	но это конечно не	1	2
10	в узком смысле слова	1	2
11	не может быть и	1	2
12	может быть и речи	1	2
13	в своей статье о	1	2
14	входит в нашу задачу	1	1
15	в том что в	1	1
16	в тех случаях когда	1	1
17	в течение всей своей	1	1
18	одно и то же	2	1
19	свое идеологическое выражение в	1	1
20	состоит в том что	1	1
21	и здесь и там	1	1
22	и то же слово	2	1
23	не чем иным как	2	1
24	не входит в нашу	1	1
