N	3gram	Vygotskiy_	Tragedij
1	то же время	2	5
2	в то же	2	5
3	так и в	2	3
4	в том что	21	2
5	и в частности	2	2
6	бросается в глаза	1	2
7	точно так же	6	2
8	в данном случае	1	2
9	о том что	9	2
10	и в самом	3	2
11	в отличие от	4	2
12	сам по себе	4	1
13	и не быть	1	1
14	сильнее и сильнее	1	1
15	что при таком	1	1
16	ничего подобного нет	1	1
17	у него есть	1	1
18	как своего рода	1	1
19	в этом романе	1	1
20	том что он	2	1
21	и с этими	1	1
22	не только о	1	1
23	в одном из	2	1
24	имеет в виду	3	1
25	что он не	1	1
26	а между тем	1	1
27	на всем протяжении	1	1
28	может быть не	1	1
29	в неизмеримо более	1	1
30	что я вижу	1	1
31	смысле этого слова	2	1
32	в конце концов	6	1
33	могут быть отнесены	1	1
34	с тем и	1	1
35	вместо того чтобы	1	1
36	в применении к	2	1
37	непременно должно быть	1	1
38	и вместе с	1	1
39	то что он	1	1
40	не может быть	14	1
41	один из авторов	1	1
42	все сильнее и	1	1
43	и т п	23	1
44	что в таком	2	1
45	ни разу не	1	1
46	по сравнению с	3	1
47	с того что	1	1
48	в чем же	2	1
49	с самого начала	1	1
50	ту же мысль	2	1
51	и то что	3	1
52	не только не	4	1
53	но и на	1	1
54	не могут быть	2	1
55	только один раз	1	1
56	в высшей степени	1	1
57	бы и в	1	1
58	она как будто	2	1
59	все это говорит	1	1
60	как и в	5	1
61	в связи с	2	1
62	может быть в	1	1
63	в самом деле	13	1
64	во всяком случае	7	1
65	к тому что	2	1
66	что все это	2	1
67	тем не менее	6	1
68	несмотря на все	4	1
69	но только он	1	1
70	вместе с ними	1	1
71	в борьбе за	1	1
72	на вопрос о	1	1
73	это и есть	1	1
74	начала и до	2	1
75	отметить что в	1	1
76	не к области	1	1
77	после того как	1	1
78	все же не	1	1
79	и не может	2	1
80	и в этом	1	1
81	отнюдь не является	1	1
