N	3gram	Berdyaev_O	Vladivir
1	у вл соловьева	1	85
2	в том что	1	29
3	о том что	1	22
4	и то что	1	14
5	во всяком случае	1	12
6	не может быть	2	10
7	у него в	5	9
8	на то что	1	8
9	само по себе	1	6
10	том что в	1	6
11	и в этом	2	6
12	он никогда не	1	5
13	и в его	1	5
14	и в том	1	5
15	он не только	1	5
16	то что в	1	5
17	для того чтобы	3	4
18	в этом отношении	1	4
19	сам по себе	1	4
20	у него не	2	4
21	был для него	1	3
22	в самом деле	1	3
23	не в том	1	3
24	потому что в	1	3
25	в том случае	1	3
26	было для него	1	3
27	даже и в	1	3
28	ко всему этому	1	3
29	так и не	1	3
30	хотя и не	1	3
31	ни с каким	1	3
32	так что для	1	2
33	и не в	1	2
34	в этот период	1	2
35	что у него	2	2
36	бросается в глаза	1	2
37	у него была	1	2
38	и прежде всего	1	2
39	н к михайловского	1	2
40	а не только	1	2
41	свое учение о	1	2
42	да и то	1	2
43	с тем что	2	2
44	совсем не было	1	2
45	и все же	1	2
46	том случае если	1	2
47	все это было	1	2
48	после того как	1	2
49	и он был	1	2
50	вот оказывается что	1	1
51	никогда и нигде	1	1
52	в самом начале	1	1
53	и когда он	1	1
54	бы и не	1	1
55	может быть назван	1	1
56	как будто бы	1	1
57	бы он ни	1	1
58	он еще не	1	1
59	литературе у него	1	1
60	не потому ли	1	1
61	что же это	2	1
62	же это за	2	1
63	которую он сам	1	1
64	нет ничего кроме	2	1
65	и сразу же	1	1
66	людей но и	1	1
67	нельзя потому что	1	1
68	не было и	1	1
69	есть не только	1	1
70	с вопросом о	1	1
71	и это все	1	1
72	и все это	1	1
73	в строгом смысле	1	1
74	что он был	1	1
75	нигде и никогда	1	1
76	люди а не	1	1
77	это было у	1	1
78	ни с того	1	1
79	и в этот	1	1
80	а это было	1	1
81	и никогда не	2	1
82	о боге то	1	1
83	в его жизни	1	1
84	у него совершенно	1	1
85	в силу чего	1	1
86	как это часто	1	1
87	него до конца	1	1
88	о том как	1	1
89	ни с сего	1	1
90	у него до	1	1
91	вовсе не так	1	1
92	и ни с	1	1
93	мужчины и женщины	1	1
94	но и в	2	1
95	он говорит в	1	1
96	и действительно в	1	1
97	того ни с	1	1
98	в иных случаях	1	1
99	и не очень	1	1
100	после этого только	1	1
101	но он никогда	1	1
102	смысле этого слова	1	1
103	никогда не было	2	1
104	все та же	1	1
105	в обычном смысле	1	1
106	жизни а не	1	1
107	с того ни	1	1
108	о человеке и	5	1
109	а вовсе не	1	1
110	учение о боге	1	1
111	и не может	1	1
112	что это за	1	1
113	должен был бы	1	1
114	это было бы	2	1
