N	2gram	Vinokur_Ku	NovoeSre
1	а не	17	17
2	не может	13	16
3	и в	44	16
4	совсем не	1	12
5	нового времени	1	12
6	и не	23	11
7	и есть	3	10
8	что в	25	9
9	истории и	1	9
10	в эпоху	1	9
11	в том	47	8
12	как не	4	8
13	жизни и	1	8
14	он не	4	8
15	в этом	31	7
16	может быть	25	7
17	не будет	1	7
18	это есть	2	7
19	как и	3	7
20	ни в	3	6
21	не знает	4	6
22	не в	18	6
23	лишь в	6	6
24	с его	4	6
25	но это	4	6
26	никогда не	2	6
27	и к	1	5
28	не только	29	5
29	в ней	6	5
30	истории в	1	5
31	все это	10	5
32	xix века	5	5
33	в жизни	1	5
34	в нем	7	5
35	должен быть	8	5
36	культуры в	1	5
37	перестает быть	1	4
38	и потому	6	4
39	и мы	2	4
40	по своему	1	4
41	быть может	1	4
42	должно быть	6	4
43	потому что	40	4
44	большую роль	2	4
45	это не	13	4
46	прежде всего	14	4
47	в них	10	4
48	то что	14	4
49	не было	6	4
50	есть лишь	3	4
51	и все	4	4
52	государства и	1	4
53	не менее	12	4
54	не имеет	6	4
55	значит что	1	4
56	и для	3	4
57	о том	10	4
58	наше время	3	4
59	к лицу	1	3
60	во всех	1	3
61	возвращение к	1	3
62	вопрос о	11	3
63	в наши	2	3
64	в наше	3	3
65	и пр	23	3
66	должна быть	6	3
67	она не	1	3
68	в ее	2	3
69	смысле слова	3	3
70	что такое	8	3
71	лицом к	2	3
72	конечно не	3	3
73	в истории	3	3
74	в духе	3	3
75	с другой	14	3
76	нашей эпохи	1	3
77	к ним	2	3
78	в россии	1	3
79	сказать что	5	3
80	наряду с	2	3
81	с тем	5	3
82	не значит	2	3
83	к жизни	2	3
84	не есть	4	3
85	в своей	4	3
86	как в	6	3
87	жизни в	1	3
88	революции и	2	3
89	но и	13	3
90	это было	2	3
91	наши дни	1	3
92	к ее	1	3
93	к тому	8	3
94	еще не	10	3
95	от всякого	1	2
96	с этим	6	2
97	все они	1	2
98	более не	1	2
99	и от	2	2
100	еще до	1	2
101	это и	6	2
102	я уже	2	2
103	и что	11	2
104	на протяжении	1	2
105	к революции	1	2
106	что она	5	2
107	ли это	4	2
108	не имеют	3	2
109	и было	3	2
110	зависит от	1	2
111	самый процесс	1	2
112	с одной	3	2
113	хотя бы	19	2
114	такого рода	1	2
115	мы не	1	2
116	того чтобы	25	2
117	вот почему	1	2
118	хотя и	7	2
119	так и	10	2
120	как это	6	2
121	я называю	1	2
122	это представляется	1	2
123	думать что	1	2
124	одной стороны	2	2
125	для чего	1	2
126	не могла	1	2
127	можно было	14	2
128	и должно	2	2
129	другой стороны	12	2
130	с их	3	2
131	этом смысле	8	2
132	том и	3	2
133	в русском	14	2
134	у него	3	2
135	место в	1	2
136	и общества	1	2
137	а в	7	2
138	все время	1	2
139	когда мы	3	2
140	и даже	5	2
141	и с	11	2
142	и революции	1	2
143	мы говорим	4	2
144	не хотят	1	2
145	связана с	1	2
146	по существу	9	2
147	для этого	6	2
148	нет и	1	2
149	xviii века	1	2
150	могут быть	5	2
151	в себе	4	2
152	том чтобы	9	2
153	и на	8	2
154	быть в	2	2
155	уже не	13	2
156	я не	5	2
157	что все	6	2
158	времени в	1	2
159	помнить что	1	2
160	все эти	17	2
161	есть в	6	2
162	же как	3	2
163	такой же	1	2
164	вместе с	8	2
165	но я	1	2
166	который в	1	2
167	одна из	1	2
168	жизнью в	1	2
169	роль в	6	2
