N	3gram	Vygotskiy_	Myshleni
1	в том что	30	133
2	с точки зрения	5	89
3	для того чтобы	41	78
4	заключается в том	9	51
5	мы могли бы	4	48
6	по сравнению с	4	45
7	по отношению к	2	42
8	так же как	3	39
9	с одной стороны	15	39
10	с самого начала	5	36
11	друг с другом	6	35
12	то же самое	8	31
13	в этом отношении	3	30
14	можно было бы	4	28
15	в этом случае	2	27
16	в собственном смысле	2	26
17	вместе с тем	4	26
18	с другой стороны	8	26
19	на то что	25	25
20	о том что	15	25
21	не может быть	4	23
22	смысле этого слова	1	22
23	в то время	4	22
24	к тому что	8	22
25	в высшей степени	1	22
26	в зависимости от	7	22
27	не только не	4	21
28	можно сказать что	3	21
29	то время как	4	20
30	в самом деле	8	19
31	так же точно	8	19
32	из того что	3	19
33	в отличие от	3	18
34	состоит в том	2	18
35	во всяком случае	1	18
36	в этом смысле	3	18
37	до сих пор	9	17
38	и того же	2	17
39	этой точки зрения	3	17
40	одного и того	2	17
41	же как и	1	17
42	с этой точки	3	16
43	мы не станем	2	16
44	бы сказать что	2	15
45	и то что	4	15
46	в данном случае	3	15
47	и той же	4	15
48	одной и той	4	15
49	на всем протяжении	1	14
50	друг от друга	2	14
51	на этот вопрос	5	14
52	нам думается что	2	14
53	потому что он	3	14
54	мы видели что	1	14
55	в свою очередь	1	14
56	могли бы сказать	2	14
57	подобно тому как	1	14
58	в сущности говоря	8	14
59	а с другой	5	13
60	в другом месте	1	13
61	и то же	4	12
62	таким образом что	6	12
63	в том чтобы	6	12
64	один и тот	1	12
65	и тот же	2	12
66	на первый план	2	12
67	в своем развитии	1	12
68	одно и то	3	12
69	является то что	2	11
70	видим таким образом	2	11
71	в последнее время	1	11
72	мы не можем	2	11
73	с таким образом	2	11
74	том что в	2	11
75	то обстоятельство что	2	11
76	те и другие	1	11
77	мы видим таким	2	11
78	одной стороны и	1	10
79	в учении о	3	10
80	то что в	4	10
81	тот факт что	6	10
82	от того что	1	10
83	но вместе с	1	10
84	вместо того чтобы	1	10
85	не в состоянии	3	10
86	так как она	3	9
87	сама по себе	3	9
88	собственном смысле слова	2	9
89	мы видим в	2	9
90	с тем что	3	9
91	более или менее	1	9
92	силу того что	1	9
93	в конечном счете	2	9
94	в силу того	1	9
95	на самом деле	8	9
96	именно в этом	2	9
97	том что он	4	9
98	само по себе	3	9
99	друг к другу	5	9
100	то что он	5	8
101	сам по себе	4	8
102	речь идет о	1	8
103	что в основе	1	8
104	мы говорили выше	2	8
105	той или иной	2	8
106	не могут быть	1	8
107	что он не	3	8
108	в этой области	1	8
109	того же самого	1	8
110	что и в	1	8
111	о том как	1	7
112	шаг за шагом	1	7
113	по этому поводу	4	7
114	к тому чтобы	1	7
115	как раз в	2	7
116	вопрос о том	3	7
117	в том виде	1	7
118	благодаря тому что	1	7
119	с тем и	1	7
120	приводит к тому	1	7
121	совершенно понятно что	3	6
122	ничего общего с	1	6
123	то о чем	2	6
124	те же самые	2	6
125	и таким образом	3	6
126	и тем же	3	6
127	и в частности	2	6
128	с психологической стороны	1	6
129	именно в силу	1	6
130	то что мы	2	6
131	заключает в себе	6	6
132	потому что в	4	6
133	именно потому что	3	6
134	в лучшем случае	3	6
135	если бы мы	5	6
136	только то что	1	6
137	мы находим в	1	6
138	в том смысле	1	6
139	того что мы	1	6
140	не что иное	2	6
141	одним и тем	3	6
142	в том и	3	6
143	что иное как	2	6
144	в следующем виде	1	6
145	лежит в основе	1	6
146	и как бы	4	5
147	как частный случай	1	5
148	указывает на то	3	5
149	нечто такое что	3	5
150	мы никогда не	5	5
151	как если бы	1	5
152	так как это	6	5
153	что в этом	6	5
154	в этом заключается	1	5
155	мы склонны видеть	1	5
156	на этом вопросе	1	5
157	мы будем иметь	1	5
158	тому что он	2	5
159	и что в	5	5
160	того чтобы сделать	2	5
161	ту же самую	3	5
162	таким образом мы	2	5
163	сами по себе	2	5
164	в конце концов	6	5
165	вперед по сравнению	1	5
166	показывает что в	2	5
167	и в этом	2	5
168	но он не	2	5
169	в какой мере	1	5
170	когда мы говорим	1	5
171	мы знаем что	3	5
172	мы знаем о	1	5
173	проистекает из того	1	5
174	в то же	1	5
175	для современной психологии	1	5
176	ответ на этот	2	5
177	только потому что	1	5
178	не только в	5	5
179	все эти три	1	5
180	принять во внимание	2	5
181	едва ли не	1	5
182	мы видим что	5	4
183	доказательство того что	1	4
184	о которых мы	2	4
185	влечет за собой	1	4
186	мы должны будем	3	4
187	в одной и	1	4
188	вполне совпадает с	1	4
189	самом деле если	2	4
190	как это мы	2	4
191	оказывается не в	1	4
192	между тем как	1	4
193	которых мы говорили	1	4
194	имеет дело с	2	4
195	что с помощью	1	4
196	не то что	3	4
197	но так как	1	4
198	мы имеем дело	1	4
199	того чтобы показать	1	4
200	вбирает в себя	1	4
201	что с точки	1	4
202	эта точка зрения	1	4
203	было бы назвать	1	4
204	в себе и	1	4
205	мы и в	1	4
206	и тем более	1	4
207	таким образом в	2	4
208	несмотря на то	1	4
209	с помощью слов	1	4
210	по существу дела	1	4
211	том что мы	2	4
212	потому что оно	1	4
213	и что оно	2	4
214	в этой теории	1	4
215	том виде как	1	4
216	мы увидим что	7	4
217	а другой раз	1	4
218	именно то что	5	4
219	если бы оно	1	4
220	если принять во	1	4
221	и ко всем	1	4
222	не до конца	1	4
223	психологической точки зрения	2	4
224	мы постараемся показать	1	4
225	это означает что	1	4
226	вместе с ним	1	4
227	после того как	1	4
228	он говорит что	4	3
229	в применении к	1	3
230	никак не может	3	3
231	в самых общих	1	3
232	на том что	1	3
233	то ни было	1	3
234	и в другом	1	3
235	один из них	1	3
236	он мог бы	1	3
237	если мы хотим	2	3
238	с мы видим	1	3
239	исследование показало что	1	3
240	сказать что в	2	3
241	та же самая	2	3
242	надо сказать что	2	3
243	мы узнаем что	1	3
244	к тому же	1	3
245	в своих исследованиях	1	3
246	совершенно иначе чем	1	3
247	ничего не может	2	3
248	с психологической точки	2	3
249	во всех остальных	1	3
250	то же время	1	3
251	и только в	1	3
252	показали что в	1	3
253	есть все основания	1	3
254	в целом ряде	2	3
255	во внимание что	1	3
256	одна и та	2	3
257	дело в том	2	3
258	показать что все	1	3
259	того или иного	1	3
260	будем иметь случай	2	3
261	мы имеем в	1	3
262	вызывает к жизни	1	3
263	из которых каждый	1	3
264	оно может быть	2	3
265	это было бы	1	3
266	в каком отношении	5	3
267	мы приводили выше	1	3
268	он полагает что	1	3
269	бы показать что	2	3
270	если мы примем	1	3
271	остановиться на этом	1	3
272	ко всем остальным	1	3
273	в целом в	1	3
274	в одинаковой степени	1	3
275	что обе эти	1	3
276	и в результате	3	3
277	мы таким образом	1	3
278	на все другие	2	3
279	в совершенно ином	1	3
280	здесь мы видим	2	3
281	ответить на этот	1	3
282	и во всех	1	3
283	не станем останавливаться	1	3
284	это не может	1	3
285	перед нами в	1	3
286	мы видели уже	1	3
287	том что она	1	3
288	то что она	2	3
289	с которым мы	2	3
290	в приложении к	2	3
291	тем что мы	1	3
292	том что оно	1	3
293	что он является	1	3
294	совершенно очевидно что	2	3
295	бы то ни	1	3
296	говорит об этом	1	3
297	не мог бы	1	3
298	мы можем теперь	1	3
299	в значительной мере	1	3
300	они указывают на	1	3
301	что они имеют	1	3
302	говорит что в	1	3
303	то новое что	1	3
304	во всем его	1	3
305	в большей мере	1	3
306	а не как	1	3
307	и в самом	3	3
308	и что следовательно	2	3
309	и та же	3	3
310	о чем идет	1	3
311	так как они	1	3
312	того что в	1	3
313	указывают на то	1	3
314	имеем дело с	1	3
315	потому что они	3	3
316	в некоторой части	1	2
317	точки зрения того	1	2
318	с его помощью	1	2
319	до самого конца	2	2
320	согласно этой теории	1	2
321	с тем мы	1	2
322	на деле же	1	2
323	не только то	1	2
324	ни в каком	2	2
325	не могло бы	1	2
326	идет все время	1	2
327	согласны в том	1	2
328	образом оказывается что	1	2
329	при каких условиях	1	2
330	в нашем анализе	1	2
331	и развития их	1	2
332	нельзя было бы	1	2
333	постараемся показать ниже	1	2
334	не могут иметь	1	2
335	сомнения в том	1	2
336	что эта теория	2	2
337	по отношению ко	1	2
338	потому что она	1	2
339	того чтобы понять	2	2
340	что они действительно	1	2
341	в частности в	1	2
342	необходимо должно быть	1	2
343	находится в зависимости	2	2
344	можем заключить что	1	2
345	то что эта	1	2
346	именно в этой	1	2
347	том и заключается	3	2
348	хотим сказать что	1	2
349	на которые ссылается	1	2
350	для психологического исследования	1	2
351	это на примере	2	2
352	состоят в том	1	2
353	о котором говорит	4	2
354	в психологии не	1	2
355	что в этой	3	2
356	можем представить себе	1	2
357	убедиться в том	1	2
358	но в этом	1	2
359	то что у	1	2
360	что мы нашли	1	2
361	конце концов к	1	2
362	что с самого	2	2
363	у нас на	1	2
364	как говорит толстой	1	2
365	и в речи	1	2
366	в ответ на	1	2
367	мы не имеем	1	2
368	за то что	3	2
369	нас на глазах	1	2
370	но и это	2	2
371	и может быть	2	2
372	таким образом все	2	2
373	как и для	1	2
374	вытекает из того	1	2
375	таким образом по	1	2
376	может быть в	1	2
377	другой стороны мы	2	2
378	имеет еще и	1	2
379	одному тому что	1	2
380	что он должен	1	2
381	это вполне совпадает	1	2
382	потому что как	1	2
383	все же не	1	2
384	во всех трех	2	2
385	уже в первой	1	2
386	представляет один из	1	2
387	как и на	1	2
388	у нее нет	1	2
389	и в своем	1	2
390	вовсе не необходимо	1	2
391	каком отношении находятся	1	2
392	совершенно другим путем	2	2
393	что оно есть	2	2
394	том что всякое	1	2
395	и не то	1	2
396	он утверждает что	2	2
397	в своем течении	1	2
398	так же невозможно	1	2
399	совершенно ином виде	1	2
400	было бы невозможно	1	2
401	и все же	1	2
402	что может быть	2	2
403	и приводит к	1	2
404	как бы в	3	2
405	же точно как	2	2
406	не выражается в	1	2
407	совпадает с тем	1	2
408	это имеет место	1	2
409	то что составляет	1	2
410	оставить в стороне	1	2
411	не хотим сказать	1	2
412	о котором мы	3	2
413	и на все	1	2
414	до известной степени	1	2
415	если обратиться к	1	2
416	знает что он	1	2
417	в совершенно новом	1	2
418	вовсе не в	2	2
419	которые могли бы	1	2
420	там где мы	2	2
421	мы тем самым	1	2
422	что у него	1	2
423	с двух сторон	1	2
424	в том случае	1	2
425	нужно было бы	1	2
426	во внимание то	1	2
427	что ему нужно	1	2
428	чтобы показать что	1	2
429	сомневаться в том	1	2
430	исследования и в	1	2
431	это было вызвано	1	2
432	и что эти	1	2
433	правом мы могли	1	2
434	его значение в	1	2
435	мы можем подвести	1	2
436	и никогда не	1	2
437	если это так	2	2
438	по себе не	2	2
439	видит в этом	1	2
440	казалось бы что	1	2
441	и в его	1	2
442	потому что и	1	2
443	есть то о	1	2
444	из которых складывается	1	2
445	котором мы говорили	2	2
446	станем останавливаться на	1	2
447	он должен быть	1	2
448	между собой в	1	2
449	в противоречие с	1	2
450	с той же	1	2
451	и именно в	2	2
452	не больше чем	2	2
453	самом деле не	1	2
454	особенность состоит в	1	2
455	том что для	1	2
456	чтобы ответить на	1	2
457	и только после	1	2
458	и только что	1	2
459	видели что в	1	2
460	не станем сейчас	1	2
461	что все это	1	2
462	и не только	1	2
463	они были бы	1	2
464	всякий раз когда	1	2
465	же самую мысль	2	2
466	самом деле как	1	2
467	зависимости от того	4	2
468	тому же самому	2	2
469	в нескольких словах	1	2
470	по одному тому	1	2
471	связанное с ним	1	2
472	только для того	1	2
473	однако несмотря на	1	2
474	к другу как	1	2
475	и при этом	1	2
476	в свете этого	1	2
477	и в некоторых	1	2
478	что если мы	2	2
479	происходит так что	1	2
480	по этому вопросу	1	2
481	тот же самый	1	2
482	во всех этих	2	2
483	указанием на то	1	2
484	чтобы увидеть что	3	2
485	и другое не	1	2
486	сводится к тому	3	2
487	точки зрения и	1	2
488	самого начала в	1	2
489	где мы имеем	1	1
490	не может понять	1	1
491	но то же	1	1
492	на целый ряд	1	1
493	обстоит дело в	1	1
494	и это как	1	1
495	прибавим к этому	1	1
496	же два противоположных	1	1
497	вот что говорит	1	1
498	по своему психологическому	1	1
499	она нуждается в	1	1
500	все то что	6	1
501	она в сущности	1	1
502	ясно что в	3	1
503	следует отнести к	1	1
504	вызывает в нас	3	1
505	этом отношении и	1	1
506	таким образом становится	1	1
507	и для психологии	1	1
508	бы оно не	1	1
509	вслед за этим	1	1
510	в подтверждение этого	1	1
511	он не должен	1	1
512	имеет свое особое	1	1
513	то что эти	1	1
514	никогда не можем	1	1
515	и никак не	2	1
516	в какой связи	1	1
517	только одна из	1	1
518	с другом мы	1	1
519	к полному отрицанию	1	1
520	в том или	1	1
521	и мы сейчас	2	1
522	свое отношение к	1	1
523	в себя и	1	1
524	сравнению с теми	1	1
525	мы уже приводили	1	1
526	имело своей задачей	1	1
527	имеет не только	1	1
528	если же мы	1	1
529	что это действительно	1	1
530	должен признать что	1	1
531	есть не только	1	1
532	сих пор в	1	1
533	она возникает как	1	1
534	если мы возьмем	1	1
535	может войти в	1	1
536	чтобы окончательно убедиться	1	1
537	его до конца	1	1
