N	2gram	Berdyaev_M	formyVre
1	и в	61	148
2	в этом	34	73
3	то есть	3	70
4	в нем	26	51
5	прежде всего	18	46
6	и т	1	40
7	и не	26	37
8	в его	10	36
9	и его	13	36
10	вовсе не	1	35
11	но и	34	33
12	то же	4	32
13	т п	1	32
14	не только	42	32
15	но в	12	31
16	жизни и	6	31
17	так и	5	29
18	может быть	42	27
19	не в	16	26
20	как и	14	25
21	как бы	10	25
22	человеческой жизни	4	24
23	точки зрения	6	24
24	мы уже	1	24
25	только в	7	23
26	в то	2	23
27	человека в	26	23
28	в том	9	22
29	то что	10	22
30	во всех	3	21
31	жизни в	3	21
32	все эти	3	21
33	в своем	17	19
34	и др	1	19
35	и на	9	19
36	и для	7	19
37	у него	38	18
38	и все	13	18
39	еще не	1	18
40	те же	5	17
41	с этим	4	17
42	так как	10	17
43	в пределах	1	17
44	человека и	19	17
45	все же	2	16
46	в основе	4	16
47	и во	5	16
48	и их	3	16
49	не может	39	16
50	в разных	3	15
51	в одном	1	15
52	в них	5	15
53	никогда не	30	15
54	с точки	1	15
55	с его	6	15
56	вместе с	7	15
57	лишь в	8	15
58	и как	3	14
59	и с	6	14
60	так же	5	14
61	в конце	11	14
62	всех этих	1	14
63	а не	36	14
64	все это	6	14
65	в самом	15	13
66	в котором	9	13
67	для того	4	13
68	во время	1	13
69	с ним	5	13
70	как в	9	13
71	роль в	2	13
72	в их	4	13
73	в частности	1	13
74	того чтобы	4	13
75	а в	4	13
76	и до	1	12
77	конечно не	3	12
78	не было	25	12
79	он не	34	12
80	значение и	1	12
81	что в	12	12
82	с природой	1	12
83	потому что	25	12
84	в истории	2	12
85	ничего не	4	12
86	но не	8	12
87	и наконец	1	12
88	хотя и	2	11
89	его в	6	11
90	между ними	1	11
91	и у	3	11
92	ни в	3	11
93	в образе	4	11
94	уже в	6	11
95	мира и	6	11
96	в ней	23	11
97	уже не	8	10
98	входит в	3	10
99	влияние на	1	10
100	в ее	3	10
101	сих пор	5	10
102	также и	6	10
103	до сих	5	10
104	тот же	1	10
105	и даже	1	9
106	но все	1	9
107	их в	1	9
108	с другой	1	9
109	наряду с	1	9
110	всего в	2	9
111	на протяжении	2	9
112	должно быть	5	9
113	к себе	3	9
114	и это	16	9
115	могут быть	2	9
116	та же	4	9
117	отношения к	6	9
118	оно не	3	9
119	том что	7	9
120	в самой	8	9
121	для него	28	9
122	есть в	3	9
123	жизнь и	5	9
124	и других	2	9
125	мира в	2	9
126	и к	9	8
127	в виду	2	8
128	в этих	6	8
129	время как	2	8
130	к тому	6	8
131	но эти	1	8
132	в этот	2	8
133	все его	3	8
134	что и	6	8
135	рядом с	1	8
136	в мире	12	8
137	образ человека	8	8
138	и по	4	8
139	один из	9	8
140	в жизни	7	8
141	для себя	1	8
142	со всеми	1	8
143	если бы	5	8
144	до конца	16	8
145	мы еще	4	8
146	и то	2	8
