N	2gram	Medvedev_U	Otkroven
1	у него	1	22
2	и в	14	19
3	и не	8	13
4	но и	4	13
5	в этом	7	12
6	а не	10	11
7	не только	10	11
8	не в	2	11
9	может быть	6	11
10	человека и	1	10
11	и все	1	10
12	в нем	1	10
13	прежде всего	8	9
14	не было	1	9
15	никогда не	1	9
16	он был	1	8
17	в его	2	7
18	он не	1	7
19	но он	1	7
20	до конца	1	7
21	все это	5	6
22	как и	3	6
23	в самом	2	5
24	достоевского и	1	5
25	в том	2	5
26	для него	3	5
27	в этой	4	5
28	в россии	4	5
29	то что	7	5
30	все в	1	4
31	что в	1	4
32	не может	7	4
33	с его	2	4
34	все что	1	3
35	хотя бы	5	3
36	это не	3	3
37	не могут	2	3
38	было бы	3	3
39	могут быть	2	3
40	в себе	2	3
41	что он	2	3
42	это было	2	3
43	о том	1	3
44	того что	1	3
45	и потому	1	2
46	так и	1	2
47	и то	3	2
48	все же	3	2
49	никогда и	1	2
50	должно быть	1	2
51	даже и	2	2
52	в своем	1	2
53	в этот	1	2
54	с тем	1	2
55	в которой	1	2
56	ее в	1	2
57	о которой	1	2
58	не все	2	2
59	одно из	1	2
60	что и	2	2
61	у кого	1	2
62	художественном творчестве	2	2
63	и с	2	2
64	что же	1	2
65	он в	1	2
66	сказать что	1	2
67	что для	1	2
68	тем что	2	2
69	него не	1	2
70	что все	2	2
71	ничего не	2	2
72	не есть	2	2
73	в своей	3	2
74	по себе	2	2
75	к этому	1	2
76	том что	2	2
77	и для	2	2
78	но в	3	2
79	он прежде	1	2
80	было у	1	1
81	что было	1	1
82	его и	2	1
83	все и	1	1
84	которой все	1	1
85	не существует	1	1
86	все его	1	1
87	в котором	1	1
88	ней не	1	1
89	толстого и	1	1
90	она должна	1	1
91	того как	1	1
92	она не	1	1
93	должна быть	2	1
94	мы не	2	1
95	но не	2	1
96	быть не	1	1
97	в ней	1	1
98	всего только	1	1
99	художественного творчества	5	1
100	это для	1	1
101	а это	1	1
102	этом отношении	2	1
103	для тех	1	1
104	может служить	1	1
105	он и	1	1
106	природе и	1	1
107	о чем	2	1
108	в свое	1	1
109	сам по	1	1
110	в частности	3	1
111	о нем	1	1
112	что только	1	1
113	и через	2	1
114	и что	1	1
115	они в	1	1
116	у нас	3	1
117	же не	2	1
118	бы и	2	1
119	и это	1	1
120	смысле этого	2	1
121	не вполне	1	1
122	существование в	1	1
123	говорит он	1	1
124	было и	1	1
125	было сделать	1	1
126	не случайно	2	1
127	и даже	1	1
128	всего что	1	1
129	если бы	2	1
130	самом деле	2	1
131	и формы	3	1
132	не внешне	1	1
133	у толстого	1	1
134	в виду	1	1
135	из самых	1	1
136	и эта	1	1
137	и требованиями	1	1
138	его как	1	1
139	от которой	1	1
140	он ставит	1	1
141	не делает	1	1
142	ее как	1	1
143	и действительно	1	1
144	он знает	1	1
145	еще ничего	2	1
146	в конце	2	1
147	в процессе	1	1
148	что она	2	1
149	состоит из	1	1
150	и прежде	1	1
151	на то	1	1
152	л толстого	1	1
153	интереса к	2	1
154	друг с	1	1
155	но это	2	1
156	с другом	1	1
157	связаны и	1	1
158	на своем	1	1
159	само по	1	1
160	к которой	1	1
161	свое оправдание	1	1
162	уже не	1	1
163	бы ни	1	1
164	бы в	1	1
