N	3gram	Propp_Isto	SlovoVZh
1	по отношению к	3	11
2	не может быть	5	7
3	можно сказать что	1	5
4	в том что	7	4
5	как если бы	1	4
6	то ни было	1	3
7	до сих пор	4	3
8	этой точки зрения	3	3
9	и не в	1	3
10	бы то ни	1	3
11	тем не менее	4	3
12	и не может	1	3
13	это не так	1	2
14	одной стороны и	1	2
15	то же самое	1	2
16	с этой стороны	4	2
17	в данном случае	7	2
18	в зависимости от	3	2
19	с одной стороны	11	2
20	с другой стороны	17	2
21	с точки зрения	1	2
22	но тем не	2	2
23	для нас же	1	2
24	со всех сторон	1	1
25	все же не	1	1
26	сами по себе	1	1
27	о том что	9	1
28	на передний план	2	1
29	мы обратимся к	1	1
30	в самом деле	1	1
31	один и тот	1	1
32	мы таким образом	1	1
33	совершенно ясно что	1	1
34	таким образом мы	3	1
35	и должна быть	1	1
36	и тот же	1	1
37	по себе не	1	1
38	но уже в	1	1
39	и та же	1	1
40	еще не вполне	2	1
41	как и в	3	1
42	они должны быть	1	1
43	как мы уже	1	1
44	вопросу о том	1	1
45	сама по себе	1	1
46	следует отметить что	1	1
47	во всяком случае	3	1
48	в нем и	1	1
49	она не может	1	1
50	в них всегда	1	1
51	имеем дело с	1	1
52	может идти только	2	1
53	в этом направлении	1	1
54	только то что	1	1
55	мы увидим что	2	1
56	и она не	1	1
57	здесь же мы	2	1
58	от того в	1	1
59	же как и	1	1
60	одна и та	1	1
61	зависимости от того	1	1
62	можно было бы	3	1
63	так же как	4	1
64	и др все	1	1
65	для нас не	1	1
66	более или менее	3	1
67	но и в	4	1
68	мы имеем в	7	1
69	костяк который обрастает	1	1
70	то время как	4	1
71	это прежде всего	1	1
72	могут быть только	1	1
73	говорит о том	1	1
74	том что в	2	1
75	сих пор мы	3	1
76	в то время	4	1
77	это один и	1	1
78	но все это	1	1
79	или может быть	1	1
80	не может получить	1	1
81	уже не может	1	1
82	но все же	3	1
83	нам кажется что	4	1
84	только там где	1	1
85	с ним на	1	1
86	и здесь мы	2	1
87	к тому же	1	1
