N	2gram	Voloshinov	Sotsiolo
1	истории литературы	2	10
2	все это	4	7
3	в том	2	5
4	в этом	2	5
5	социологический метод	2	4
6	метод в	1	4
7	не только	6	3
8	как же	1	3
9	не в	3	3
10	и в	13	3
11	но ведь	5	3
12	в его	7	3
13	о литературе	1	3
14	что в	3	2
15	то что	6	2
16	таким образом	6	2
17	том что	2	2
18	или даже	1	2
19	как бы	6	2
20	было бы	4	2
21	в литературоведении	1	2
22	но и	3	2
23	может быть	8	2
24	и что	1	2
25	это и	1	2
26	за пределы	3	2
27	по отношению	3	2
28	в конце	1	2
29	отношению к	3	2
30	далеко не	1	2
31	тем более	1	2
32	только в	6	2
33	к которому	1	2
34	то же	4	2
35	одно дело	1	2
36	еще не	1	2
37	у п.н	1	2
38	как то	1	1
39	а в	2	1
40	что он	1	1
41	художественных произведений	2	1
42	в конечном	1	1
43	столь же	1	1
44	литературы как	1	1
45	стиль в	1	1
46	науки о	1	1
47	быть не	1	1
48	в целом	2	1
49	вряд ли	3	1
50	жизни он	1	1
51	все эти	2	1
52	не было	1	1
53	когда мы	1	1
54	связи с	1	1
55	этом нужно	1	1
56	только то	1	1
57	в своей	4	1
58	что без	1	1
59	в мире	1	1
60	переходим к	1	1
61	все же	5	1
62	еще и	4	1
63	с другой	2	1
64	мы понимаем	2	1
65	мы должны	6	1
66	между тем	2	1
67	формальный метод	2	1
68	и более	1	1
69	в этой	1	1
70	время в	1	1
71	в свои	1	1
72	и его	12	1
73	не должна	1	1
74	ли не	1	1
75	в данном	2	1
76	на все	1	1
77	исторической поэтики	1	1
78	в области	2	1
79	история литературы	1	1
80	с помощью	2	1
81	же самое	1	1
82	один из	1	1
83	так и	3	1
84	и п.н	1	1
85	в то	1	1
86	ни одно	2	1
87	те же	2	1
88	должно было	1	1
89	произведение как	1	1
90	отнюдь не	1	1
91	и не	8	1
92	стр и	1	1
93	выходит за	1	1
94	объекта и	1	1
95	свои права	1	1
96	и о	1	1
97	вступает в	1	1
98	но не	1	1
99	они не	1	1
100	правда он	1	1
101	поэтической формы	1	1
102	для этого	1	1
103	прежде всего	9	1
104	тем что	2	1
105	что она	1	1
106	в каждом	4	1
107	в чем	2	1
108	не из	1	1
109	же не	1	1
110	конечном счете	1	1
111	он говорит	1	1
112	его в	1	1
113	понимаем всю	1	1
114	но одно	2	1
115	в процессе	5	1
116	между собою	2	1
117	этого и	1	1
118	вовсе не	2	1
119	с одной	2	1
120	и наконец	5	1
121	конечно не	1	1
122	мы не	4	1
123	тому что	1	1
124	мысли в	1	1
125	поэтики и	2	1
126	по себе	1	1
127	всего не	1	1
128	и остаются	1	1
129	все то	1	1
130	хотя бы	5	1
131	же время	1	1
132	наконец в	2	1
133	чуть ли	1	1
134	одной стороны	2	1
135	в связи	2	1
136	бы в	2	1
137	и должно	2	1
138	и научно	2	1
139	в виде	1	1
140	никогда не	3	1
141	и есть	1	1
142	не может	8	1
143	и как	1	1
144	как и	3	1
145	в них	2	1
