N	3gram	Bakhtin_KF	VeschiIm
1	не может быть	11	24
2	бы то ни	2	12
3	то ни было	2	12
4	тем не менее	2	11
5	в том что	2	9
6	на то что	1	7
7	ни в каком	2	6
8	с точки зрения	10	6
9	может быть только	7	6
10	вовсе не есть	2	6
11	в свою очередь	1	5
12	и тем не	1	5
13	значит ли это	1	5
14	в то же	2	5
15	значит что я	1	5
16	и то что	1	5
17	не потому что	1	5
18	не есть просто	1	5
19	равно как и	1	4
20	в себе в	1	4
21	ли это что	1	4
22	дело в том	1	4
23	это и есть	1	4
24	само по себе	1	4
25	то же время	2	4
26	вместе с тем	1	3
27	той или другой	1	3
28	может быть просто	1	3
29	уже не будет	1	3
30	ту или иную	1	3
31	если мы возьмем	1	3
32	уже не может	2	3
33	и не в	1	3
34	если бы я	1	3
35	мы не можем	1	3
36	и в то	1	3
37	не может не	1	3
38	это значило бы	2	3
39	значило бы что	1	3
40	а не к	1	2
41	какого бы то	1	2
42	где она могла	1	2
43	хотя бы и	1	2
44	она могла бы	2	2
45	в этом смысле	3	2
46	а следовательно и	1	2
47	для того чтобы	1	2
48	это не есть	3	2
49	что я должен	1	2
50	не было ни	1	2
51	не есть еще	1	2
52	в первом случае	1	2
53	к себе как	2	2
54	и это будет	1	2
55	себе как к	1	2
56	в нем нет	1	2
57	а не я	2	2
58	как бы ни	1	2
59	факта и смысла	1	2
60	принципиально не может	2	2
61	а не в	2	2
62	она может быть	1	2
63	к тому что	1	2
64	то что я	2	2
65	во всяком случае	1	2
66	вопрос о том	2	2
67	и в этом	3	2
68	только тогда когда	1	2
69	в основе своей	1	2
70	в жизни в	1	2
71	смысле и в	1	1
72	быть не может	1	1
73	в современной философии	3	1
74	что я буду	1	1
75	ясно отсюда что	1	1
76	независимо от его	1	1
77	и как бы	1	1
78	это не значит	1	1
79	а не просто	1	1
80	он должен быть	1	1
81	в то или	1	1
82	это может быть	1	1
83	по себе а	1	1
84	вмещает в себя	1	1
85	не в смысле	1	1
86	и только в	3	1
87	быть и могло	1	1
88	но и здесь	3	1
89	и может быть	2	1
90	не содержит в	1	1
91	в том смысле	1	1
92	в сознании в	1	1
93	в данный момент	3	1
94	как это было	1	1
95	не в этом	1	1
96	и в результате	1	1
97	то или иное	2	1
98	из себя в	2	1
99	ясно что это	1	1
100	в себя момент	1	1
101	один и тот	3	1
102	и не потому	1	1
103	дело не в	1	1
104	в ту или	1	1
105	вне ее и	1	1
106	самому своему смыслу	1	1
107	это не будет	1	1
108	в себе бытие	1	1
109	то что уже	1	1
110	для себя и	1	1
111	и во всех	1	1
112	и в нем	2	1
113	в котором и	3	1
114	с тем или	1	1
115	только в том	1	1
116	не значит что	1	1
117	когда мы говорим	1	1
118	было ни в	1	1
119	и тот же	3	1
120	что и в	1	1
121	если бы оно	1	1
122	не в том	1	1
123	ее и в	1	1
124	есть для меня	1	1
125	независимо от того	1	1
126	для меня не	1	1
127	между прочим и	1	1
128	и пр и	1	1
129	мы будем говорить	1	1
130	не было бы	3	1
131	не выходит из	1	1
132	до сих пор	1	1
133	они находятся в	1	1
134	одного и того	1	1
135	а только в	1	1
136	того что в	1	1
137	бы оно было	1	1
138	по своей структуре	1	1
139	о том кто	1	1
140	смысле этого слова	1	1
141	в его существе	1	1
142	бы и не	2	1
143	можно пройти мимо	1	1
144	и в котором	1	1
145	со стороны ее	2	1
146	но можно и	1	1
147	себя в бытии	1	1
148	и все эти	2	1
149	раз ведь и	1	1
150	кем-нибудь или не	1	1
151	в истории философии	1	1
152	но можно ли	1	1
153	в бытии кроме	1	1
154	это уже не	1	1
155	ее можно только	1	1
156	имеют в виду	1	1
157	и кажется что	1	1
158	и того же	1	1
159	точки зрения его	1	1
160	ничем не отличаются	1	1
161	но в то	1	1
162	себя в своем	1	1
163	по самому своему	1	1
164	в движении в	1	1
165	в зависимости от	1	1
166	с ним и	1	1
167	нужно помнить что	1	1
168	я позволю себе	1	1
169	то же самое	1	1
170	и все же	1	1
171	со всем что	1	1
172	и говорить о	1	1
173	что может быть	1	1
174	это отнюдь не	1	1
175	хотя бы только	1	1
176	могла бы и	1	1
177	как раз ведь	1	1
178	вместо того чтобы	1	1
179	говорить ни о	1	1
180	я не могу	1	1
181	но в этом	1	1
182	свой смысл и	1	1
183	оба эти момента	2	1
184	в одном случае	1	1
185	что я заговорил	1	1
186	совершенно не зависит	1	1
187	имеет смысл и	1	1
188	может быть и	1	1
