N	2gram	Tiupa_Teor	EvropaiE
1	и в	24	37
2	в отношении	4	32
3	в пределах	5	25
4	точки зрения	11	23
5	что в	10	21
6	не только	24	18
7	с точки	3	17
8	в то	9	16
9	то же	12	15
10	отношении к	4	15
11	в качестве	33	14
12	и не	17	14
13	но и	14	14
14	же время	8	14
15	в своем	7	14
16	но в	12	14
17	в этом	12	12
18	в том	20	11
19	в их	4	11
20	в области	7	11
21	так и	14	10
22	в себе	14	9
23	прежде всего	3	9
24	только в	9	9
25	так же	2	9
26	не может	8	9
27	отнюдь не	3	9
28	с одной	3	8
29	в ее	6	8
30	в своей	8	8
31	одной стороны	3	8
32	между тем	5	8
33	было бы	1	8
34	к тому	4	8
35	так как	1	7
36	того что	5	7
37	а также	7	7
38	как и	6	7
39	между прочим	1	7
40	по своему	4	7
41	также и	1	7
42	с другой	9	7
43	то есть	22	6
44	с этой	3	6
45	в последние	1	6
46	и даже	2	6
47	вслед за	3	6
48	и на	2	6
49	том что	11	6
50	вовсе не	3	6
51	во всех	3	6
52	может быть	22	6
53	того чтобы	5	6
54	для того	5	6
55	стороны и	1	6
56	то что	6	6
57	как бы	8	6
58	на то	1	6
59	в той	2	5
60	тем самым	6	5
61	этой точки	2	5
62	не в	9	5
63	но не	13	5
64	от этого	1	5
65	со стороны	6	5
66	и потому	3	5
67	же как	1	5
68	в частности	23	5
69	как мы	1	5
70	одной из	2	5
71	столь же	3	5
72	но если	1	5
73	и по	3	5
74	в перспективе	1	4
75	в самом	7	4
76	бы то	2	4
77	то в	2	4
78	даже в	3	4
79	ни было	2	4
80	того или	6	4
81	для нас	1	4
82	иными словами	1	4
83	не на	4	4
84	и притом	3	4
85	именно в	3	4
86	по себе	2	4
87	не имеет	1	4
88	в каком	2	4
89	культуры в	3	4
90	тем более	2	4
91	той или	3	4
92	в полной	1	4
93	вопрос о	1	4
94	лежат в	1	4
95	то ни	2	4
96	или иного	6	4
97	как совокупность	3	4
98	как это	10	4
99	несмотря на	2	4
100	сказать что	4	4
101	можно сказать	5	4
102	во многих	1	4
103	или иной	7	4
104	мира в	3	4
105	независимо от	1	4
106	и к	3	3
107	говорит о	1	3
108	но на	2	3
109	ее в	2	3
110	что и	2	3
111	в результате	1	3
112	или иную	2	3
113	не является	5	3
114	можно было	1	3
115	как было	1	3
116	к настоящему	1	3
117	на себя	2	3
118	не более	1	3
119	и некоторые	2	3
120	дело в	2	3
121	тем что	1	3
122	в таком	3	3
123	большинстве случаев	1	3
124	как в	5	3
125	жизни в	2	3
126	мира и	4	3
127	и со	1	3
128	по признаку	1	3
129	по своим	1	3
130	в известном	2	3
131	бы ни	1	3
132	в них	2	3
133	тем в	2	3
134	в данном	9	3
135	идет о	2	3
136	в свою	4	3
137	не дает	1	3
138	ту или	2	3
139	всего лишь	8	3
140	представляет собой	13	3
141	потому что	3	3
142	время в	1	3
143	и тем	5	3
144	во второй	7	3
145	не будет	3	3
146	и для	3	3
147	заключает в	1	3
148	этом смысле	3	3
149	в прошлом	1	3
150	известной степени	3	3
151	существования в	2	3
152	к ним	1	3
153	с тем	1	3
154	известном смысле	2	3
155	в сфере	1	3
156	и от	1	3
157	место в	7	3
158	о том	2	3
159	и прежде	2	3
160	и только	1	3
161	того же	4	3
162	в культуре	3	3
163	из них	1	3
164	их отношении	1	3
165	в известной	1	3
166	никогда не	4	3
167	культура есть	1	2
168	таким образом	3	2
169	иначе говоря	5	2
170	именно к	1	2
171	и то	3	2
172	в другой	1	2
173	во втором	3	2
174	мы видим	1	2
175	по преимуществу	5	2
176	можно в	1	2
177	данном случае	5	2
178	если в	2	2
179	на язык	1	2
180	и того	4	2
181	чем на	1	2
182	в его	12	2
183	свою очередь	3	2
184	что это	1	2
185	хотя и	4	2
186	с этим	1	2
187	какой бы	1	2
188	ни столь	2	2
189	из того	1	2
190	с другими	6	2
191	другой стороны	6	2
192	в европейской	2	2
193	наше внимание	1	2
194	в этих	4	2
195	культуры не	1	2
196	не могут	2	2
197	и наиболее	1	2
198	также в	1	2
199	но с	1	2
200	в своих	1	2
201	при условии	2	2
202	от друга	1	2
203	если бы	3	2
204	или в	3	2
205	заключается в	2	2
206	рынок и	1	2
207	стороны в	1	2
208	в какой	2	2
209	имеет место	3	2
210	вместе с	2	2
211	долгое время	1	2
212	и как	3	2
213	есть в	3	2
214	но по	1	2
215	не есть	1	2
216	в порядке	3	2
217	в мире	26	2
218	между собой	3	2
219	между ними	6	2
220	поскольку он	1	2
221	в сторону	3	2
222	друг от	1	2
223	а именно	3	2
224	на них	1	2
225	только одно	1	2
226	большей части	2	2
227	которое существует	1	2
228	ними и	2	2
229	но как	2	2
230	только к	1	2
231	духовной жизни	2	2
232	и более	1	2
233	в котором	1	2
234	не означает	1	2
235	эти последние	1	2
236	и что	4	2
237	более чем	1	2
238	она не	1	2
239	в значительной	2	2
240	именно потому	1	2
241	имеет в	2	2
242	на основе	2	2
243	и поэтому	1	2
244	он не	5	2
245	кажется что	1	2
246	в развитии	1	2
247	и теперь	1	2
248	и существенно	2	2
249	к такой	2	2
250	а не	14	2
251	в одном	3	2
252	отношений между	1	2
253	на основании	1	2
254	на одну	1	2
255	целый ряд	1	2
256	даже при	1	2
257	далеко не	4	2
258	в истории	1	2
259	по своей	8	2
260	а в	15	2
261	в большинстве	2	2
262	а тем	1	2
263	в этой	3	2
264	культуры и	1	2
265	и каждая	1	2
266	на уровне	2	2
267	мог бы	3	2
268	могут быть	5	2
269	но именно	1	2
270	которое в	1	2
271	что все	1	2
272	во всей	3	2
273	в силу	4	2
274	же в	1	2
275	по средней	1	2
276	жизни и	1	2
277	происходит в	1	2
278	для понимания	2	2
279	всего к	1	2
280	как будто	2	2
281	в случае	2	2
282	культуры как	1	2
283	бы в	1	2
284	или точнее	1	2
285	войны и	1	2
286	есть не	1	2
287	к нему	2	2
288	поскольку не	2	1
289	жизни но	2	1
290	в сочетании	2	1
291	культуры они	1	1
292	ближе к	1	1
293	представить себе	1	1
294	время для	1	1
295	что автор	1	1
296	мире и	2	1
297	и другие	2	1
298	в мировом	1	1
299	является в	1	1
300	в свое	1	1
301	обращены к	2	1
302	все что	1	1
303	или к	1	1
304	в состав	6	1
305	для всех	2	1
306	в более	1	1
307	однако с	2	1
308	в центре	1	1
309	один из	2	1
310	человеческой жизни	3	1
311	значение в	1	1
312	таковы например	2	1
313	с которыми	1	1
314	она и	1	1
315	мы обнаруживаем	1	1
316	рода и	2	1
317	в бесконечно	1	1
318	может не	1	1
319	различие между	1	1
320	на вопрос	2	1
321	но из	1	1
322	также что	1	1
323	должно быть	1	1
324	в случаях	1	1
325	которая в	2	1
326	том числе	3	1
327	например в	3	1
328	и процесс	1	1
329	в жизни	3	1
330	общение с	1	1
331	в состоянии	1	1
332	для себя	3	1
333	том же	1	1
334	к сфере	1	1
335	дело с	1	1
336	при этом	20	1
337	для него	5	1
338	к числу	2	1
339	и иного	1	1
340	а у	1	1
341	но от	2	1
342	мире в	1	1
343	для возникновения	3	1
344	которые лежат	1	1
345	с ним	1	1
346	тем как	1	1
347	в формах	2	1
348	являет собой	3	1
349	не как	1	1
350	в принципе	7	1
351	и лучше	1	1
352	а затем	2	1
353	только отдельные	1	1
354	способность к	2	1
355	но был	1	1
356	у нас	2	1
357	в осознании	1	1
358	к определенному	1	1
359	и другими	1	1
360	развернуть в	1	1
361	быть может	1	1
362	с их	2	1
363	весь мир	1	1
364	в третьем	1	1
365	в русском	1	1
366	реальности это	1	1
367	тому же	1	1
368	а на	3	1
369	мыслится как	5	1
370	оно не	2	1
371	даже вовсе	1	1
372	не было	1	1
373	связи с	3	1
374	если не	1	1
375	более или	6	1
376	особого рода	7	1
377	с некоторыми	1	1
378	отказаться от	1	1
379	на свой	1	1
380	творчества что	1	1
381	такими же	1	1
382	и сам	4	1
383	или иначе	6	1
384	данная сфера	1	1
385	имеет значение	1	1
386	с ней	1	1
387	что его	1	1
388	так называемый	1	1
389	и где	1	1
390	мысль о	1	1
391	по отношению	10	1
392	же по	1	1
393	одновременно с	1	1
394	на территории	1	1
395	что не	1	1
396	именно о	1	1
397	исходит из	1	1
398	из всего	1	1
399	и будет	1	1
400	по-разному в	1	1
401	то время	1	1
402	прошлом и	1	1
403	сводится к	12	1
404	или иная	1	1
405	всех и	2	1
406	принадлежат к	1	1
407	но само	1	1
408	рядом с	1	1
409	можно назвать	1	1
410	тому что	2	1
411	развития но	1	1
412	с той	1	1
413	в связи	3	1
414	те же	1	1
415	с ними	2	1
416	в соответствии	3	1
417	многих других	1	1
418	с такими	1	1
419	что по	1	1
420	все эти	3	1
421	на земле	1	1
422	всем своем	1	1
423	все же	1	1
424	которая при	1	1
425	при таком	1	1
426	отрекается от	1	1
427	противном случае	2	1
428	этого слова	4	1
429	одно из	1	1
430	перед собой	1	1
431	ли не	1	1
432	как более	1	1
433	в такой	1	1
434	его жизни	1	1
435	только и	2	1
436	о котором	1	1
437	в двух	1	1
438	границ между	2	1
439	ни для	2	1
440	речь идет	2	1
441	заключающее в	1	1
442	и это	2	1
443	в каждой	1	1
444	об этом	2	1
445	на себе	1	1
446	или менее	6	1
447	тогда как	18	1
448	уже не	6	1
449	в одной	1	1
450	будущее в	1	1
451	он мог	1	1
452	в аспекте	2	1
453	всем его	1	1
454	казалось бы	2	1
455	а для	2	1
456	к жизни	2	1
457	людей в	1	1
458	не менее	6	1
459	могли бы	2	1
460	непосредственно от	1	1
461	том случае	1	1
462	полной мере	1	1
463	от себя	3	1
464	перед тем	1	1
465	в основе	6	1
466	осуществляется в	1	1
467	они обращены	1	1
468	не сводится	9	1
469	зависит от	1	1
470	не случайна	1	1
471	отличие от	7	1
472	на этом	2	1
473	чтобы в	1	1
474	когда мы	1	1
475	единое целое	2	1
476	случае если	1	1
477	по большей	2	1
478	тех кто	1	1
479	если воспринимать	1	1
480	в лучшем	1	1
481	случаи когда	1	1
482	тот что	1	1
483	то и	1	1
484	человеческого бытия	2	1
485	каждого из	1	1
486	связана с	1	1
487	в мировой	2	1
488	и иных	2	1
489	ту же	1	1
490	более того	1	1
491	другой своей	1	1
492	этом мире	2	1
493	не быть	1	1
494	с совершенно	1	1
495	времени в	2	1
496	чтобы такой	1	1
497	из перечисленных	2	1
498	или же	1	1
499	а через	1	1
500	слова и	1	1
501	быть и	2	1
502	положений и	1	1
503	бы они	1	1
504	значение для	1	1
505	или иных	3	1
506	и их	1	1
507	в которую	1	1
508	другим в	1	1
509	говорить о	4	1
510	на его	1	1
511	тех же	1	1
512	к области	3	1
513	за пределы	2	1
514	на примере	1	1
515	не обязательно	3	1
516	входит в	4	1
517	и до	1	1
518	своем значении	1	1
519	значительной степени	2	1
520	принадлежит не	1	1
521	и те	1	1
522	перед лицом	2	1
523	в совершенно	1	1
524	от своей	1	1
525	чтобы не	2	1
526	этих случаях	1	1
527	это может	2	1
528	что из	1	1
529	и наоборот	2	1
530	еще большей	1	1
531	или иное	1	1
532	некоторые иные	2	1
533	бытия это	1	1
534	и категорий	1	1
