N	2gram	Tiupa_Hudo	Problema
1	и в	34	182
2	то есть	1	165
3	и не	15	152
4	вовсе не	2	145
5	то что	13	144
6	не только	22	104
7	потому что	7	89
8	в этом	22	88
9	может быть	12	82
10	в том	24	81
11	том что	31	81
12	не просто	1	80
13	только в	8	73
14	сказать что	3	72
15	но и	13	70
16	в виде	2	69
17	также и	1	68
18	и даже	4	66
19	по себе	3	64
20	не менее	9	58
21	о том	21	57
22	тем не	7	56
23	а не	23	56
24	так и	19	56
25	но в	6	55
26	так что	3	52
27	ни в	5	51
28	для нас	4	50
29	в себе	19	48
30	отнюдь не	4	48
31	смысле слова	1	47
32	было бы	8	46
33	прежде всего	12	45
34	в своей	15	45
35	что в	8	44
36	в его	17	44
37	не в	16	43
38	все эти	4	43
39	то же	14	42
40	а именно	1	42
41	как раз	7	42
42	и что	3	40
43	и то	2	40
44	что он	14	40
45	так как	2	40
46	что мы	1	40
47	во всяком	1	39
48	не может	10	39
49	такого рода	4	39
50	и тем	2	39
51	в этой	11	39
52	как бы	11	39
53	той или	1	38
54	в данном	3	38
55	хотя бы	2	37
56	никак не	3	37
57	в нем	5	37
58	того что	5	37
59	точки зрения	7	36
60	есть нечто	1	36
61	еще не	10	36
62	и все	10	36
63	когда мы	2	35
64	и т	15	35
65	в виду	1	34
66	уже не	12	34
67	и с	10	34
68	как и	16	34
69	же самое	4	33
70	в таком	3	33
71	не является	1	33
72	т д	5	33
73	или иной	2	33
74	здесь не	2	32
75	в то	12	32
76	но не	7	32
77	едва ли	6	32
78	так же	3	31
79	в своем	9	31
80	связи с	4	31
81	в конце	5	31
82	но это	2	31
83	все это	2	31
84	ясно что	2	30
85	и для	5	30
86	с другой	4	30
87	настоящее время	1	30
88	в настоящее	1	30
89	в связи	3	29
90	все же	5	29
91	можно сказать	9	29
92	перед нами	13	29
93	как мы	5	29
94	об этом	8	29
95	что же	4	28
96	данном случае	3	28
97	мы не	2	28
98	а в	11	28
99	есть только	1	28
100	и о	8	28
101	и это	7	27
102	и как	1	27
103	хотя и	3	27
104	ничего общего	1	27
105	ничего не	11	27
106	в результате	2	26
107	другой стороны	1	26
108	да и	5	26
109	как будто	7	26
110	вместе с	2	26
111	еще и	2	26
112	это не	12	26
113	и его	8	26
114	и на	6	25
115	тем самым	2	25
116	с точки	5	25
117	всяком случае	1	25
118	с тем	1	24
119	на самом	2	24
120	тем более	1	24
121	в нашем	2	24
122	и вполне	1	24
123	не имеет	2	24
124	содержит в	2	23
125	таком случае	1	23
126	по своему	3	23
127	на то	4	23
128	при этом	21	23
129	тут же	1	23
130	в качестве	13	23
131	и притом	1	23
132	конце концов	1	23
133	а только	4	23
134	то и	5	23
135	и к	6	22
136	раз и	2	22
137	только на	6	22
138	никогда не	8	22
139	всех этих	1	22
140	тоже не	2	22
141	нет ничего	4	22
142	есть в	1	22
143	его в	5	22
144	и от	6	22
145	что и	3	22
146	в самом	7	21
147	мы должны	1	21
148	и ее	3	21
149	говорить о	4	21
150	для себя	9	21
151	а также	4	21
152	и без	1	21
153	и только	2	21
154	именно в	9	20
155	для того	3	20
156	но как	3	20
157	можно было	6	20
158	и потому	3	20
159	о чем	9	20
160	тем что	6	20
161	несмотря на	7	20
162	как о	3	20
163	или в	3	20
164	в них	3	19
165	с ним	6	19
166	самом деле	6	19
167	того или	4	19
168	уже в	2	19
169	то в	6	19
170	в отношении	1	19
171	этом смысле	1	19
172	он не	8	19
173	если бы	7	19
174	как в	11	19
175	жизни и	10	19
176	в этих	7	18
