N	2gram	Berdyaev_M	UchenyiS
1	и в	61	14
2	не только	42	10
3	а не	36	10
4	и не	26	8
5	прежде всего	18	8
6	то что	10	7
7	в этом	34	7
8	не может	39	7
9	может быть	42	6
10	в искусстве	1	6
11	перестает быть	1	5
12	хотя бы	8	5
13	то же	4	5
14	и только	1	5
15	все это	6	5
16	с другой	1	4
17	в этой	12	4
18	в россии	2	4
19	конечно не	3	4
20	что такое	2	4
21	но и	34	4
22	в их	4	4
23	было бы	11	3
24	не о	2	3
25	и то	2	3
26	для этого	3	3
27	произведения искусства	1	3
28	это не	10	3
29	как и	14	3
30	вряд ли	3	3
31	для него	28	3
32	формы в	1	3
33	в своей	18	3
34	все же	2	3
35	в области	1	3
36	в частности	1	3
37	в то	2	3
38	не как	4	3
39	у нас	13	3
40	но в	12	3
41	литературы и	2	2
42	все они	1	2
43	в самом	15	2
44	если не	1	2
45	же не	2	2
46	могли бы	1	2
47	его и	2	2
48	если бы	5	2
49	самом деле	2	2
50	могут быть	2	2
51	является в	1	2
52	не в	16	2
53	это было	1	2
54	бы и	8	2
55	и с	6	2
56	до сих	5	2
57	их и	1	2
58	художественном творчестве	1	2
59	одним из	2	2
60	еще ничего	1	2
61	но не	8	2
62	тем что	7	2
63	более чем	3	2
64	в себе	12	2
65	в его	10	2
66	в конце	11	2
67	даже и	2	2
68	должна быть	7	2
69	мы не	2	2
70	ничего не	4	2
71	всех этих	1	2
72	между тем	2	2
73	что она	5	2
74	не есть	21	2
75	что он	16	2
76	конце концов	3	2
77	на эту	1	2
78	этом отношении	1	2
79	о чем	3	2
80	пишет он	2	2
81	не могут	6	2
82	а как	2	2
83	что мы	1	2
84	в том	9	2
85	представляется нам	1	2
86	том что	7	2
87	и через	1	2
88	с проблемой	1	2
89	нас в	3	2
90	но это	8	2
91	а о	1	2
92	и для	7	2
93	что и	6	2
94	к области	1	2
95	в сторону	1	2
96	не столько	1	2
97	не случайно	1	2
98	смысле этого	1	2
99	с его	6	2
100	и у	3	2
101	превращается в	1	2
102	сих пор	5	2
103	только в	7	2
104	по себе	2	2
105	что все	5	2
106	не все	3	2
107	вопроса о	1	2
108	верно и	1	1
109	этот путь	3	1
110	на большую	2	1
111	в той	3	1
112	литературы в	1	1
113	признать что	1	1
114	что было	2	1
115	все в	7	1
116	что в	12	1
117	не было	25	1
118	остается в	1	1
119	бы только	1	1
120	и даже	1	1
121	так всегда	1	1
122	она все	1	1
123	всего что	2	1
124	и потому	17	1
125	и этого	1	1
126	но он	17	1
127	всех у	1	1
128	в свое	1	1
129	в которой	8	1
130	все и	1	1
131	имеем в	1	1
132	но идея	1	1
133	пафос его	3	1
134	что же	2	1
135	которой все	2	1
136	и быть	2	1
137	у кого	2	1
138	все его	3	1
139	что ему	1	1
140	изжит и	1	1
141	много в	2	1
142	он уже	8	1
143	а для	2	1
144	от смысла	1	1
145	нет и	6	1
146	наука о	1	1
147	как на	1	1
148	у толстого	1	1
149	никогда и	1	1
150	а где	1	1
151	быть не	2	1
152	он в	4	1
153	и все	13	1
154	и возвращается	2	1
155	которые могли	1	1
156	слова а	1	1
157	из самых	9	1
158	существенным для	1	1
159	же как	1	1
160	сказать что	5	1
161	в сфере	2	1
162	и эта	3	1
163	достоевского и	12	1
164	она должна	1	1
165	он будет	1	1
166	его как	2	1
167	него не	3	1
168	но для	2	1
169	то есть	3	1
170	этот процесс	5	1
171	от которой	1	1
172	и др	1	1
173	его раскрывает	1	1
174	ее как	2	1
175	и действительно	1	1
176	того как	3	1
177	он знает	2	1
178	переходит в	23	1
179	пределов и	1	1
180	то и	1	1
181	так много	1	1
182	она не	9	1
183	быть в	1	1
184	в течение	1	1
185	до конца	16	1
186	она в	1	1
187	в своем	17	1
188	тогда когда	2	1
189	с тем	10	1
190	в значительной	2	1
191	входит в	3	1
192	для себя	1	1
193	что только	1	1
194	его на	4	1
195	относится к	2	1
196	он становится	1	1
197	находит себе	1	1
198	мы имеем	1	1
199	не без	1	1
200	начала и	1	1
201	но также	2	1
202	тому чтобы	2	1
203	их в	1	1
204	не для	2	1
205	он может	1	1
206	знает только	2	1
207	с самим	5	1
208	в ней	23	1
209	но по	1	1
210	что такой	1	1
211	впервые в	1	1
212	л толстой	2	1
213	из первых	1	1
214	но что	1	1
215	и прежде	1	1
216	это значит	3	1
217	в этот	2	1
218	идет не	1	1
219	в период	1	1
220	не вполне	1	1
221	на то	1	1
222	он и	2	1
223	но если	4	1
224	они до	1	1
225	бы ни	2	1
226	не значит	2	1
227	сам по	2	1
228	только для	1	1
229	в которых	5	1
230	к этому	3	1
231	так и	5	1
232	о нем	2	1
233	это в	1	1
234	ее в	1	1
235	толстого и	1	1
236	находятся в	1	1
237	и вся	1	1
238	пишет в	1	1
239	до предела	1	1
240	в нем	26	1
241	ничего подобного	3	1
242	это верно	2	1
243	он не	34	1
244	не внешне	1	1
245	всего лишь	1	1
246	и истории	1	1
247	все что	5	1
248	если нет	9	1
249	на его	1	1
250	есть ли	2	1
251	и что	4	1
252	одно из	3	1
253	отказ от	1	1
254	и это	16	1
255	завоевать себе	1	1
256	он был	18	1
257	как живой	1	1
258	закон и	1	1
259	на своем	4	1
260	за пределы	5	1
261	и делает	1	1
262	они в	1	1
263	имеет свою	1	1
264	должно быть	5	1
265	л толстого	3	1
266	об этом	2	1
267	себя на	1	1
268	в виду	2	1
269	к которой	4	1
270	на конкретную	1	1
271	пушкина но	1	1
272	в пределах	1	1
273	тот же	1	1
274	искусство и	1	1
275	уже не	8	1
276	ценность в	1	1
277	у других	2	1
278	о том	5	1
279	не то	1	1
280	тем более	1	1
281	того что	13	1
282	искусства в	1	1
283	обращение к	1	1
284	определяется не	1	1
285	у него	38	1
286	бы это	2	1
287	в котором	9	1
288	у пушкина	1	1
289	не существует	5	1
290	для подлинно	1	1
291	бы в	3	1
292	той же	3	1
293	приводит к	2	1
294	никогда не	30	1
295	человека и	19	1
296	к построению	1	1
