N	4gram	Losev_Dial	Psycholo
1	заключается в том что	1	23
2	в то время как	6	13
3	одной и той же	4	12
4	с этой точки зрения	4	10
5	одно и то же	2	7
6	до тех пор пока	1	6
7	не что иное как	6	6
8	так же как и	1	5
9	в том что в	1	4
10	одна и та же	3	4
11	в самом деле если	1	4
12	и в том что	1	3
13	в то же время	3	3
14	и то и другое	1	3
15	же как и в	1	3
16	в том смысле что	1	3
17	ни в каком случае	2	2
18	ошибемся если скажем что	1	2
19	что с точки зрения	2	2
20	поскольку речь идет о	1	2
21	вовсе не в том	2	2
22	в том что они	1	2
23	в такой же мере	1	2
24	по самой своей природе	1	2
25	заключается не в том	1	2
26	на том же самом	1	2
27	с одной стороны и	1	2
28	и т д все	1	2
29	и тем не менее	2	2
30	если принять во внимание	1	2
31	и т д и	8	2
32	т д и т	7	2
33	бы то ни было	1	2
34	не в том что	4	2
35	д и т д	7	2
36	есть не что иное	3	2
37	как и все прочие	1	1
38	ясно что с точки	1	1
39	уже не может быть	1	1
40	во что бы то	1	1
41	то это значит что	3	1
42	от тех или иных	1	1
43	что иное как именно	1	1
44	то время как для	1	1
45	мы не ошибемся если	1	1
46	не имеет никакого отношения	3	1
47	заключается вовсе не в	1	1
48	сами по себе совершенно	1	1
49	в коем случае не	4	1
50	иное как именно это	1	1
51	надо искать не в	1	1
52	в данном случае в	1	1
53	то время как на	1	1
54	есть не более как	1	1
55	говорить не только о	1	1
56	столько же сколько и	1	1
57	ни в коем случае	4	1
58	на самом деле есть	1	1
59	в связи с этим	1	1
60	по самому существу своему	1	1
61	мы уже заранее знаем	1	1
62	это потому что в	1	1
63	в самом деле что	2	1
64	не то же самое	1	1
65	свой смысл и свое	1	1
66	быть так или иначе	1	1
67	и может быть даже	1	1
68	что это вовсе не	1	1
69	если иметь в виду	2	1
70	по одному тому что	3	1
71	так что в сущности	1	1
72	и вместе с ним	1	1
73	сказать что она есть	1	1
74	дело вовсе не в	1	1
75	есть одна из самых	1	1
76	как одна из форм	1	1
77	в том что все	1	1
78	но как только мы	1	1
79	ни на одной из	1	1
80	в ней и в	1	1
81	может быть иной раз	1	1
82	того на что способно	1	1
83	если это так то	1	1
84	что бы то ни	1	1
85	самом деле есть не	1	1
86	исключительно с точки зрения	1	1
87	и именно в этом	1	1
88	если мы будем говорить	1	1
89	ни в чем не	1	1
90	хотя бы только в	1	1
91	ни к чему не	1	1
92	по крайней мере в	3	1
93	можно прямо сказать что	1	1
94	это относится только к	1	1
95	сам по себе и	1	1
96	и т д спрашивается	1	1
97	которые сами по себе	1	1
98	коем случае не может	1	1
99	на то что с	1	1
100	не ошибемся если скажем	1	1
101	угодно но только не	1	1
102	что это относится только	1	1
103	об одной и той	1	1
104	и т д при	1	1
105	ни на что не	1	1
106	легко заметить что это	1	1
107	в чем именно заключается	1	1
108	в каком случае нельзя	1	1
109	бы то ни стало	1	1
110	характера и что в	1	1
111	все время перед нами	1	1
112	и в этом смысле	1	1
113	о котором я говорил	1	1
114	то одним то другим	1	1
115	ни другого ни третьего	1	1
