N	3gram	Bakhtin_Fr	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	6	6
3	во всяком случае	2	6
4	друг с другом	2	5
5	до сих пор	7	5
6	для того чтобы	2	5
7	в том числе	10	5
8	том числе и	7	4
9	но все же	3	4
10	о том что	3	4
11	к тому же	1	4
12	в том что	6	3
13	в конце концов	1	3
14	всяком случае не	1	3
15	главным образом в	1	3
16	в связи с	1	3
17	некоторые из них	1	2
18	той или иной	5	2
19	и связанные с	1	2
20	в значительной мере	3	2
21	еще только в	1	2
22	на то что	1	2
23	сих пор еще	4	2
24	таким образом в	1	2
25	то или иное	1	2
26	по сравнению с	2	2
27	можно сказать что	3	2
28	в этом отношении	5	2
29	то же время	5	2
30	в то же	5	2
31	но все это	2	2
32	мы видели что	1	1
33	а в области	1	1
34	которые мыслились как	1	1
35	сами по себе	1	1
36	так и в	3	1
37	настоящее время он	1	1
38	всего существующего в	1	1
39	в их чистом	2	1
40	но при этом	1	1
41	но в общем	1	1
42	потому что в	1	1
43	не потому что	1	1
44	все более и	1	1
45	именно потому что	1	1
46	сказать что в	1	1
47	а между тем	1	1
48	в настоящее время	1	1
49	не только не	1	1
50	чуть ли не	1	1
51	на все и	1	1
52	но в то	2	1
53	несколько иной характер	1	1
54	конечно очень много	1	1
55	он как бы	2	1
56	с богами и	1	1
57	мы видим что	1	1
58	до известной степени	2	1
59	не может быть	5	1
60	то есть о	1	1
61	по отношению к	2	1
62	и в то	2	1
63	начиная с конца	1	1
64	одной из этих	1	1
65	мы имеем в	1	1
66	не только от	1	1
67	и в общем	1	1
68	на германской почве	1	1
69	в отличие от	4	1
70	во всей своей	1	1
71	и превращается в	1	1
72	и будущее он	1	1
73	до настоящего времени	1	1
74	в одну из	1	1
75	из них не	1	1
76	в эту эпоху	5	1
77	в первую очередь	1	1
78	что касается до	2	1
79	в xvii веке	6	1
80	имеем в виду	2	1
81	было конечно очень	1	1
82	связи и с	1	1
83	в самом деле	1	1
84	в так называемой	1	1
85	в одном из	1	1
86	только то что	1	1
87	во всех других	2	1
88	в области отношения	1	1
89	не представляется возможным	1	1
90	как бы в	1	1
91	с другой стороны	1	1
92	точки соприкосновения с	1	1
93	уже говорили о	1	1
94	мы уже говорили	12	1
95	рождение и смерть	1	1
96	можно только в	1	1
97	несмотря на его	1	1
98	перестает быть тем	1	1
99	таким образом он	1	1
100	более и более	1	1
101	не только как	1	1
102	области отношения к	1	1
103	здесь говорить не	1	1
104	в общем можно	1	1
105	с этого момента	1	1
106	греков и римлян	1	1
107	пор еще недостаточно	2	1
108	никогда не могут	1	1
