N	3gram	Bakhtin_KF	Problema
1	тем не менее	2	56
2	в том что	2	37
3	то же самое	1	30
4	вовсе не есть	2	30
5	в настоящее время	1	30
6	той или иной	2	26
7	во всяком случае	1	25
8	с точки зрения	10	25
9	и то что	1	20
10	на то что	1	19
11	в этом смысле	3	19
12	ни в каком	2	18
13	для того чтобы	1	17
14	в то же	2	17
15	и тем не	1	15
16	до сих пор	1	14
17	того или иного	3	13
18	на самом деле	3	13
19	не может быть	11	12
20	той или другой	1	12
21	и в этом	3	12
22	дело в том	1	11
23	бы то ни	2	11
24	и тем самым	1	10
25	вместе с тем	1	10
26	а не просто	1	10
27	и ни в	2	9
28	может быть и	1	9
29	только в том	1	8
30	может быть только	7	8
31	только тогда когда	1	8
32	когда мы говорим	1	7
33	то или иное	2	7
34	это и есть	1	7
35	и как бы	1	6
36	но отнюдь не	1	6
37	и только в	3	6
38	и в его	1	6
39	едва ли кто-нибудь	1	6
40	не есть просто	1	6
41	то ни было	2	6
42	в том смысле	1	6
43	здесь не в	1	6
44	само по себе	1	6
45	по себе а	1	5
46	хотя бы и	1	5
47	в чем не	4	5
48	пока еще не	1	5
49	имеем в виду	2	5
50	если мы возьмем	1	5
51	это и не	1	5
52	в зависимости от	1	5
53	не менее в	1	5
54	ни в чем	4	5
55	на том что	1	4
56	дело не в	1	4
57	в одном случае	1	4
58	не было бы	3	4
59	и в своей	3	4
60	дело здесь не	2	4
61	это уже не	1	4
62	вопрос о том	2	4
63	в другом случае	1	4
64	не значит что	1	4
65	на первом плане	2	4
66	а именно в	1	4
67	равно как и	1	4
68	ту или иную	1	4
69	не потому что	1	4
70	и не в	1	4
71	во всех этих	2	4
72	это не значит	1	3
73	бы не было	1	3
74	мы никогда не	1	3
75	и того же	1	3
76	людей и их	1	3
77	к тому что	1	3
78	но это не	1	3
79	до того что	1	3
80	то что и	1	3
81	ни о каких	1	3
82	здесь вовсе не	1	3
83	если бы не	1	3
84	здесь мы имеем	2	3
85	что может быть	1	3
86	что и в	1	3
87	ровно ничего не	1	3
88	несмотря на то	1	3
89	одного и того	1	3
90	в истории философии	1	3
91	и в то	1	3
92	в виду и	1	3
93	в известном смысле	1	3
94	и может быть	2	3
95	но в то	1	3
96	но можно ли	1	3
97	со всеми своими	1	2
98	в то или	1	2
99	по отношению к	22	2
100	уже не в	1	2
101	мы говорим о	2	2
102	с ним в	1	2
103	не совпадает с	1	2
