N	2gram	Tiupa_Teor	IolandNe
1	что в	10	2
2	он не	5	2
3	должен быть	2	2
4	и не	17	2
5	в этом	12	2
6	говорить о	4	1
7	все эти	3	1
8	для того	5	1
9	а в	15	1
10	и о	5	1
11	к нам	2	1
12	это было	2	1
13	и со	1	1
14	что для	1	1
15	для него	5	1
16	не остается	1	1
17	с героем	1	1
18	тех же	1	1
19	тем что	1	1
20	такого знания	2	1
21	не случайно	5	1
22	ибо и	1	1
23	и чрезвычайно	1	1
24	того же	4	1
25	художественного творчества	5	1
26	не так	1	1
27	и др	3	1
28	о жизни	2	1
29	первую очередь	1	1
30	жизни и	1	1
31	с другой	9	1
32	этого писателя	1	1
33	в целом	4	1
34	более чем	1	1
35	точно и	1	1
36	другой стороны	6	1
37	я не	2	1
38	себя в	7	1
39	то и	1	1
40	в первую	1	1
41	и смыслы	1	1
42	если бы	3	1
43	у и	2	1
44	отношению к	10	1
45	в художественном	5	1
46	по существу	1	1
47	и сам	4	1
48	того что	5	1
49	а с	3	1
50	для других	1	1
51	по поводу	1	1
52	а также	7	1
53	так и	14	1
54	автора и	2	1
55	в основе	6	1
56	в значительной	2	1
57	без этого	1	1
58	о ней	3	1
59	от этого	1	1
60	того чтобы	5	1
61	и без	1	1
62	а для	2	1
63	бы в	1	1
64	с жизнью	1	1
65	этим и	1	1
66	не дает	1	1
67	а по	1	1
68	и в	24	1
69	его личности	1	1
70	никогда не	4	1
71	все это	2	1
72	по отношению	10	1
73	со всеми	1	1
74	на котором	2	1
75	то она	1	1
76	в них	2	1
