N	3gram	Tiupa_Narr	VeschiIm
1	и т д	1	38
2	не может быть	6	24
3	бы то ни	1	12
4	то ни было	1	12
5	что иное как	1	12
6	тем не менее	6	11
7	содержит в себе	1	11
8	по крайней мере	1	10
9	в том что	11	9
10	в самом деле	3	7
11	на то что	2	7
12	по сравнению с	1	7
13	с точки зрения	2	6
14	может быть только	1	6
15	и не только	1	6
16	так или иначе	1	6
17	в свою очередь	2	5
18	в то же	7	5
19	и то же	2	5
20	и то что	1	5
21	одно и то	2	5
22	подобно тому как	4	5
23	не только в	12	5
24	то время как	1	4
25	что в ней	1	4
26	этой точки зрения	1	4
27	с этой точки	1	4
28	в то время	1	4
29	более или менее	2	4
30	сам по себе	1	4
31	не только не	2	4
32	дело в том	2	4
33	о том что	3	4
34	само по себе	1	4
35	то же время	7	4
36	как она есть	1	3
37	и даже не	1	3
38	той или другой	1	3
39	можно сказать что	5	3
40	из того что	1	3
41	сами по себе	2	3
42	в отрыве от	1	3
43	мы не можем	1	3
44	можно было бы	1	3
45	и в то	2	3
46	не может не	1	3
47	только то что	1	3
48	с одной стороны	5	3
49	то что мы	1	3
50	с другой стороны	1	3
51	так же как	1	2
52	потому что я	1	2
53	в той или	1	2
54	не только к	1	2
55	дело не с	1	2
56	в данном случае	12	2
57	то что не	1	2
58	в этом смысле	1	2
59	для того чтобы	4	2
60	по природе своей	1	2
61	друг с другом	1	2
62	что только в	1	2
63	в том или	1	2
64	в первом случае	3	2
65	как раз в	3	2
66	быть не только	1	2
67	а не в	1	2
68	в связи с	3	2
69	она может быть	1	2
70	к тому что	4	2
71	но все же	1	2
72	то что я	1	2
73	во всяком случае	2	2
74	в этом отношении	5	2
75	как раз и	1	2
76	не мог бы	1	2
77	в этом и	3	2
78	в основе своей	1	2
79	мы имеем дело	4	2
80	есть все же	1	1
81	в полной мере	1	1
82	в самом начале	1	1
83	не просто слово	1	1
84	имя может быть	1	1
85	одной стороны и	1	1
86	то и в	1	1
87	жизни в жизни	1	1
88	и у нас	1	1
89	в сущности в	1	1
90	уже не мог	2	1
91	и как бы	1	1
92	отождествление с ним	1	1
93	и потому что	1	1
94	это вовсе еще	1	1
95	только в учебниках	1	1
96	стало быть и	2	1
97	по себе но	1	1
98	по себе а	1	1
99	никак не может	1	1
100	в той же	1	1
101	качестве одного из	1	1
102	но и здесь	1	1
103	но и в	4	1
104	в интересующей нас	1	1
105	в том смысле	1	1
106	однако подобное рассуждение	1	1
107	в данный момент	1	1
108	как это было	1	1
109	оно не только	1	1
110	первом случае мы	1	1
111	в целом он	1	1
112	ничего не говорит	1	1
113	указывает не на	1	1
114	в чем он	1	1
115	здесь не только	2	1
116	самом деле в	1	1
117	не годится в	1	1
118	однако и здесь	1	1
119	свою позицию как	1	1
120	один и тот	1	1
121	и со стороны	1	1
122	об этом в	1	1
123	и в самом	1	1
124	что не только	1	1
125	самом деле не	1	1
126	ни у кого	1	1
127	какой бы то	1	1
128	ли в самом	1	1
129	тем более не	1	1
130	не я сам	1	1
131	из наиболее существенных	1	1
132	и тот же	1	1
133	необходимо должна быть	1	1
134	один из наиболее	1	1
135	не в том	1	1
136	и его можно	1	1
137	не может существовать	1	1
138	во втором случае	1	1
139	что у него	2	1
140	в самом общем	1	1
141	вовсе еще не	1	1
142	в смысловом отношении	2	1
143	до сих пор	3	1
144	одного и того	2	1
145	и оно не	1	1
146	и здесь мы	1	1
147	и еще более	1	1
148	с этой стороны	1	1
149	тех кто не	1	1
150	то и его	1	1
151	таким образом что	1	1
152	что все эти	1	1
153	ни о чем	2	1
154	речь идет о	3	1
155	тем же самым	1	1
156	по своей природе	1	1
157	мы не знаем	1	1
158	что человек есть	1	1
159	не могла бы	1	1
160	только потому что	1	1
161	это уже не	1	1
162	и вот я	1	1
163	и того же	2	1
164	в качестве одного	1	1
165	он и не	1	1
166	а в том	2	1
167	необходимо должно быть	1	1
168	а за ними	1	1
169	в ней не	1	1
170	никто ничего не	1	1
171	у него нет	1	1
172	в зависимости от	3	1
173	к другому человеку	1	1
174	не может обойтись	1	1
175	в третьем случае	1	1
176	в ней есть	1	1
177	на то чтобы	2	1
178	то же самое	3	1
179	и все же	4	1
180	что с точки	1	1
181	вместо того чтобы	1	1
182	я не могу	1	1
183	но в этом	1	1
184	и как именно	1	1
185	но и к	1	1
186	оба эти момента	1	1
187	он говорит о	1	1
188	в этой связи	1	1
189	относится и к	1	1
190	не то что	1	1
191	по его мнению	1	1
192	предполагает со стороны	2	1
193	поэтому в качестве	1	1
194	на эту тему	1	1
195	или хотя бы	1	1
196	еще и потому	1	1
197	и не может	3	1
198	сливаются в один	1	1
199	а также и	1	1
200	может быть и	1	1
