N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	13	16
2	в то же	8	15
3	то же время	8	14
4	в отношении к	2	12
5	и в то	3	8
6	в том что	6	6
7	так же как	1	5
8	как нам кажется	1	5
9	той или иной	2	4
10	не только в	1	4
11	и в этом	1	4
12	друг с другом	6	3
13	в той или	1	3
14	во всех случаях	1	3
15	в применении к	1	3
16	можно было бы	2	3
17	в этом смысле	5	3
18	хотя бы и	2	3
19	во всяком случае	1	3
20	можно сказать что	6	3
21	и прежде всего	5	3
22	в этом отношении	1	3
23	так и в	2	2
24	между ними и	1	2
25	в одном из	1	2
26	сказать что в	1	2
27	мы можем сказать	1	2
28	и все другие	1	2
29	нам кажется что	3	2
30	но в то	3	2
31	не может быть	8	2
32	на то что	2	2
33	в большинстве случаев	9	2
34	в данном случае	1	2
35	прежде всего в	1	2
36	по сравнению с	6	2
37	друг от друга	2	2
38	с другой стороны	3	2
39	xviii и xix	3	2
40	нужно заметить что	1	2
41	или хотя бы	1	2
42	мы видели что	2	1
43	или меньшей степени	5	1
44	хотя и не	3	1
45	и связанной с	1	1
46	кажется что в	1	1
47	в одной из	1	1
48	ли это что	1	1
49	наше внимание на	1	1
50	и затем в	1	1
51	следует отметить что	2	1
52	именно потому что	1	1
53	отметить что в	1	1
54	и с точки	1	1
55	то есть в	5	1
56	но и во	1	1
57	в которых может	1	1
58	дело в том	3	1
59	в эту эпоху	1	1
60	смысле этого слова	2	1
61	по другую сторону	2	1
62	они действуют и	1	1
63	мы находим у	1	1
64	большей или меньшей	6	1
65	так и для	1	1
66	или в отношении	1	1
67	которая как мы	1	1
68	но в процессе	1	1
69	а не к	1	1
70	к тому что	1	1
71	но и в	2	1
72	том числе и	13	1
73	можем сказать что	1	1
74	в этом мире	1	1
75	тех или иных	2	1
76	это один из	1	1
77	и тем более	1	1
78	почти никогда не	1	1
79	и тем самым	1	1
80	в соответствии с	2	1
81	и ту же	1	1
82	в отличие от	1	1
83	значит ли это	1	1
84	так как мы	1	1
85	и отчасти к	1	1
86	как и его	1	1
87	которые по своему	1	1
88	не только между	1	1
89	один и тот	1	1
90	мы увидим что	1	1
91	одну и ту	1	1
92	но если и	1	1
93	выходит за пределы	1	1
94	в связи с	1	1
95	в их совокупности	1	1
96	относятся к области	1	1
97	и тот же	1	1
98	мы бы сказали	1	1
99	в пределах одного	6	1
100	в том числе	15	1
101	и в другие	1	1
102	он сам и	1	1
103	весьма вероятно что	1	1
104	каждого из них	1	1
105	в нем и	1	1
106	богатство и разнообразие	1	1
107	в своей совокупности	1	1
108	более или менее	3	1
109	мы говорили в	2	1
110	также и в	1	1
111	принадлежат к числу	1	1
112	на этот вопрос	1	1
113	и во многих	2	1
114	в большей или	5	1
115	и для того	1	1
116	к тому же	1	1
117	не исключает возможности	1	1
118	а также и	3	1
119	мы остановились на	1	1
120	может быть и	2	1
121	друг к другу	1	1
