N	2gram	Vygotskiy_	EvropaiE
1	и в	37	37
2	в отношении	14	32
3	в пределах	1	25
4	точки зрения	49	23
5	что в	25	21
6	не только	29	18
7	с точки	34	17
8	в то	7	16
9	то же	12	15
10	хотя бы	7	15
11	отношении к	1	15
12	в качестве	12	14
13	и не	15	14
14	но и	23	14
15	же время	2	14
16	в своем	10	14
17	но в	9	14
18	в этом	32	12
19	в том	47	11
20	в их	5	11
21	в области	4	11
22	с и	3	10
23	так и	12	10
24	в себе	8	9
25	прежде всего	12	9
26	только в	8	9
27	в смысле	2	9
28	все более	4	9
29	так же	18	9
30	не может	16	9
31	отнюдь не	2	9
32	с одной	14	8
33	в ее	3	8
34	в своей	7	8
35	одной стороны	15	8
36	между тем	10	8
37	было бы	12	8
38	думать что	1	8
39	к тому	10	8
40	так как	11	7
41	того что	28	7
42	а также	1	7
43	как и	20	7
44	между прочим	1	7
45	по своему	1	7
46	также и	2	7
47	с другой	16	7
48	нам кажется	1	7
49	с этой	7	6
50	и даже	5	6
51	вслед за	3	6
52	и на	8	6
53	том что	42	6
54	вовсе не	5	6
55	во всех	4	6
56	может быть	19	6
57	того чтобы	23	6
58	для того	19	6
59	стороны и	3	6
60	то что	32	6
61	как бы	16	6
62	на то	11	6
63	в той	1	5
64	тем самым	8	5
65	в виде	3	5
66	этой точки	2	5
67	не в	9	5
68	но не	6	5
69	к которым	3	5
70	от этого	4	5
71	со стороны	4	5
72	и потому	3	5
73	которую мы	6	5
74	в течение	4	5
75	же как	8	5
76	в частности	8	5
77	как мы	11	5
78	одной из	4	5
79	столь же	8	5
80	но если	3	5
81	и по	3	5
82	в самом	16	4
83	бы то	1	4
84	то в	1	4
85	мы не	13	4
86	даже в	4	4
87	ни было	1	4
88	того или	1	4
89	для нас	4	4
90	иными словами	2	4
91	не на	1	4
92	чем в	1	4
93	само по	3	4
94	в некотором	1	4
95	именно в	8	4
96	в процессе	19	4
97	по себе	9	4
98	не имеет	5	4
99	в каком	3	4
100	тем более	7	4
101	той или	3	4
102	не служит	1	4
103	вопрос о	11	4
104	но даже	2	4
105	лежат в	1	4
106	то ни	1	4
107	как это	6	4
108	несмотря на	6	4
109	в направлении	1	4
110	к ней	1	4
111	в ней	2	4
112	сказать что	16	4
113	можно сказать	6	4
114	или иной	3	4
115	на всем	3	4
116	независимо от	10	4
117	и к	9	3
118	применении к	1	3
119	но на	4	3
120	и мы	3	3
121	приближается к	1	3
122	она в	1	3
123	в применении	2	3
124	значительная часть	1	3
125	из всех	3	3
126	можно считать	2	3
127	этом отношении	6	3
128	ее в	3	3
129	что и	3	3
130	в результате	7	3
131	или иную	1	3
132	мы можем	11	3
133	не является	16	3
134	себе не	1	3
135	можно было	6	3
136	дело в	3	3
137	тем что	7	3
138	очевидно что	4	3
139	в таком	1	3
140	вообще не	1	3
141	в стороне	2	3
142	как в	7	3
143	жизни в	1	3
144	мира и	2	3
145	и со	2	3
146	в которых	6	3
147	в известном	4	3
148	с другом	6	3
149	в них	5	3
150	в психологии	11	3
151	во всяком	6	3
152	тем в	1	3
153	бы и	4	3
154	во все	3	3
155	в данном	5	3
156	по нашему	2	3
157	некотором смысле	1	3
158	идет о	5	3
159	в свою	4	3
160	не дает	1	3
161	ту или	2	3
162	представляет собой	13	3
163	связано с	3	3
164	потому что	11	3
165	и тем	8	3
166	во второй	1	3
167	когда он	5	3
168	и для	3	3
169	потребность в	5	3
170	заключает в	1	3
171	этот факт	1	3
172	этом смысле	3	3
173	себе в	1	3
174	к ним	2	3
175	как на	5	3
176	с тем	8	3
177	известном смысле	3	3
178	в данной	1	3
179	в сфере	4	3
180	это так	1	3
181	и от	4	3
182	место в	1	3
183	о том	14	3
184	в общем	5	3
185	от них	2	3
186	мы видели	8	3
187	там где	8	3
188	и только	2	3
189	друг с	6	3
190	всяком случае	5	3
191	того же	1	3
192	из них	4	3
193	в известной	2	3
194	никогда не	8	3
195	всего в	3	2
196	таким образом	39	2
197	иначе говоря	4	2
198	именно к	1	2
199	и всецело	1	2
200	и то	3	2
201	в другой	2	2
202	и во	1	2
203	мы видим	7	2
204	и этот	1	2
205	их из	1	2
206	данном случае	5	2
207	на язык	2	2
208	и сейчас	1	2
209	во власти	3	2
210	тогда когда	8	2
211	в его	16	2
212	свою очередь	3	2
213	в огромной	1	2
214	или по	1	2
215	еще более	1	2
216	тому чтобы	2	2
217	значения для	1	2
218	что это	8	2
219	это значит	1	2
220	хотя и	2	2
221	с этим	8	2
222	которого мы	1	2
223	в некоторых	1	2
224	более к	2	2
225	какой бы	1	2
226	его на	3	2
227	и если	4	2
228	из того	7	2
229	для них	1	2
230	с другими	5	2
231	другой стороны	10	2
232	при соприкосновении	1	2
233	в этих	3	2
234	не могут	1	2
235	с мы	5	2
236	и наиболее	2	2
237	всех прочих	2	2
238	также в	1	2
239	но с	3	2
240	в своих	6	2
241	от друга	4	2
242	если бы	10	2
243	или в	2	2
244	начало в	1	2
245	что к	1	2
246	и с	10	2
247	и можно	1	2
248	заключается в	12	2
249	и все	7	2
250	наш путь	1	2
251	в процессах	1	2
252	рано или	1	2
253	представление о	7	2
254	или хотя	1	2
255	в сферу	1	2
256	относятся к	2	2
257	стороны в	1	2
258	в какой	5	2
259	вместе с	14	2
260	долгое время	1	2
261	и как	7	2
262	нас к	10	2
263	как не	1	2
264	случаях когда	1	2
265	но по	1	2
266	не есть	1	2
267	одном из	3	2
268	дело идет	1	2
269	как оно	1	2
270	между собой	5	2
271	между ними	2	2
272	сравнению с	9	2
273	в сторону	1	2
274	друг от	4	2
275	бы совершенно	1	2
276	в эту	4	2
277	и таким	2	2
278	в других	2	2
279	а именно	2	2
280	на них	1	2
281	то которое	1	2
282	нашему мнению	1	2
283	что эти	3	2
284	вопрос не	2	2
285	не дают	1	2
286	но как	1	2
287	все другие	2	2
288	только к	1	2
289	и других	4	2
290	и более	6	2
291	в котором	6	2
292	и что	11	2
293	выход на	1	2
294	оставить в	3	2
295	она не	3	2
296	в значительной	2	2
297	именно потому	2	2
298	на основе	7	2
299	по сравнению	10	2
300	и поэтому	2	2
301	он не	11	2
302	мы должны	11	2
303	к нулю	1	2
304	в развитии	31	2
305	и теперь	2	2
306	что если	3	2
307	а не	5	2
308	и та	1	2
309	есть ли	1	2
310	в одном	5	2
311	силы в	1	2
312	частности в	1	2
313	отношений между	4	2
314	на основании	6	2
315	целый ряд	6	2
316	с в	4	2
317	этот вопрос	6	2
318	и другая	1	2
319	в истории	7	2
320	констатировать что	1	2
321	по своей	9	2
322	при помощи	2	2
323	а в	4	2
324	в этой	13	2
325	что же	3	2
326	проблемы и	4	2
327	и еще	2	2
328	как их	1	2
329	заметить что	3	2
330	приводит нас	3	2
331	и каждая	1	2
332	главным образом	2	2
333	наряду с	3	2
334	начиная с	2	2
335	могут быть	5	2
336	что все	8	2
337	во всей	8	2
338	в силу	8	2
339	на этот	7	2
340	жизни и	2	2
341	такой же	3	2
342	для понимания	1	2
343	как будто	1	2
344	он сам	3	2
345	для этих	1	2
346	или поздно	1	2
347	точка зрения	3	2
348	бы в	5	2
349	не можем	3	2
350	и наконец	3	2
351	что на	2	2
352	есть не	3	2
353	всего земного	1	2
354	не к	3	2
355	к нему	1	2
356	его мысль	3	1
357	к сожалению	2	1
358	ближе к	2	1
359	представить себе	5	1
360	во всем	4	1
361	ли эти	1	1
362	находим в	1	1
363	что автор	1	1
364	любой области	1	1
365	но тем	3	1
366	лучшим доказательством	1	1
367	и другие	1	1
368	является в	1	1
369	в свое	1	1
370	в размерах	2	1
371	социальной средой	2	1
372	находятся в	1	1
373	все что	4	1
374	видели что	6	1
375	или наоборот	1	1
376	или к	3	1
377	для всех	8	1
378	в более	3	1
379	которая должна	1	1
380	здесь на	1	1
381	что оно	6	1
382	к другу	3	1
383	один из	3	1
384	законы и	1	1
385	является определяющим	1	1
386	та же	1	1
387	с но	9	1
388	значение в	4	1
389	отношении в	1	1
390	самой природе	1	1
391	сейчас в	2	1
392	друг к	2	1
393	с которыми	2	1
394	мир в	2	1
395	как таковой	2	1
396	нельзя сказать	1	1
397	скорее для	1	1
398	как с	1	1
399	любой из	1	1
400	может не	4	1
401	фактора в	3	1
402	этого периода	1	1
403	мы приходим	1	1
404	о будущем	1	1
405	в последнее	3	1
406	на вопрос	6	1
407	что процессы	2	1
408	указать на	1	1
409	должно быть	4	1
410	к этой	4	1
411	которая в	2	1
412	его построения	2	1
413	за исключением	1	1
414	том числе	3	1
415	уже в	8	1
416	например в	1	1
417	которых мы	2	1
418	был бы	2	1
419	в жизни	2	1
420	внимание на	1	1
421	с такой	4	1
422	общение с	1	1
423	в состоянии	2	1
424	для себя	7	1
425	или это	1	1
426	том же	4	1
427	взрослые и	1	1
428	мы знаем	3	1
429	время не	1	1
430	большую роль	1	1
431	параллелизм хотя	1	1
432	факта но	1	1
433	при этом	6	1
434	для него	5	1
435	эта идея	1	1
436	культурного и	1	1
437	установить что	1	1
438	не находим	1	1
439	следует что	1	1
440	что принцип	3	1
441	мире в	1	1
442	эгоцентризма в	2	1
443	с ним	3	1
444	кроме того	1	1
445	что при	3	1
446	это обстоятельство	2	1
447	но сама	1	1
448	зрения развития	2	1
449	он на	3	1
450	что с	6	1
451	в принципе	1	1
452	а затем	5	1
453	это изменение	1	1
454	что истинное	1	1
455	поэтому в	3	1
456	звук пустой	1	1
457	то станет	1	1
458	интересующего нас	1	1
459	нас в	2	1
460	что произошло	1	1
461	не являются	1	1
462	к выводу	10	1
463	не способен	2	1
464	может остаться	1	1
465	эгоцентризма и	1	1
466	со своим	1	1
467	то мы	1	1
468	к еще	1	1
469	не зависящего	1	1
470	у нас	1	1
471	далее в	1	1
472	когда его	1	1
473	развития не	2	1
474	проблему развития	1	1
475	нами в	3	1
476	это есть	2	1
477	смысле этого	6	1
478	как нечто	2	1
479	быть может	1	1
480	отличной от	1	1
481	с их	2	1
482	лежащих в	1	1
483	приходит к	4	1
484	зависящего от	1	1
485	в третьем	1	1
486	что между	4	1
487	качестве примера	1	1
488	есть такая	1	1
489	мы находим	7	1
490	в ином	2	1
491	сказал бы	2	1
492	упирается в	1	1
493	тому же	1	1
494	мы подразумеваем	1	1
495	также на	1	1
496	мыслится как	1	1
497	связь с	2	1
498	оговориться что	1	1
499	областей не	1	1
500	оно не	1	1
501	как они	2	1
502	не было	1	1
503	что нет	1	1
504	связи с	7	1
505	ко всем	3	1
506	думать не	1	1
507	при обсуждении	1	1
508	следует с	1	1
509	психологии и	1	1
510	своих частях	2	1
511	бы нас	1	1
512	если не	3	1
513	зрения этих	1	1
514	значительной части	1	1
515	как самостоятельной	1	1
516	своей части	1	1
517	на которых	4	1
518	и единственно	1	1
519	живет и	1	1
520	находим у	1	1
521	но все	3	1
522	прежде казалось	1	1
523	именно и	1	1
524	имеет для	1	1
525	и сам	2	1
526	как по	2	1
527	наблюдений над	1	1
528	с ней	3	1
529	на несколько	1	1
530	с таким	8	1
531	что его	6	1
532	общего правила	1	1
533	и внутри	1	1
534	во внимание	1	1
535	к осознанию	1	1
536	можно быть	1	1
537	по отношению	12	1
538	же по	1	1
539	в точном	1	1
540	которые как	1	1
541	в приспособлении	1	1
542	в силах	1	1
543	что не	2	1
544	как его	2	1
545	в ту	2	1
546	для развития	1	1
547	как сказал	1	1
548	и другое	1	1
