N	3gram	Savitsky_E	RusskieA
1	в том что	6	49
2	и т д	1	21
3	для того чтобы	5	8
4	в данном случае	2	8
5	мы не можем	1	7
6	не может быть	2	6
7	во многих случаях	1	6
8	как мы видели	2	6
9	так же как	5	6
10	и в другие	1	6
11	в связи с	1	5
12	к тому что	1	5
13	мы видели что	1	5
14	что в этот	1	5
15	в западной европе	1	5
16	как и другие	1	4
17	в отличие от	1	4
18	что в этом	1	4
19	только тогда когда	1	4
20	в то время	1	4
21	можно было бы	3	4
22	во всяком случае	3	4
23	еще далеко не	1	3
24	более или менее	1	3
25	же как и	3	3
26	в свою очередь	2	3
27	на то что	2	3
28	с точки зрения	16	3
29	приводит нас к	2	3
30	в течение года	1	3
31	с тем что	1	3
32	может быть и	1	3
33	друг к другу	1	3
34	в других случаях	1	2
35	в большинстве случаев	2	2
36	это имело место	1	2
37	совершенно очевидно что	1	2
38	рождества христова и	1	2
39	друг с другом	3	2
40	как это имело	1	2
41	с другой стороны	2	2
42	но так как	1	2
43	в тех случаях	1	2
44	во многих отношениях	1	2
45	так обстояло дело	1	2
46	мы увидим что	1	2
47	ту или иную	3	2
48	свой народ и	3	2
49	а именно в	1	2
50	имело место при	1	2
51	можно сказать что	3	2
52	чем в других	1	2
53	не только в	4	2
54	во всех этих	1	2
55	и в этом	4	2
56	тех случаях когда	1	2
57	с одной стороны	8	2
58	в этом отношении	3	2
59	и затем в	1	1
60	в том же	1	1
61	принадлежат к числу	1	1
62	во многих других	1	1
63	западной европы в	2	1
64	не можем входить	1	1
65	случае она не	1	1
66	в ближайшем будущем	1	1
67	главным образом из	1	1
68	время не имеет	1	1
69	своей идеологии и	1	1
70	одного и того	1	1
71	например в том	1	1
72	и то и	1	1
73	но не только	2	1
74	такой же смысл	1	1
75	того что в	2	1
76	но и эта	1	1
77	можно думать что	3	1
78	из составных частей	1	1
79	к тому же	1	1
80	на этот вопрос	1	1
81	и во многих	1	1
82	именно тогда когда	1	1
83	и того же	1	1
84	из всего этого	1	1
85	не может не	1	1
86	например то что	1	1
87	к нему однако	1	1
88	в применении к	3	1
89	в значительной степени	1	1
90	можно рассматривать как	1	1
91	в исторической перспективе	1	1
92	же все эти	1	1
93	во второй половине	2	1
94	в одном из	2	1
95	что в течение	1	1
96	т е не	1	1
97	в противном случае	1	1
98	но и в	1	1
99	данном случае она	1	1
100	не более как	1	1
101	вероятно что в	1	1
102	то что в	2	1
103	в некоторых случаях	1	1
104	сказать что в	2	1
105	только в том	2	1
106	не означает что	1	1
107	независимо от того	1	1
108	нужно заметить что	2	1
109	которые можно было	1	1
110	из того что	2	1
111	хотя и не	1	1
112	дело в том	1	1
113	из западной европы	3	1
114	и та же	1	1
115	смысле этого слова	1	1
116	но и во	1	1
117	и все другие	2	1
118	всех этих случаях	1	1
119	и в своем	1	1
120	рождества христова в	1	1
121	как будто нет	1	1
122	одна и та	1	1
123	в ряде случаев	1	1
124	и не только	1	1
125	то время как	1	1
126	но от этого	1	1
127	т е до	1	1
