N	2gram	Voloshinov	PoTuStor
1	может быть	28	17
2	и в	28	16
3	и пр	29	12
4	таким образом	34	9
5	в этом	28	9
6	прежде всего	26	9
7	мы можем	20	9
8	и только	6	9
9	в психике	6	8
10	совершенно не	9	8
11	точки зрения	31	8
12	и с	10	8
13	к матери	13	8
14	эдипов комплекс	13	8
15	не может	30	8
16	и его	22	8
17	не только	10	7
18	фрейд и	13	7
19	в сознание	10	7
20	сказать что	11	7
21	с его	9	7
22	и к	7	6
23	при этом	8	6
24	для него	12	6
25	самом деле	14	6
26	к отцу	16	6
27	я и	7	6
28	и это	1	6
29	в бессознательное	14	6
30	конечно не	10	6
31	с точки	15	6
32	по фрейду	16	5
33	что такое	6	5
34	ни в	12	5
35	все эти	15	5
36	только для	2	5
37	в чем	9	5
38	еще не	8	5
39	сознание и	5	5
40	в бессознательном	3	5
41	как бы	19	5
42	ту сторону	4	5
43	отношение к	7	5
44	до сознания	6	5
45	бессознательное и	3	5
46	нуждается в	3	5
47	в него	2	5
48	а потому	4	4
49	все что	10	4
50	для всех	3	4
51	субъективной психологии	12	4
52	и на	9	4
53	так как	15	4
54	фрейдовское бессознательное	1	4
55	законы образования	2	4
56	все позволено	4	4
57	все это	12	4
58	в его	25	4
59	жизни человека	15	4
60	художественного творчества	1	4
61	мысли и	4	4
62	так и	14	4
63	на самом	6	4
64	по ту	4	4
65	его в	11	4
66	и даже	3	4
67	и все	13	4
68	бессознательного и	4	4
69	с ними	5	4
70	только в	11	4
71	и желаний	4	4
72	биологический организм	3	4
73	и не	34	4
74	буржуазной философии	4	4
75	но мы	6	4
76	можно сказать	6	4
77	с самого	7	4
78	но и	10	4
79	хотя бы	7	4
80	и может	4	4
81	и их	2	4
82	по ранку	4	4
83	самого начала	5	4
84	в этой	7	4
85	как мы	18	4
86	принципа наслаждения	4	4
87	отнюдь не	5	4
88	в нем	7	4
89	с ее	4	4
90	в один	1	4
91	и ее	7	4
92	и наконец	12	4
93	но в	13	4
94	и вот	8	3
95	ребенка и	1	3
96	до сих	3	3
97	на язык	4	3
98	в основном	4	3
99	к себе	3	3
100	в том	10	3
101	мы знаем	11	3
102	полагаем что	2	3
103	те же	9	3
104	ужас рождения	3	3
105	фрейда в	4	3
106	с другими	8	3
107	с их	5	3
108	представлений и	2	3
109	на этой	3	3
110	между ними	5	3
111	в конечном	3	3
112	ступенях развития	3	3
113	их в	3	3
114	через сознание	5	3
115	отношения к	2	3
116	этом смысле	2	3
117	для сознания	2	3
118	учение о	6	3
119	преодоление травмы	2	3
120	и как	3	3
121	что в	7	3
122	и она	3	3
123	и бессознательное	5	3
124	том что	12	3
125	большинстве случаев	6	3
126	вместе с	5	3
127	на этом	8	3
128	в этих	5	3
129	мира и	1	3
130	две группы	3	3
131	сравнению с	1	3
132	и оно	4	3
133	образы сновидения	3	3
134	внутриутробного состояния	3	3
135	субъективная психология	2	3
136	вся культура	1	3
137	матери и	2	3
138	культура и	4	3
139	во всех	13	3
140	но оно	1	3
141	в uterus	1	3
142	быть это	2	3
143	принципом реальности	1	3
144	явное содержание	4	3
145	с сознанием	7	3
146	во всяком	9	3
147	и потому	12	3
148	реальности и	2	3
149	в основе	6	3
150	его ученики	5	3
151	и притом	3	3
152	тех же	5	3
153	принцип реальности	3	3
154	травмы рождения	5	3
155	только как	4	3
156	вытесненного влечения	2	3
157	по сравнению	1	3
158	возврат в	5	3
159	этих зон	1	3
160	по крайней	1	3
161	назад в	1	3
162	и теперь	2	3
163	как это	5	3
164	только на	4	3
165	в одном	3	3
166	и значение	2	3
167	даже не	1	3
168	пр и	2	3
169	чем не	5	3
170	влечений я	2	3
171	а в	8	3
172	в большинстве	5	3
173	то что	17	3
174	никаких оснований	2	3
175	мы полагаем	2	3
176	сексуальное влечение	7	3
177	на две	3	3
178	и др	9	3
179	могут быть	9	3
180	у фрейда	6	3
181	и есть	3	3
182	сих пор	3	3
183	в общем	5	3
184	жизни и	7	3
185	в области	4	3
186	чувств и	7	3
187	всяком случае	8	3
188	во время	6	3
189	ко всякому	2	3
190	крайней мере	1	3
191	едва ли	4	3
192	для психотерапевтической	1	2
193	вытесненных влечений	3	2
194	наслаждения с	1	2
195	психические образования	1	2
196	в самом	12	2
197	ранней концепции	1	2
198	об его	3	2
199	всей последующей	2	2
200	в свое	1	2
201	доступ в	1	2
202	бессознательного т.е	2	2
203	сущность его	1	2
204	мы видим	3	2
