N	2gram	Savitsky_P	Istorich
1	и в	14	181
2	и т	3	160
3	т д	1	142
4	т е	3	133
5	может быть	5	115
6	не только	17	114
7	что в	4	90
8	но и	6	85
9	в этом	10	81
10	то что	4	73
11	вместе с	1	71
12	и не	12	67
13	мы видим	1	65
14	все же	1	65
15	в этих	1	64
16	еще не	1	63
17	не может	4	61
18	так же	1	57
19	то же	9	56
20	никогда не	1	56
21	в том	9	53
22	том что	4	53
23	а в	4	52
24	с другой	5	52
25	потому что	3	52
26	и что	1	51
27	и здесь	1	51
28	что и	1	51
29	а не	2	48
30	его в	1	47
31	не в	5	47
32	другой стороны	1	46
33	и пр	5	44
34	мы должны	4	44
35	но в	9	44
36	это не	3	43
37	мы знаем	1	42
38	в нем	3	42
39	только в	7	42
40	и на	1	38
41	в его	2	38
42	для нас	2	38
43	как и	1	37
44	знаем что	1	36
45	мы можем	1	36
46	с тем	3	35
47	мы не	3	35
48	но не	3	34
49	что это	1	34
50	же как	1	33
51	там где	1	33
52	в качестве	9	32
53	прежде всего	3	31
54	представляет собой	1	31
55	с этим	2	30
56	с одной	3	30
57	в русской	4	30
58	одной стороны	3	29
59	и другие	1	28
60	в иной	1	28
61	и с	2	28
62	например в	2	28
63	могут быть	3	27
64	того что	2	27
65	в ином	1	27
66	представляют собой	1	26
67	в ней	6	26
68	вопрос о	1	25
69	не менее	2	24
70	было бы	6	24
71	в виде	2	24
72	если бы	4	24
73	что мы	3	24
74	как бы	4	23
75	и это	2	23
76	в этой	1	23
77	не будем	2	23
78	все это	2	23
79	в частности	2	23
80	и по	1	22
81	совершенно ясно	1	21
82	они не	1	21
83	из них	2	20
84	из этих	1	20
85	она не	1	20
86	наряду с	3	20
87	одна из	2	20
88	в свете	1	20
89	в других	1	20
90	в силу	2	20
91	а затем	1	19
92	с собой	1	19
93	есть и	1	19
94	все еще	1	19
95	на то	1	19
96	и как	3	19
97	живет в	1	19
98	в то	7	18
99	не все	1	18
100	в данном	1	18
101	в них	2	17
102	и этим	1	17
103	и только	1	17
104	во всех	2	16
105	возможно что	1	16
106	в котором	4	16
107	не вполне	1	16
108	со стороны	2	16
109	связана с	1	16
110	в пределах	8	15
111	что при	1	15
112	но есть	1	15
113	и то	1	15
114	в которых	5	15
115	и эти	1	15
116	и тем	2	15
117	друг друга	1	15
118	находится в	1	14
119	в исторической	1	14
120	и ее	1	14
121	должна быть	1	14
122	и есть	2	14
123	с того	1	14
124	а также	4	14
125	на себя	1	14
126	в своем	4	13
127	по себе	4	13
128	в северной	2	13
129	в себе	3	13
130	не просто	1	13
131	с ними	3	13
132	не имеет	1	13
133	и если	4	13
134	хотя бы	8	12
135	в основном	1	12
136	к этой	1	12
137	в жертву	1	12
138	что не	1	12
139	между прочим	2	12
140	случаях когда	1	12
141	в русских	1	12
142	точки зрения	3	11
143	ясно что	1	11
144	главным образом	2	11
145	связанные с	1	11
146	уже в	1	11
147	на нее	1	11
148	же в	4	11
149	если он	1	11
150	восходит к	1	11
151	хотя и	3	11
152	и вот	2	11
153	и более	1	11
154	далеко не	1	11
155	и к	4	10
156	не как	1	10
157	к ним	1	10
158	не было	2	10
159	в которой	1	10
160	а с	1	10
161	на основе	1	10
162	вслед за	3	10
163	исторической действительности	1	10
164	связаны с	1	10
165	и других	2	10
166	их не	1	10
167	а она	1	10
168	в это	1	10
169	на этой	1	10
170	в различных	1	10
171	друг с	1	10
172	себя в	1	10
173	в ее	2	10
174	но как	1	10
175	что эта	1	10
176	более или	1	9
177	только на	1	9
178	является и	1	9
179	но для	1	9
180	тогда когда	1	9
181	тот же	3	9
182	бы мы	1	9
183	в себя	1	9
184	в истории	1	9
185	с его	1	9
186	с другом	1	9
187	или менее	1	9
188	стороны и	2	9
189	только что	1	8
190	в некотором	1	8
191	именно в	2	8
192	во всяком	1	8
193	он был	1	8
194	большинстве случаев	1	8
195	также что	1	8
196	в отдельности	1	8
197	именно на	1	8
198	и наоборот	1	8
199	и потому	4	8
200	не с	1	8
201	тем самым	3	8
202	для этого	1	8
203	одно из	1	8
204	что его	1	8
205	в современной	1	8
206	может оказаться	1	8
207	северной америке	3	8
208	должен быть	1	8
209	в жизни	2	8
210	не столько	2	7
211	не есть	1	7
212	в эту	2	7
213	между тем	3	7
214	над ним	1	7
215	если в	2	7
216	и при	1	7
