N	3gram	Bakhtin_KF	UchenyiS
1	в конечном счете	1	4
2	не может быть	11	4
3	то ни было	2	3
4	бы то ни	2	3
5	в то же	2	3
6	то же время	2	3
7	и то что	1	2
8	в том что	2	2
9	в противном случае	1	2
10	до сих пор	1	2
11	хотя бы и	1	2
12	то же самое	1	2
13	в этом смысле	3	2
14	он может быть	2	1
15	быть не может	1	1
16	имеем в виду	2	1
17	на своем месте	2	1
18	они находятся в	1	1
19	же самое что	1	1
20	но в то	1	1
21	может быть в	3	1
22	никогда не может	1	1
23	сводится к следующему	1	1
24	но прежде всего	1	1
25	равно как и	1	1
26	конечно не в	1	1
27	не было бы	3	1
28	все это в	1	1
29	не в том	1	1
30	только в этом	1	1
31	на то что	1	1
32	этом смысле можно	1	1
33	и в то	1	1
34	если не исключительно	1	1
35	но это не	1	1
36	само по себе	1	1
37	правда может быть	1	1
38	о нем но	1	1
39	своем месте в	1	1
