N	2gram	Bakhtin_Fr	Problemy
1	и в	67	106
2	и не	23	90
3	как бы	18	70
4	может быть	4	66
5	в его	17	56
6	в этом	27	52
7	в нем	20	51
8	не может	9	49
9	как и	19	44
10	что он	7	44
11	точки зрения	7	40
12	но и	23	40
13	для него	4	39
14	и его	19	39
15	а не	6	38
16	о себе	1	37
17	то же	18	36
18	не только	23	36
19	в пределах	2	35
20	то что	9	33
21	но в	20	33
22	прежде всего	19	32
23	он не	9	29
24	в то	17	29
25	все это	15	29
26	и все	18	28
27	в одном	7	27
28	не в	8	27
29	же время	14	26
30	в самом	7	25
31	и с	18	25
32	к нему	5	25
33	с точки	5	25
34	в сущности	13	25
35	не как	3	24
36	вовсе не	19	24
37	самом деле	6	24
38	рядом с	6	23
39	и на	12	23
40	слова и	2	23
41	в каждом	3	22
42	что я	1	22
43	таким образом	20	22
44	там где	10	21
45	как мы	16	21
46	все же	7	20
47	никогда не	6	20
48	только в	6	20
49	потому что	8	20
50	что в	14	19
51	с его	11	19
52	отношению к	1	19
53	уже не	1	18
54	по отношению	1	18
55	в себе	3	18
56	еще не	5	18
57	о нем	2	18
58	на самом	8	18
59	но не	6	18
60	все эти	12	18
61	и к	7	17
62	с ним	6	17
63	а в	4	17
64	в том	16	17
65	это не	5	17
66	так и	14	17
67	так же	13	16
68	если бы	2	16
69	в своей	6	16
70	в другом	4	16
71	о мире	2	15
72	у него	4	15
73	до конца	2	15
74	и для	4	15
75	и наконец	5	15
76	и сам	2	14
77	в своем	13	14
78	как раз	5	14
79	в конце	12	14
80	а как	3	14
81	в отношении	2	14
82	себя самого	2	14
83	так как	16	14
84	он и	6	14
85	лишь в	3	14
86	но все	2	13
87	на него	2	13
88	с другими	3	13
89	его в	10	13
90	большинстве случаев	6	13
91	в мире	1	13
92	и это	5	13
93	в романе	15	13
94	себя и	2	13
95	перед нами	6	13
96	в большинстве	6	13
97	в целом	2	13
98	при этом	5	12
99	даже в	5	12
100	и как	7	12
101	и даже	6	12
102	и слово	3	12
103	к тому	4	12
104	во всяком	1	12
105	в котором	3	12
106	что и	8	12
107	не знает	1	12
108	так сказать	2	12
109	так что	1	12
110	и что	3	12
111	за пределы	4	12
112	было бы	5	12
113	между тем	3	12
114	как в	4	12
115	том что	13	12
116	но это	10	12
117	ничего не	5	12
118	слово в	1	12
119	в одной	3	12
120	последнее слово	1	12
121	в плане	5	12
122	тем что	3	11
123	их в	2	11
124	с другой	3	11
125	это слово	1	11
126	слово и	1	11
127	бы в	5	11
