N	2gram	Berdyaev_N	VerxiiNi
1	и в	16	26
2	с тем	3	18
3	в этом	7	15
4	вместе с	2	15
5	в том	8	11
6	не только	5	10
7	и с	2	10
8	может быть	7	10
9	из этих	1	10
10	что в	9	9
11	так как	1	9
12	но и	3	9
13	в области	1	9
14	и у	1	8
15	и не	11	8
16	как на	1	8
17	с другой	3	8
18	но не	2	8
19	в религиозном	2	7
20	с одной	2	7
21	но все	1	7
22	в эпоху	9	7
23	том что	2	7
24	потому что	4	7
25	одной стороны	2	7
26	то что	4	7
27	но в	2	7
28	из них	1	7
29	к нему	1	7
30	так и	2	6
31	в конце	1	6
32	народной стихии	1	6
33	религиозного сознания	1	6
34	все это	5	6
35	все эти	2	6
36	к тому	3	6
37	о том	4	6
38	во всяком	1	6
39	и потому	4	6
40	всяком случае	1	6
41	мы должны	1	6
42	в себе	2	6
43	того же	1	6
44	и к	5	5
45	до сих	1	5
46	том числе	1	5
47	в его	1	5
48	к жизни	3	5
49	в мире	3	5
50	не имеет	4	5
51	сих пор	1	5
52	того чтобы	2	5
53	для того	1	5
54	так же	2	5
55	лишь в	6	5
56	в силу	1	5
57	а не	17	5
58	и для	4	5
59	никогда не	6	5
60	в самом	1	4
61	ничем не	1	4
62	только в	1	4
63	в этих	1	4
64	с другими	1	4
65	что он	1	4
66	и вместе	1	4
67	к своим	1	4
68	в смысле	2	4
69	в котором	1	4
70	он не	8	4
71	и что	2	4
72	а в	2	4
73	в этой	1	4
74	числе и	1	4
75	бога и	3	4
76	и от	2	4
77	не может	16	4
78	что все	2	4
79	в то	2	4
80	и только	1	4
81	в нем	5	4
82	во время	1	4
83	на западе	1	3
84	из всех	1	3
85	русского народа	1	3
86	духовной культуры	1	3
87	к достижению	1	3
88	и даже	2	3
89	в которой	1	3
90	на нее	1	3
91	же как	2	3
92	не менее	4	3
93	и нет	1	3
94	можно сказать	1	3
95	хотя бы	2	3
96	в значительной	1	3
97	русский народ	1	3
98	к ним	3	3
99	культуры и	7	3
100	в своем	1	3
101	уже не	2	3
102	к богу	2	3
103	все что	1	2
104	для всех	1	2
105	и на	2	2
106	и сейчас	1	2
107	свидетельствует о	1	2
108	эпоху когда	2	2
109	народные массы	4	2
110	уже в	1	2
111	не с	1	2
112	культуры на	1	2
113	прежде всего	4	2
114	в русском	2	2
115	не могут	1	2
116	в них	4	2
117	не было	4	2
118	не в	6	2
119	а также	1	2
120	в виду	1	2
121	в россии	3	2
122	по существу	2	2
123	можно назвать	2	2
124	эти черты	1	2
125	выход из	1	2
126	по своему	4	2
127	приводит к	1	2
128	только для	1	2
129	должно было	2	2
130	в новом	2	2
131	связанный с	1	2
132	в эту	1	2
133	связано с	1	2
134	еще не	3	2
135	во всех	3	2
136	и мир	1	2
137	перестает быть	4	2
138	уже давно	1	2
139	людей и	1	2
140	что мы	1	2
141	ли это	2	2
142	силы и	2	2
143	в свою	1	2
144	не всегда	1	2
145	связана с	2	2
146	нет для	1	2
147	заключает в	1	2
148	и это	2	2
149	превращается в	1	2
150	конечно не	3	2
151	по своей	1	2
152	стихии и	1	2
153	он в	1	2
154	сказать что	3	2
155	не могла	2	2
156	них не	1	2
157	в образе	1	2
158	к которому	1	2
159	от бога	6	2
160	жизни и	8	2
161	но если	1	2
162	волю к	3	2
163	с его	6	2
164	востока и	1	2
165	и все	4	2
166	для этого	2	2
167	и из	1	2
168	и особенно	1	2
169	не к	2	2
170	в той	1	1
171	все в	1	1
172	мир не	1	1
173	они являются	1	1
174	получает свое	1	1
175	социальной жизни	1	1
176	то они	1	1
177	или к	1	1
178	к лицу	3	1
179	материальной культуре	1	1
180	и этот	1	1
181	видел не	1	1
182	значение в	1	1
183	с душой	1	1
184	тоже не	1	1
185	по всем	1	1
186	бога но	2	1
187	сам себя	1	1
188	нельзя сказать	1	1
189	они не	1	1
190	народ не	1	1
191	что такое	3	1
192	дальнейшее развитие	1	1
193	жить в	1	1
194	должно быть	4	1
195	т.е к	1	1
196	зависит от	2	1
197	от нее	1	1
198	для себя	1	1
199	смысле слова	3	1
200	что оставалось	1	1
201	это не	4	1
202	людей но	1	1
203	не для	1	1
204	было лишь	1	1
205	от неба	1	1
206	культура была	1	1
207	есть соединение	1	1
208	и счастья	1	1
209	с ним	1	1
210	который можно	1	1
211	это уже	1	1
212	в сущности	1	1
213	и запада	1	1
214	в ее	3	1
215	религия и	1	1
216	существует что	1	1
217	этот мир	2	1
218	в чудовищных	1	1
219	от этой	1	1
220	и через	1	1
221	мира то	1	1
222	сама жизнь	2	1
223	эту эпоху	1	1
224	у нас	1	1
225	лицом к	3	1
226	это и	2	1
227	ни в	6	1
228	другой стороны	2	1
229	запада и	1	1
230	это есть	7	1
231	силы а	1	1
232	с их	2	1
233	духовную жизнь	1	1
234	с собой	1	1
235	перед ними	1	1
236	весь мир	1	1
237	у него	2	1
238	под этим	1	1
239	материальные и	1	1
240	их не	1	1
241	в будущем	2	1
242	существования и	1	1
243	не собирается	2	1
244	сами по	1	1
245	это всегда	1	1
246	бога в	1	1
247	жизни это	1	1
248	а во-вторых	1	1
249	форме он	1	1
250	к чему	1	1
251	жизнь в	1	1
252	что его	1	1
253	новой истории	67	1
254	оно есть	1	1
255	тем что	1	1
256	привела к	1	1
257	еще при	1	1
258	в христианстве	1	1
259	борьбой с	1	1
260	в жизни	5	1
261	призыв к	2	1
262	давно уже	1	1
263	в познании	1	1
264	лишь на	1	1
265	в духовной	2	1
266	личности с	1	1
267	как и	7	1
268	как не	8	1
269	время как	2	1
270	помнить что	2	1
271	их в	1	1
272	не есть	3	1
273	она скорее	1	1
274	в своей	3	1
275	и духовной	1	1
276	как в	3	1
277	стремление к	2	1
278	мира и	2	1
279	перед собой	1	1
280	от этого	1	1
281	в такой	1	1
282	духовной и	1	1
283	от старого	2	1
284	это было	3	1
285	научного метода	1	1
286	роль в	2	1
287	в чем	1	1
288	в каком	1	1
289	нет в	1	1
290	культуры в	5	1
291	перейти к	3	1
292	как результат	1	1
293	всех народов	1	1
294	у христианских	1	1
295	не был	1	1
296	на них	1	1
297	людей в	1	1
298	человек поставивший	1	1
299	с этим	2	1
300	все они	2	1
301	нет ничего	1	1
302	и того	1	1
303	ни к	2	1
304	все более	1	1
305	человека в	1	1
306	на человека	1	1
307	не существует	3	1
308	к этой	1	1
309	жизни а	1	1
310	и более	1	1
311	не могли	2	1
312	замечательно что	1	1
313	и пр	3	1
314	отличие от	1	1
315	не означает	3	1
316	про него	1	1
317	это связано	2	1
318	основанная на	1	1
319	мы уже	1	1
320	духовной жизни	2	1
321	бог и	1	1
322	в наше	3	1
323	воли к	4	1
324	период истории	1	1
325	с богом	1	1
326	эти слова	1	1
327	бога то	2	1
328	к старым	1	1
329	она оказалась	1	1
330	не должно	1	1
331	одну из	1	1
332	мы не	2	1
333	совсем не	12	1
334	не по	1	1
335	в ней	5	1
336	есть проблема	1	1
337	но это	6	1
338	характерны для	1	1
339	в этот	1	1
340	ей придется	1	1
341	когда она	1	1
342	к тем	1	1
343	и весь	2	1
344	а по	1	1
345	прошлом в	1	1
346	до начала	1	1
347	и их	1	1
348	в которую	1	1
349	не были	1	1
350	и духовные	1	1
351	к одному	1	1
352	хозяйственной жизни	2	1
353	совершенно так	1	1
354	и ночи	2	1
355	и до	1	1
356	реакцию против	1	1
357	как существо	1	1
358	когда мы	2	1
359	всего что	1	1
360	на это	1	1
361	становится в	1	1
362	целью человека	1	1
363	было бы	1	1
364	этого мира	1	1
365	в отличие	1	1
366	всю духовную	1	1
367	в одну	2	1
368	возможно что	1	1
369	человеческой жизни	1	1
370	на путь	1	1
371	ней и	1	1
372	вернуться к	2	1
373	не осталось	1	1
374	вера в	1	1
375	по себе	1	1
376	могут быть	2	1
377	человека и	3	1
378	дни и	1	1
379	культуры мы	1	1
380	в космосе	1	1
381	и есть	10	1
382	место в	2	1
383	культуру и	1	1
384	времени в	2	1
385	возврат к	6	1
386	что она	2	1
387	он может	1	1
388	бытия и	1	1
389	и должно	2	1
390	такой же	2	1
391	и его	1	1
392	видят в	1	1
393	к новой	1	1
394	быть в	2	1
395	друг друга	1	1
396	не удалось	1	1
397	бытия в	2	1
398	убеждения в	1	1
399	с ее	5	1
400	к ее	3	1
401	но для	2	1
402	должны быть	1	1
403	себя в	2	1
404	реакцией против	2	1
405	одного и	1	1
406	думать что	2	1
407	жизни с	1	1
408	богу или	1	1
409	лишь по	1	1
410	совершается в	1	1
411	то время	1	1
412	мира с	1	1
413	и во	1	1
