N	2gram	Vinokur_Vv	Analitik
1	не только	26	71
2	тогда как	2	67
3	и в	35	66
4	в качестве	8	61
5	но и	7	57
6	в том	38	52
7	может быть	30	52
8	в этом	35	51
9	в частности	3	51
10	как и	7	50
11	и не	13	48
12	а не	5	42
13	в тексте	4	42
14	при этом	3	40
15	том что	30	40
16	так и	2	35
17	представляет собой	14	30
18	своего рода	3	30
19	состоит в	2	30
20	как бы	7	29
21	не может	19	29
22	а в	6	28
23	в его	12	27
24	и его	6	27
25	не в	10	26
26	но не	9	26
27	в себе	4	24
28	иначе говоря	1	23
29	что в	13	22
30	и даже	6	22
31	к тому	4	22
32	в этой	3	22
33	лишь в	1	21
34	о том	16	20
35	и т.п	1	20
36	в самом	13	19
37	то же	11	19
38	в своей	4	19
39	по отношению	4	19
40	но в	10	19
41	в данном	11	18
42	в то	6	18
43	отношению к	4	18
44	с другой	8	17
45	только в	16	17
46	со стороны	16	17
47	такого рода	3	17
48	или иной	3	17
49	в целом	5	17
50	что и	5	16
51	могут быть	6	16
52	то что	19	16
53	и на	3	15
54	не есть	5	15
55	между тем	10	15
56	уже не	6	15
57	прежде всего	10	15
58	в сущности	3	15
59	в их	12	15
60	литературное произведение	3	15
61	в принципе	3	14
62	не менее	9	14
63	того же	3	14
64	себя в	2	14
65	я и	1	14
66	в себя	1	14
67	той или	3	14
68	мы имеем	4	14
69	же время	6	14
70	в отличие	4	14
71	данном случае	5	14
72	отличие от	4	14
73	далеко не	1	14
74	по себе	11	13
75	точки зрения	12	13
76	тому же	1	13
77	этого слова	2	13
78	ничего не	2	13
79	как раз	4	13
80	для него	1	13
81	а также	3	13
82	в начале	3	13
83	и к	3	12
84	и сам	3	12
85	никогда не	3	12
86	как это	5	12
87	в первой	1	12
88	как в	3	12
89	еще не	4	12
90	в конечном	3	12
91	есть не	5	12
92	в той	10	11
93	имеем дело	1	11
94	в свою	2	11
95	той же	4	11
96	это не	8	11
97	можно сказать	4	11
98	и как	9	11
99	во второй	3	11
100	не с	3	11
101	не следует	3	11
102	нуждается в	3	11
103	именно в	8	10
104	все же	9	10
105	с одной	4	10
106	в конце	3	10
107	было бы	7	10
108	однако в	3	10
109	подобно тому	2	10
110	текста и	3	10
111	отношения к	1	10
112	здесь не	3	10
113	того или	1	10
114	один из	6	10
115	говорить о	5	9
116	говорит о	3	9
117	не столько	2	9
118	в результате	4	9
119	другой стороны	5	9
120	и того	3	9
121	одной стороны	4	9
122	свою очередь	2	9
123	том чтобы	6	9
124	в своем	3	9
125	по поводу	1	9
126	крайней мере	4	9
127	таким образом	21	9
128	во всех	2	9
129	за пределы	1	9
130	или иного	1	9
131	особого рода	4	9
132	значении этого	2	9
133	вместе с	6	9
134	по крайней	4	9
135	автора и	1	9
136	тому как	2	9
137	того что	12	9
138	как уже	5	9
139	дело с	9	8
140	о чем	4	8
141	не всегда	1	8
142	между двумя	1	8
143	одной из	4	8
144	художественности в	1	8
145	уже говорилось	1	8
146	в сторону	1	8
147	с ним	1	8
148	нашего времени	2	8
149	если бы	3	8
150	и все	1	8
151	что он	5	8
152	с точки	4	8
153	хотя и	5	8
154	этом отношении	4	8
155	времени и	4	8
156	дело не	5	8
157	он и	2	8
158	одного из	1	8
159	в ходе	1	8
160	во всяком	5	7
161	в другом	3	7
162	времени в	3	7
163	в одном	4	7
164	как мы	11	7
165	одна из	3	7
166	от себя	3	7
167	не мог	2	7
168	внимание на	5	7
169	несмотря на	2	7
170	в ее	11	7
171	у него	1	7
172	в таком	1	7
173	и тем	5	7
174	в свое	3	7
175	и является	1	7
176	свое время	3	7
177	в соответствии	2	7
178	всяком случае	5	7
179	и для	4	7
180	в литературе	1	7
181	все это	6	7
182	таком случае	1	7
183	однако не	4	7
184	в новом	1	7
185	на его	1	7
186	или иначе	4	7
187	и т.д	5	7
188	место в	1	7
189	что иное	5	7
190	как будто	3	7
191	иное как	6	7
192	во всем	2	6
193	так или	4	6
194	или в	1	6
195	казалось бы	2	6
196	при всей	2	6
197	одного и	2	6
198	хотя бы	6	6
199	превращается в	1	6
200	не что	5	6
201	вовсе не	6	6
202	в текст	1	6
203	из них	4	6
204	то в	1	6
205	тем не	9	6
206	что не	5	6
207	вопроса о	1	6
208	не будет	1	6
209	в силу	3	6
210	в нем	13	6
211	он был	1	6
212	на этом	3	6
213	из которых	3	6
214	из того	2	6
215	от своего	1	6
216	вследствие этого	1	6
217	и более	1	6
218	из этих	9	6
219	соответствии с	2	6
220	включая и	1	6
221	и то	7	6
222	ответ на	4	6
223	уже в	5	6
224	есть в	1	6
225	по его	2	6
226	должен быть	4	6
227	его в	6	6
228	тем более	2	6
229	мере в	6	6
230	в полной	1	6
231	же в	1	6
232	что на	1	6
233	все что	1	5
234	которая в	1	5
235	к числу	2	5
236	не как	3	5
237	а затем	2	5
238	в этих	3	5
239	в них	5	5
240	данного текста	1	5
241	в первом	5	5
242	тем что	6	5
243	или ином	2	5
244	речь идет	2	5
245	в противовес	1	5
246	в котором	4	5
247	входит в	3	5
248	для того	23	5
249	для себя	1	5
250	в слове	3	5
251	может служить	3	5
252	в эту	1	5
253	к этому	3	5
254	с другими	1	5
255	иного рода	1	5
256	будто бы	2	5
257	и до	2	5
258	но как	2	5
259	а с	2	5
260	так что	5	5
261	и потому	2	5
262	в культуре	1	5
263	в особенности	4	5
264	во втором	2	5
265	и здесь	3	5
266	том или	2	5
267	не могут	6	5
268	самом деле	7	5
269	и соответственно	1	5
270	как о	4	5
271	да и	4	5
272	в итоге	1	5
273	еще и	4	5
274	совершенно не	1	5
275	что мы	2	5
276	каждый из	2	5
277	он в	1	5
278	а и	1	5
279	тот же	1	5
280	этом случае	6	5
281	ни с	2	5
282	на вопрос	6	5
283	мы не	2	5
284	с той	1	5
285	в широком	7	5
286	с их	5	5
287	в общем	14	5
288	в глубине	1	5
289	все эти	3	5
290	одно из	5	5
291	путь к	1	5
292	человека к	1	5
293	как предмет	1	5
294	одну из	1	5
295	еще в	1	5
296	и особенно	1	5
297	мира в	1	5
298	однако и	1	4
299	его от	1	4
300	о своем	1	4
301	к тексту	2	4
302	в своих	2	4
303	в собственном	3	4
304	что по	1	4
305	большей или	3	4
306	отличается от	1	4
307	нам представляется	1	4
308	с этим	3	4
309	нам не	2	4
310	в действительности	1	4
311	не должен	1	4
312	только на	3	4
313	значительной степени	1	4
314	что же	3	4
315	о литературе	3	4
316	сказать что	6	4
317	жизни как	2	4
318	что она	3	4
319	к нему	3	4
320	разного рода	1	4
321	ни было	1	4
322	все прочие	1	4
323	не было	2	4
324	в которой	1	4
325	одним из	5	4
326	лишь на	1	4
327	между ними	3	4
328	в чем	4	4
329	каждом из	1	4
330	бы в	2	4
331	в каждом	4	4
332	мы уже	2	4
333	то ни	1	4
334	и что	6	4
335	этом смысле	11	4
336	или меньшей	3	4
337	известном смысле	3	4
338	и от	1	4
339	и есть	3	4
