N	3gram	Tiupa_Narr	OGranits
1	с точки зрения	2	5
2	не может быть	6	4
3	одно и то	2	3
4	по отношению к	5	3
5	и т.п и	2	3
6	в том что	11	2
7	то же слово	1	2
8	того или иного	3	2
9	в зависимости от	3	2
10	в данном случае	12	2
11	и то же	2	2
12	чем иным как	2	2
13	в самом деле	3	2
14	что иное как	1	2
15	с одной стороны	5	2
16	с другой стороны	1	2
17	языка как системы	1	2
18	на самом деле	1	1
19	в особенности в	1	1
20	говорить не приходится	1	1
21	и тот же	1	1
22	и как бы	1	1
23	может быть не	2	1
24	как это обычно	1	1
25	иметь в виду	1	1
26	которым можно было	1	1
27	сказал что они	1	1
28	подобно тому как	4	1
29	не может иметь	1	1
30	в конечном счете	4	1
31	по себе а	1	1
32	объект и не	1	1
33	в эстетике и	1	1
34	так же как	1	1
35	что в ней	1	1
36	на то что	2	1
37	для того чтобы	4	1
38	но в действительности	1	1
39	только потому что	1	1
40	он и не	1	1
41	значения как в	1	1
42	средств в их	1	1
43	не только на	2	1
44	тому что он	2	1
45	они сводятся к	1	1
46	один и тот	1	1
47	в отличие от	6	1
48	этой точки зрения	1	1
49	следует иметь в	1	1
50	в хх веке	1	1
51	как и в	1	1
52	в связи с	3	1
53	то же самое	3	1
54	не входит в	1	1
55	и не мог	1	1
56	к тому что	4	1
57	тем не менее	6	1
58	в их исторической	1	1
59	только то что	1	1
60	один из наиболее	1	1
61	в этом отношении	5	1
62	то же время	7	1
63	далеко не всегда	1	1
64	в области поэтики	1	1
65	собственно говоря и	2	1
66	более или менее	2	1
67	в то же	7	1
68	само по себе	1	1
69	с этой точки	1	1
70	не мог бы	1	1
71	можно было бы	1	1
72	мы не можем	1	1
73	состоит в том	5	1
74	и не может	3	1
75	а также и	1	1
76	может быть и	1	1
