N	4gram	Losev_Prob	VLabPisa
1	и в то же	2	3
2	в том числе и	1	2
3	с одной стороны и	1	2
4	уже по одному тому	1	2
5	по одному тому что	1	2
6	только в том что	1	1
7	с этой точки зрения	1	1
8	в том смысле что	4	1
9	по крайней мере для	2	1
10	с теми или иными	1	1
11	на то или иное	1	1
12	не чем иным как	2	1
13	и есть то что	1	1
14	является не чем иным	1	1
15	мы в данном случае	1	1
16	и может быть даже	1	1
17	что они отнюдь не	1	1
18	не имеет ничего общего	3	1
19	ни в какой мере	1	1
20	может быть и речи	1	1
21	одно и то же	3	1
22	но с другой стороны	2	1
23	той или иной мере	3	1
24	не может быть никакого	1	1
25	чем же в таком	2	1
26	уже сама по себе	1	1
27	вовсе не значит что	1	1
28	же в таком случае	2	1
29	имеет ничего общего с	1	1
30	то это вовсе не	1	1
31	сама по себе в	1	1
32	это и значит что	1	1
33	это вовсе не значит	1	1
34	в той или иной	7	1
35	не может быть и	1	1
36	так же как и	3	1
37	в то время как	6	1
38	это и есть то	1	1
39	не может обойтись без	2	1
40	ответ на этот вопрос	1	1
41	том или ином отношении	1	1
42	в какой мере не	1	1
43	мало чем отличается от	1	1
44	в том или ином	2	1
