N	2gram	Propp_Morf	EvropaiE
1	и в	17	37
2	в пределах	3	25
3	точки зрения	7	23
4	что в	10	21
5	не только	8	18
6	с точки	6	17
7	в то	4	16
8	то же	10	15
9	хотя бы	5	15
10	в качестве	8	14
11	и не	16	14
12	но и	9	14
13	же время	1	14
14	но в	4	14
15	в этом	18	12
16	в том	10	11
17	в их	1	11
18	в области	1	11
19	так и	10	10
20	в себе	1	9
21	т е	25	9
22	прежде всего	14	9
23	только в	3	9
24	все более	1	9
25	так же	4	9
26	не может	19	9
27	с одной	2	8
28	в ее	1	8
29	в своей	1	8
30	одной стороны	2	8
31	между тем	5	8
32	было бы	5	8
33	думать что	1	8
34	к тому	5	8
35	так как	20	7
36	того что	3	7
37	а также	7	7
38	как и	4	7
39	между прочим	1	7
40	по своему	2	7
41	также и	6	7
42	с другой	9	7
43	с этой	3	6
44	и даже	2	6
45	вслед за	5	6
46	и на	1	6
47	том что	7	6
48	вовсе не	6	6
49	во всех	6	6
50	может быть	61	6
51	того чтобы	4	6
52	для того	3	6
53	то что	10	6
54	как бы	6	6
55	на то	3	6
56	в той	1	5
57	в виде	3	5
58	этой точки	1	5
59	не в	3	5
60	в россии	2	5
61	но не	8	5
62	со стороны	5	5
63	в течение	1	5
64	в частности	2	5
65	как мы	8	5
66	одной из	2	5
67	но если	10	5
68	и по	3	5
69	бы то	3	4
70	то в	3	4
71	мы не	8	4
72	даже в	1	4
73	ни было	2	4
74	того или	1	4
75	для нас	2	4
76	иными словами	1	4
77	не на	2	4
78	чем в	2	4
79	и притом	1	4
80	именно в	1	4
81	не имеет	2	4
82	в каком	2	4
83	той или	1	4
84	вопрос о	10	4
85	лежат в	1	4
86	то ни	3	4
87	как это	7	4
88	несмотря на	4	4
89	к ней	3	4
90	сказать что	4	4
91	можно сказать	2	4
92	во многих	1	4
93	или иной	1	4
94	независимо от	4	4
95	и к	4	3
96	применении к	1	3
97	но на	1	3
98	можно ли	1	3
99	она в	2	3
100	всех случаях	1	3
101	в применении	1	3
102	можно считать	1	3
103	этом отношении	2	3
104	ее в	3	3
105	что и	10	3
106	в результате	8	3
107	мы можем	5	3
108	не является	4	3
109	нельзя ли	1	3
110	можно было	4	3
111	как было	1	3
112	не более	1	3
113	и некоторые	1	3
114	дело в	1	3
115	тем что	4	3
116	в таком	1	3
117	вообще не	2	3
118	большинстве случаев	3	3
119	как в	5	3
120	и со	1	3
121	в которых	2	3
122	с другом	1	3
123	на своем	1	3
124	в них	1	3
125	во всяком	2	3
126	тем в	1	3
127	во все	1	3
128	в данном	2	3
129	в свою	1	3
130	не дает	1	3
131	представляет собой	17	3
132	потому что	7	3
133	и тем	3	3
134	во второй	2	3
135	не будет	1	3
136	и для	4	3
137	известной степени	1	3
138	как на	1	3
139	с тем	2	3
140	в данной	2	3
141	обстоит дело	1	3
142	это так	2	3
143	о том	6	3
144	там где	5	3
145	и только	3	3
146	друг с	1	3
147	является ли	1	3
148	всяком случае	2	3
149	из них	4	3
150	новой зеландии	1	3
151	их отношении	1	3
152	всего в	1	2
153	таким образом	26	2
154	утверждать что	3	2
155	и то	1	2
156	в другой	1	2
157	во втором	7	2
158	мы видим	15	2
159	и этот	2	2
160	только те	1	2
161	видим как	1	2
162	данном случае	2	2
163	если в	7	2
164	должна быть	2	2
165	совершенно очевидно	1	2
166	в его	1	2
167	свою очередь	1	2
168	или по	2	2
169	значения для	1	2
170	что это	3	2
171	это значит	1	2
172	хотя и	5	2
173	с этим	14	2
174	в некоторых	4	2
175	и рядом	1	2
176	например с	2	2
177	пределах этих	1	2
178	с другими	2	2
179	то не	1	2
180	другой стороны	5	2
181	в этих	17	2
182	не могут	7	2
183	также в	2	2
184	но с	2	2
185	в своих	2	2
186	как же	3	2
187	нужно иметь	1	2
188	если бы	3	2
189	или в	6	2
190	и с	1	2
191	и все	1	2
192	другой и	1	2
193	относятся к	2	2
194	в какой	3	2
195	и как	6	2
196	нас к	1	2
197	как не	1	2
198	помнить что	1	2
199	случаях когда	2	2
200	есть в	1	2
201	но по	1	2
202	не есть	1	2
203	в мире	1	2
204	дело идет	1	2
205	между собой	5	2
206	между ними	1	2
207	не нужно	1	2
208	в эту	1	2
209	и таким	2	2
210	нужно заметить	1	2
211	в других	5	2
212	а именно	1	2
213	что эти	3	2
214	вопрос не	2	2
215	не дают	1	2
216	ко всему	1	2
217	ними и	1	2
218	но как	3	2
219	все другие	1	2
220	и более	2	2
221	в котором	1	2
222	или вернее	1	2
223	не означает	2	2
224	и что	3	2
225	более чем	1	2
226	она не	2	2
227	имеет в	1	2
228	он не	5	2
