N	4gram	Trubetskoy	formyVre
1	в то же время	2	18
2	одного и того же	3	9
3	в том числе и	1	5
4	одно и то же	1	5
5	в то время как	1	4
6	до сих пор еще	1	3
7	и до сих пор	1	2
8	но для того чтобы	1	2
9	дело в том что	1	2
10	в самом широком смысле	1	2
11	стороны одного и того	1	2
12	именно в том что	1	1
13	с этой точки зрения	1	1
14	что до сих пор	2	1
15	как и все прочие	1	1
16	друг с другом они	1	1
17	в широком смысле слова	1	1
18	важную роль в развитии	1	1
19	для того чтобы быть	2	1
20	вместе с тем и	1	1
21	более высокой ступени развития	1	1
22	совершенно так же как	3	1
23	одной и той же	1	1
24	в тех случаях когда	1	1
25	мы уже говорили что	1	1
26	но и помимо этого	1	1
27	в том что они	1	1
28	упомянутые до сих пор	1	1
29	то время как другие	1	1
30	все упомянутые до сих	1	1
31	и для того чтобы	1	1
32	на более высокой ступени	1	1
33	встречаются друг с другом	1	1
34	в том что он	1	1
35	о которой мы говорили	2	1
36	но вместе с тем	2	1
37	состоит именно в том	1	1
38	и с точки зрения	1	1
39	становится до некоторой степени	1	1
40	в том что все	1	1
41	о которых мы говорили	4	1
42	до сих пор не	5	1
43	и в том же	1	1
