N	2gram	Medvedev_V	Literetu
1	и не	1	47
2	и в	2	44
3	в том	2	39
4	в этом	1	38
5	том что	2	32
6	в частности	1	30
7	то же	1	26
8	я не	1	15
9	только в	1	15
10	и его	1	13
11	в другом	1	11
12	столь же	1	11
13	потому что	1	10
14	и т.д	1	9
15	в конце	2	8
16	по существу	1	8
17	в самом	1	7
18	именно в	1	7
19	в их	1	7
20	так в	1	7
21	самом деле	1	6
22	и то	1	6
23	далеко не	1	6
24	и только	1	6
25	хотя бы	1	5
26	так как	1	5
27	к этому	1	4
28	все время	1	4
29	сводится к	1	4
30	ни к	1	4
31	более чем	1	4
32	но это	1	4
33	крайней мере	1	3
34	да и	1	3
35	по крайней	1	3
36	том же	1	3
37	говорится в	1	3
38	дело в	1	3
39	имеется в	1	3
40	значительной степени	1	2
41	тем более	1	2
42	по поводу	1	2
43	гораздо более	1	2
44	а только	1	2
45	одно и	1	2
46	поэтического творчества	1	2
47	для них	1	2
48	на заре	1	2
49	все то	1	2
50	в значительной	1	2
51	время в	1	2
52	от других	1	2
53	а.н веселовского	2	2
54	ведь это	1	2
55	впрочем не	1	2
56	другом месте	1	2
57	в новизне	1	2
58	этом и	1	2
59	что сами	1	1
60	что слово	1	1
61	хотел сказать	1	1
62	бы потому	1	1
63	но разве	1	1
64	сколь и	1	1
65	как же	1	1
66	связанным с	1	1
67	в устах	1	1
68	даже не	1	1
69	бы уже	1	1
70	с большой	1	1
71	от общего	1	1
72	их как	1	1
73	в которых	1	1
74	позволяя себе	1	1
75	тут ни	1	1
76	по своим	1	1
77	все это	1	1
78	на одном	1	1
79	за свою	1	1
80	жизнь их	1	1
81	не играет	1	1
82	говоря о	1	1
83	сейчас все	1	1
84	в книге	3	1
85	языка если	1	1
86	конце концов	2	1
