N	3gram	Vinokur_Vv	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	4	7
3	с точки зрения	4	6
4	во всяком случае	5	6
5	по крайней мере	4	5
6	до сих пор	7	5
7	для того чтобы	22	5
8	в том числе	1	5
9	более или менее	1	5
10	но все же	4	4
11	о том что	13	4
12	в том что	15	3
13	в конце концов	2	3
14	так же как	1	3
15	всяком случае не	2	3
16	в связи с	2	3
17	точно так же	2	3
18	а так как	2	3
19	тем не менее	9	3
20	с течением времени	7	3
21	так или иначе	4	3
22	и для того	1	2
23	и потому что	2	2
24	той или иной	3	2
25	в значительной мере	2	2
26	с самого начала	1	2
27	то или иное	1	2
28	но вместе с	2	2
29	его можно только	1	2
30	то ни было	1	2
31	этой точки зрения	2	2
32	заключает в себе	1	2
33	то же самое	3	2
34	к одной из	1	2
35	не как на	1	2
36	по сравнению с	4	2
37	можно сказать что	3	2
38	бы то ни	1	2
39	в этом отношении	4	2
40	потому что и	1	2
41	то же время	6	2
42	в том виде	3	2
43	в то же	6	2
44	том виде в	1	2
45	влечет за собой	2	2
46	с этой точки	2	2
47	и в этом	4	2
48	может быть и	2	2
49	вместе с другими	1	1
50	но и как	1	1
51	у него в	1	1
52	что оно имеет	1	1
53	в первом случае	2	1
54	но в общем	1	1
55	притом не только	1	1
56	совершенно ясно что	1	1
57	потому что в	1	1
58	не потому что	1	1
59	именно потому что	1	1
60	сказать что в	1	1
61	в свою очередь	2	1
62	в одном и	1	1
63	а между тем	2	1
64	с этим и	1	1
65	в настоящее время	1	1
66	по своему характеру	1	1
67	течением времени в	1	1
68	как видно из	1	1
69	что мы можем	1	1
70	смысле этого слова	2	1
71	а как на	1	1
72	и том же	1	1
73	не вполне ясно	1	1
74	но в то	3	1
75	что это есть	1	1
76	как на нечто	1	1
77	потому что даже	1	1
78	развития тем более	1	1
79	зависит от характера	2	1
80	тем что в	1	1
81	как на совокупность	1	1
82	в соответствии с	2	1
83	вопросу с которого	1	1
84	не может быть	10	1
85	по отношению к	4	1
86	одной из этих	1	1
87	в данном случае	4	1
88	мы имеем в	1	1
89	в том или	2	1
90	а потому что	1	1
91	в отличие от	4	1
92	и никогда не	1	1
93	и не могут	2	1
94	а в том	1	1
95	по своему значению	2	1
96	по языку и	1	1
97	виде в каком	1	1
98	у них не	1	1
99	после того как	2	1
100	и в результате	1	1
101	только в одном	1	1
102	может ли быть	2	1
103	не менее совершенно	1	1
104	между русскими и	2	1
105	в прямом смысле	4	1
106	уже не имеет	1	1
107	одно из двух	1	1
108	тем или иным	2	1
109	что в этом	2	1
110	о полку игореве	1	1
111	и того же	2	1
112	и т.д в	2	1
113	язык в том	1	1
114	на задний план	2	1
115	не может не	1	1
116	имеем в виду	1	1
117	в далеком прошлом	1	1
118	с тем что	3	1
119	и есть то	1	1
120	котором здесь идет	1	1
121	том или ином	2	1
122	так чтобы не	1	1
123	и не потому	1	1
124	еще при жизни	2	1
125	в широком смысле	7	1
126	может быть в	2	1
127	в самом деле	6	1
128	в таком случае	1	1
129	тот факт что	1	1
130	в общих чертах	1	1
131	но с другой	1	1
132	так как эти	1	1
133	состоит в том	2	1
134	только то что	1	1
135	лицом к лицу	1	1
136	невозможно но все	1	1
137	в котором они	1	1
138	с другой стороны	5	1
139	здесь идет речь	1	1
140	теснее связана с	1	1
141	не в том	2	1
142	на нее не	1	1
143	это однако не	2	1
144	по тому же	1	1
145	одном и том	1	1
146	в каком он	1	1
147	здесь таким образом	1	1
148	только тогда когда	1	1
149	широком смысле этого	2	1
150	из которых каждый	1	1
151	не только как	4	1
152	о котором здесь	2	1
153	еще и потому	1	1
154	греков и римлян	3	1
155	одного и того	2	1
