N	2gram	Medvedev_V	Problemy
1	и в	26	106
2	и не	20	90
3	как бы	5	70
4	может быть	23	66
5	т е	18	59
6	в его	15	56
7	в этом	29	52
8	в нем	7	51
9	не может	17	49
10	как и	7	44
11	что он	4	44
12	у достоевского	1	43
13	точки зрения	3	40
14	но и	10	40
15	для него	9	39
16	и его	6	39
17	а не	7	38
18	то же	10	36
19	не только	26	36
20	в пределах	5	35
21	то что	7	33
22	но в	2	33
23	прежде всего	13	32
24	он не	2	29
25	в то	6	29
26	все это	13	29
27	и все	1	28
28	в одном	5	27
29	не в	6	27
30	же время	5	26
31	в самом	4	25
32	и т	25	25
33	не как	1	24
34	вовсе не	3	24
35	героя и	1	24
36	самом деле	1	24
37	слова и	1	23
38	по себе	2	22
39	в каждом	2	22
40	таким образом	32	22
41	как мы	1	21
42	все же	6	20
43	никогда не	5	20
44	только в	8	20
45	потому что	1	20
46	что в	11	19
47	достоевского в	1	19
48	с его	4	19
49	отношению к	7	19
50	слова в	1	19
51	уже не	1	18
52	по отношению	7	18
53	т п	9	18
54	в себе	6	18
55	еще не	2	18
56	о нем	1	18
57	но не	2	18
58	все эти	8	18
59	и к	3	17
60	с ним	1	17
61	а в	3	17
62	в том	15	17
63	это не	7	17
64	так и	6	17
65	так же	3	16
66	если бы	3	16
67	в своей	4	16
68	этом смысле	1	16
69	в другом	2	16
70	у него	6	15
71	и для	2	15
72	и наконец	2	15
73	и сам	2	14
74	в своем	8	14
75	как раз	4	14
76	в конце	3	14
77	а как	2	14
78	по замыслу	1	14
79	он и	2	14
80	лишь в	2	14
81	но все	1	13
82	на него	2	13
83	с другими	2	13
84	его в	3	13
85	и это	1	13
86	достоевского и	2	13
87	в романе	4	13
88	себя и	1	13
89	перед нами	5	13
90	в целом	5	13
91	даже в	5	12
92	и как	3	12
93	и даже	2	12
94	к тому	5	12
95	во всяком	2	12
96	в котором	3	12
97	что и	3	12
98	так сказать	2	12
99	себе и	2	12
100	и что	1	12
101	за пределы	1	12
102	было бы	8	12
103	между тем	6	12
104	как в	1	12
105	том что	8	12
106	но это	1	12
107	в плане	5	12
108	тем что	1	11
109	их в	7	11
110	входит в	1	11
111	с другой	11	11
112	ни одного	2	11
113	он сам	2	11
114	должно быть	2	11
115	бы в	3	11
116	в форме	3	11
117	не могут	10	11
118	бы и	6	11
119	она не	3	11
120	или как	1	11
121	как будто	1	11
122	конце концов	2	11
123	самого начала	1	10
124	говорит он	1	10
125	что не	3	10
126	сих пор	2	10
127	в него	1	10
128	до сих	2	10
129	в слове	3	10
130	приводит к	6	10
131	идеи в	2	10
132	в творчестве	3	10
133	достоевский в	1	10
134	в самой	1	10
135	слова с	1	10
136	далеко не	3	10
137	как не	1	10
138	отношение к	1	10
139	в той	1	9
140	зрения на	1	9
141	другой стороны	8	9
142	в них	5	9
143	хотя бы	20	9
144	что у	3	9
145	хотя и	2	9
146	но он	1	9
147	могут быть	8	9
148	всяком случае	2	9
149	ни в	1	9
150	в единстве	4	9
151	да и	2	9
152	или в	3	9
153	и потому	2	9
154	человека в	2	9
155	же и	3	8
156	в результате	5	8
157	о том	10	8
158	из них	11	8
159	и он	3	8
160	несмотря на	1	8
161	но как	3	8
162	одним из	5	8
163	здесь не	1	8
164	и у	2	8
165	и от	3	8
166	должна быть	2	8
167	вот как	4	8
168	никак не	3	8
169	тон и	1	8
170	с ними	4	8
171	и так	1	8
172	наконец в	1	8
173	из его	4	8
174	самого автора	1	8
175	уже в	1	8
176	того что	3	8
177	это и	6	8
178	же не	1	8
179	романов достоевского	1	8
180	знает и	1	8
181	бы он	1	8
182	от него	1	7
183	в виду	4	7
184	в жизни	2	7
185	отличается от	2	7
186	вопрос о	1	7
187	о достоевском	1	7
188	только на	1	7
189	сказать что	5	7
190	ее как	2	7
191	что все	4	7
192	что она	2	7
193	что они	3	7
194	все его	2	7
195	не было	7	7
196	не о	2	7
197	между ними	3	7
198	в этих	1	7
199	во всех	7	7
200	кажется что	1	7
201	если же	1	7
202	друг другу	1	7
203	и др	10	7
204	и ее	4	7
205	были бы	1	7
206	например в	3	7
207	в процессе	17	7
208	его и	1	7
209	он в	2	7
210	на этот	1	7
211	т д	16	7
212	но на	1	7
213	в их	5	7
214	в виде	1	7
215	сама по	1	7
216	мира и	3	7
217	и их	3	7
218	кроме того	1	6
219	него в	3	6
220	в своих	2	6
221	не менее	2	6
222	с этим	3	6
223	конечно не	1	6
224	этого мира	1	6
225	как на	3	6
226	одна из	4	6
227	на почве	1	6
228	как же	1	6
229	в художественном	10	6
230	у тургенева	3	6
231	но ведь	1	6
232	на этом	2	6
233	собою и	2	6
234	для его	4	6
235	а с	1	6
236	его творчества	1	6
237	все те	1	6
238	можно было	2	6
239	бы уже	1	6
240	этот вопрос	3	6
241	в этой	4	6
242	во время	4	6
243	в плоскости	1	6
244	в которых	3	6
245	зависимости от	5	6
246	знает что	1	6
247	в основе	1	6
248	его художественного	2	6
249	и во	1	6
250	он может	2	6
251	друг друга	1	6
252	на вопрос	2	6
253	но с	2	6
254	по существу	4	6
255	на его	1	6
256	как он	3	6
257	в начале	1	6
258	жизни и	3	6
259	на то	2	6
260	для этого	1	6
261	но для	2	6
262	и свой	1	5
263	именно в	3	5
264	с тем	4	5
265	а между	1	5
266	в глаза	1	5
267	в зависимости	6	5
268	крайней мере	2	5
269	слов в	1	5
270	тому же	1	5
271	на себя	1	5
272	зрения и	1	5
273	в чем	2	5
274	той или	1	5
275	если б	1	5
276	бы его	1	5
277	что может	1	5
278	в общем	2	5
279	автора как	2	5
280	один из	6	5
281	в последнем	2	5
282	то есть	1	5
283	обычного типа	1	5
284	он только	1	5
285	я бы	2	5
286	художественного творчества	19	5
287	сам по	1	5
288	подобно тому	3	5
289	все то	1	5
290	о своей	1	5
291	на протяжении	1	5
292	вместе с	8	5
293	по крайней	2	5
294	совершенно не	1	5
295	но у	1	5
296	мы не	1	5
297	нет и	3	5
298	том же	6	5
299	в ее	4	5
300	и то	1	5
301	они не	2	5
302	ведь это	1	5
303	между собою	2	5
304	слова на	1	5
305	как можно	1	5
306	по своему	1	5
307	лежит в	1	5
308	он это	1	5
309	в ней	2	5
310	быть и	1	5
311	когда он	4	5
312	есть и	1	5
313	благодаря этому	1	5
314	или иной	2	5
315	тому что	7	5
316	тому как	3	5
317	мира в	1	5
318	является в	1	4
319	что если	1	4
320	мы и	1	4
321	только что	4	4
322	с этой	1	4
323	еще более	1	4
324	по мере	1	4
325	более или	6	4
326	в духе	1	4
327	при всей	2	4
328	то это	2	4
329	он был	1	4
330	даже и	3	4
331	всего этого	1	4
332	в свете	1	4
333	или менее	6	4
334	понятно что	2	4
335	находится в	1	4
336	во всей	2	4
337	и вдруг	1	4
338	от них	2	4
339	они могут	1	4
340	его собственного	1	4
341	поэтому в	1	4
342	что такое	2	4
343	личности в	1	4
344	связи с	5	4
345	в которой	2	4
346	теперь на	1	4
347	то в	1	4
348	время как	1	4
349	на себе	1	4
350	одно и	1	4
351	но только	1	4
352	в едином	1	4
353	или наконец	2	4
354	не значит	1	4
355	с ее	1	4
356	всех этих	3	4
357	мы видели	3	4
358	образом и	1	4
359	переходит в	1	4
360	своего собственного	1	4
361	романа в	1	4
362	из которых	2	4
363	если не	1	4
364	быть даже	1	4
365	бы не	2	4
366	и если	1	4
367	обойтись без	1	4
368	как если	1	4
369	о своем	2	4
370	каждый из	1	4
371	вне его	2	4
372	сами по	1	4
373	только с	2	4
374	он должен	1	4
375	что оно	3	4
376	нет ни	2	4
377	хоть и	1	4
378	сознания вообще	1	4
379	этом отношении	14	4
380	со своим	3	4
381	бы с	1	4
382	и без	1	4
383	слова не	2	4
384	и понимания	1	4
385	это было	1	4
386	в каждой	1	4
387	об этом	9	4
388	мысли в	1	4
389	жизнь и	1	4
390	это как	1	4
391	ни один	8	4
392	также и	2	4
393	и слова	2	4
394	еще в	1	4
395	стороны и	2	4
396	от того	2	4
397	это в	1	4
398	говорить о	2	3
399	может служить	1	3
400	о чем	2	3
401	в большей	2	3
402	говорит о	7	3
403	а затем	2	3
404	художественную форму	2	3
405	но что	1	3
406	самый факт	2	3
407	в рамки	1	3
408	жизнь в	1	3
409	есть в	1	3
410	приходит в	1	3
411	является для	1	3
412	большей или	3	3
413	есть то	1	3
414	в письме	16	3
415	без труда	1	3
416	можно сказать	4	3
417	в данном	1	3
418	что этот	1	3
419	в различных	2	3
420	и еще	1	3
421	художественном творчестве	6	3
422	одной из	2	3
423	согласиться с	1	3
424	что говорит	3	3
425	что даже	2	3
426	только не	2	3
427	мы видим	1	3
428	в братьях	1	3
429	мы знаем	3	3
430	не должна	1	3
431	этими двумя	1	3
432	что его	2	3
433	будто бы	2	3
434	например у	2	3
435	в таком	1	3
436	в устах	1	3
437	между собой	1	3
438	и мир	3	3
439	от характера	2	3
440	очень часто	1	3
441	реакции на	2	3
442	не дает	1	3
443	ту же	2	3
444	и та	1	3
445	или меньшей	3	3
446	ни одной	1	3
447	и мы	1	3
448	это вовсе	1	3
449	он определяет	1	3
450	и есть	5	3
451	и по	3	3
452	меньшей степени	2	3
453	чтобы не	2	3
454	и особенно	1	3
455	для самого	1	3
456	вне себя	1	3
457	в основном	7	3
458	почти не	1	3
459	том или	1	3
460	должны быть	2	3
461	своих героев	2	3
462	и при	5	3
463	романа и	1	3
464	сводится к	3	3
465	его сознания	1	3
466	или наоборот	1	3
467	то время	1	3
468	из тех	1	3
469	все они	2	3
470	братьях карамазовых	2	3
471	не является	5	3
472	как целое	1	3
473	того чтобы	3	3
474	оно является	2	3
475	значение для	1	3
476	и реплика	1	3
477	как например	2	3
478	из рассказа	2	3
479	со своими	1	3
480	лишь о	1	3
481	в сознании	4	3
482	во времени	1	3
483	его можно	1	3
484	автора а	1	3
485	именно к	1	3
486	этом случае	1	3
487	данном случае	1	3
488	того как	2	3
489	не для	1	3
490	которых он	1	3
491	что так	2	3
492	ее в	4	3
493	и всегда	1	3
494	не способен	1	3
495	у нас	3	3
496	этого не	1	3
497	или даже	1	3
498	на одном	1	3
499	которой он	1	3
500	дело и	1	3
501	оно может	1	3
502	того или	2	3
503	а к	2	3
504	тут и	1	3
505	он говорит	5	3
506	все должно	1	3
507	е в	2	3
508	из этих	7	3
509	выйти за	1	3
510	не с	2	3
511	или другого	1	3
512	только у	2	3
513	только то	2	3
514	что из	1	3
515	человека и	3	3
516	признать что	1	3
517	которые в	2	3
518	связи между	1	3
519	что на	1	3
520	же в	7	3
521	то все	1	3
522	бытия в	1	3
523	мы наблюдаем	2	2
524	и другие	1	2
525	со всем	1	2
526	самого себя	2	2
527	и имеет	1	2
528	идеологического творчества	2	2
529	не столько	2	2
530	все произведение	2	2
531	основная тенденция	1	2
532	вот что	12	2
533	к более	1	2
534	в музыке	1	2
535	само собою	2	2
536	же но	1	2
537	а именно	1	2
538	собой не	1	2
539	роль в	4	2
540	случайно и	1	2
541	весь роман	1	2
542	почти все	1	2
543	материала в	1	2
544	было в	2	2
545	себе все	1	2
546	силы и	1	2
547	в противоположность	3	2
548	но даже	3	2
549	в нескольких	1	2
550	для определенного	1	2
551	для того	3	2
552	не всегда	2	2
553	свою внутреннюю	1	2
554	не об	2	2
555	как художественная	1	2
556	материал его	1	2
557	уже как	1	2
558	что еще	1	2
559	отметить что	2	2
560	себе в	1	2
561	свою очередь	1	2
562	затем его	1	2
563	но ни	1	2
564	пока еще	2	2
565	я с	1	2
566	а вот	3	2
567	быть в	1	2
568	эти вопросы	2	2
569	материал в	1	2
570	этих черт	1	2
571	к этому	9	2
572	к этим	2	2
573	в заключение	1	2
574	и весь	2	2
575	сводить к	1	2
576	художественный замысел	1	2
577	толстого и	1	2
578	после того	2	2
579	произведения и	7	2
580	об одном	1	2
581	собой в	1	2
582	с одной	2	2
583	у каждого	2	2
584	романа по	1	2
585	а и	1	2
586	в качестве	12	2
587	находит свое	1	2
588	замысла и	4	2
589	в единый	1	2
590	и других	1	2
591	или не	1	2
592	между этими	1	2
593	и создает	1	2
594	чего бы	2	2
595	же как	2	2
596	одном из	4	2
597	письме к	12	2
598	служит для	1	2
599	что их	1	2
600	но к	2	2
