N	2gram	Ircho_Kome	Mirosoze
1	и в	40	97
2	может быть	16	64
3	не только	12	63
4	в этом	9	55
5	но и	14	54
6	он не	5	53
7	а не	1	53
8	в нем	8	49
9	не может	3	49
10	у него	6	47
11	и не	19	39
12	в ней	2	37
13	потому что	8	37
14	не было	1	36
15	не в	8	34
16	для него	1	31
17	но он	2	30
18	человека в	2	30
19	как и	12	29
20	прежде всего	8	29
21	и он	1	27
22	в мире	3	27
23	но в	6	27
24	к человеку	2	26
25	в своей	3	25
26	он был	4	25
27	и это	3	25
28	и все	4	24
29	у нас	3	24
30	ведет к	1	23
31	в своем	6	23
32	что в	12	23
33	что он	11	22
34	в самом	5	21
35	в себе	3	20
36	отношение к	3	20
37	как бы	3	19
38	до конца	3	19
39	в его	8	18
40	того что	1	17
41	и потому	1	17
42	том что	19	16
43	в том	19	16
44	то что	8	16
45	было бы	8	16
46	и его	17	16
47	в котором	6	15
48	не был	1	15
49	не знает	1	15
50	в этой	9	15
51	в конце	7	14
52	так как	6	14
53	та же	1	13
54	и на	9	13
55	друг друга	2	13
56	и вот	4	13
57	привести к	1	12
58	в них	7	12
59	к нему	5	12
60	и у	3	12
61	но не	3	12
62	в любви	2	12
63	это не	2	12
64	все это	7	12
65	и к	2	11
66	любовь к	1	11
67	с тем	5	11
68	хотя бы	2	11
69	в которой	9	11
70	в русской	1	11
71	человеческой личности	1	11
72	только в	6	11
73	как в	8	11
74	и там	1	11
75	но это	2	11
76	и для	4	11
77	жизни и	4	11
78	то же	7	10
79	так же	4	10
80	всю жизнь	1	10
81	один из	9	10
82	не могут	1	10
83	не имеет	1	10
84	в самой	2	10
85	человека к	1	10
86	все что	3	9
87	из самых	2	9
88	к тому	15	9
89	не мог	4	9
90	что и	10	9
91	х годов	5	9
92	доходит до	1	9
93	то есть	1	9
94	с ним	1	9
95	вместе с	8	9
96	в свою	2	9
97	и во	4	9
98	бы и	1	9
99	а в	9	9
100	от него	1	8
101	в этих	5	8
102	и с	8	8
103	тем что	5	8
104	о том	12	8
105	мира сего	1	8
106	вопрос о	5	8
107	человека не	1	8
108	себя в	2	8
109	т е	14	8
110	что не	1	8
111	за пределы	2	8
112	жизнь в	1	8
113	не так	1	8
114	в отношении	6	8
115	еще в	9	8
116	нет в	1	8
117	того чтобы	4	8
118	отношении к	1	8
119	нет и	2	8
120	с его	4	8
121	ничего не	4	8
122	они не	1	8
123	уже в	9	8
124	легенде о	1	8
125	мира и	1	8
126	для того	3	8
127	во всем	1	7
128	в духе	3	7
129	в нашем	2	7
130	что все	1	7
131	точки зрения	7	7
132	человеку и	2	7
133	те же	1	7
134	что она	3	7
135	на этом	3	7
136	в жизни	1	7
137	отношения к	1	7
138	жизни в	1	7
139	более чем	4	7
140	он в	1	7
141	мог бы	3	7
142	но если	4	7
143	высшей степени	1	7
144	в высшей	1	7
145	свобода в	1	7
146	должен быть	1	7
147	также и	1	7
148	в судьбе	1	7
149	как он	2	7
150	все еще	1	7
151	с этой	3	6
152	есть что-то	1	6
153	к концу	3	6
154	и нет	1	6
155	было в	1	6
156	на пути	1	6
157	людей и	1	6
158	и те	1	6
159	всего в	5	6
160	что у	6	6
161	там и	1	6
162	его в	6	6
163	и она	1	6
164	у них	1	6
165	совсем не	2	6
166	можно было	5	6
167	по своей	2	6
168	чтобы не	1	6
169	и от	2	6
170	и здесь	6	6
171	что это	5	6
172	или к	2	6
173	если бы	4	6
174	в которых	1	6
175	бы не	1	6
176	в братьях	1	6
177	к людям	2	6
178	в образе	4	6
179	в ее	2	6
180	того как	3	6
181	должен был	1	6
182	и более	2	6
183	на все	3	6
184	жизнь и	2	6
185	его не	1	6
186	к ней	2	6
187	на то	3	6
188	не к	2	6
189	еще не	7	5
190	бы в	3	5
191	человек есть	1	5
192	одно из	1	5
193	с собой	2	5
194	и как	3	5
195	отличается от	1	5
196	с этим	5	5
197	природы в	1	5
198	во всяком	4	5
199	для этого	2	5
200	говорит что	1	5
201	чем его	1	5
202	до того	1	5
203	сказать что	1	5
204	к которому	4	5
205	все время	2	5
206	от человека	1	5
207	на протяжении	14	5
208	после того	3	5
209	от этого	2	5
210	сих пор	3	5
211	и мир	2	5
212	до самой	1	5
213	человека его	1	5
214	культуры и	1	5
215	в то	14	5
216	который был	1	5
217	означает что	2	5
218	когда он	1	5
219	до сих	3	5
220	и этот	1	5
221	они и	1	5
222	интерес к	2	5
223	да и	5	5
224	то он	1	5
225	он же	1	5
226	в основе	1	5
227	и если	2	5
228	той же	3	5
229	в самую	1	5
230	тот же	5	5
231	в более	4	5
232	не для	1	5
233	так и	17	5
234	как у	1	5
235	в их	6	5
236	и я	2	5
237	на путь	1	5
238	как будто	3	5
239	в той	2	4
240	человек может	1	4
241	к этой	1	4
242	то остается	1	4
243	еще более	2	4
244	в разных	1	4
245	нас в	3	4
246	в своих	2	4
247	и даже	5	4
248	к земле	1	4
249	культуры в	1	4
250	жизни он	1	4
251	нельзя было	1	4
252	сам не	1	4
253	не всегда	2	4
254	по отношению	5	4
255	не что	1	4
256	себе в	1	4
257	него не	1	4
258	что они	4	4
259	что иное	1	4
260	в каждом	2	4
261	к себе	1	4
262	и этим	1	4
263	не была	1	4
264	и можно	2	4
265	будто бы	2	4
266	тому что	4	4
267	время как	6	4
268	в чем	3	4
269	а с	1	4
270	земле и	1	4
271	так что	6	4
272	и что	2	4
273	как человек	1	4
274	и по	6	4
275	не случайно	1	4
276	и против	1	4
277	его с	2	4
278	для них	2	4
279	ни в	9	4
280	человека если	1	4
281	и тот	1	4
282	с ней	1	4
283	в начале	7	4
284	то время	8	4
285	от его	1	4
286	никто не	3	4
287	не знали	1	4
288	к которой	1	4
289	по сравнению	1	4
290	и тогда	1	4
291	в середине	5	4
292	народа и	1	4
293	на землю	3	4
294	в истории	10	4
295	к миру	1	4
296	в пути	1	4
297	они были	1	4
298	могут быть	3	4
299	мир в	1	4
300	ни с	1	4
301	мы не	4	4
302	чувствовать себя	1	4
303	одна и	1	4
304	все равно	1	4
305	в эпоху	1	4
306	все эти	1	4
307	по своему	5	4
308	путь к	2	4
309	особенно в	1	4
310	не все	2	4
311	из людей	1	4
312	и их	3	4
313	это была	2	4
314	от того	3	4
315	стало быть	1	4
316	отношению к	5	4
317	место в	7	4
318	и только	1	4
319	конце концов	4	4
320	любви и	1	4
321	иное как	1	4
322	является в	1	3
323	в душе	1	3
324	и мира	1	3
325	о чем	2	3
326	него в	1	3
327	в виду	2	3
328	ко всем	1	3
329	замыкается в	1	3
330	но нельзя	1	3
331	было очень	1	3
332	все же	7	3
333	чем не	1	3
334	но у	1	3
335	ответить на	1	3
336	то это	3	3
337	в динамике	1	3
338	считает себя	1	3
339	даже и	1	3
340	средство для	1	3
341	в противоположность	2	3
342	в этот	1	3
343	с трудом	1	3
344	в одном	10	3
345	и когда	1	3
346	приходит к	1	3
347	превращается в	1	3
348	значительной степени	1	3
349	конечно не	1	3
350	не вполне	2	3
351	то чтобы	1	3
352	находится в	2	3
353	есть по	1	3
354	идей и	1	3
355	к этому	8	3
356	доступ к	1	3
357	он считал	1	3
358	и еще	5	3
359	на том	1	3
360	в состоянии	3	3
361	хотя и	6	3
362	и сама	1	3
363	и за	3	3
364	одним из	3	3
365	на чьей	1	3
366	не остается	1	3
367	же как	3	3
368	своей земли	1	3
369	людьми и	1	3
370	во всех	4	3
371	начало в	1	3
372	всю свою	1	3
373	в наше	1	3
374	он исследует	1	3
375	именно потому	2	3
376	ту же	2	3
377	между тем	9	3
378	эти слова	1	3
379	к этим	3	3
380	остается на	1	3
381	и тем	2	3
382	и та	1	3
383	должны были	9	3
384	протяжении всего	3	3
385	с которым	1	3
386	свои силы	1	3
387	и самый	1	3
388	были бы	1	3
389	ближе к	1	3
390	в судьбах	1	3
391	для себя	2	3
392	это уже	2	3
393	европейской культуры	2	3
394	царства в	1	3
395	его образ	1	3
396	все его	1	3
397	что нет	1	3
398	и будет	1	3
399	в пределах	1	3
400	к его	3	3
401	приводит к	1	3
402	ли он	1	3
403	сравнению с	1	3
404	в значительной	1	3
405	земли и	2	3
406	роль в	2	3
407	и поэтому	2	3
408	когда в	3	3
409	только один	2	3
410	эта мысль	1	3
411	народ в	1	3
412	которую он	3	3
413	что же	2	3
414	тому как	1	3
415	принадлежит к	2	3
416	в трагедии	3	3
417	на этот	5	3
418	он может	1	3
419	всяком случае	4	3
420	и после	3	3
421	из него	1	3
422	поэтому он	1	3
423	чьей стороне	1	3
424	принимает все	1	3
425	нет ни	1	3
426	это был	1	3
427	это особенно	1	3
428	до последних	1	3
429	не достигает	1	3
430	от всех	1	3
431	а к	2	3
432	и эта	1	3
433	долгое время	1	3
434	со своей	3	3
435	на его	5	3
436	об этом	2	3
437	в самых	1	3
438	очень существенное	1	3
439	не с	1	3
440	и самого	3	3
441	его до	2	3
442	писателей и	1	3
443	природой и	1	3
444	стали бы	2	3
445	с которыми	1	2
446	под его	1	2
447	из всех	2	2
448	тем как	2	2
449	их было	2	2
450	течений в	1	2
451	не столько	1	2
452	его от	1	2
453	по себе	2	2
454	насилие над	2	2
455	и сам	5	2
456	о мире	1	2
457	или от	1	2
458	уже на	1	2
