N	4gram	Kanaev_Sov	Vladivir
1	дело в том что	1	11
2	в то же время	1	9
3	и в то же	1	5
4	не что иное как	1	4
5	совершенно так же как	1	2
6	один и тот же	1	2
7	на этот раз из	1	2
8	с одной стороны и	1	2
9	бы то ни было	1	2
10	не подлежит никакому сомнению	1	2
11	есть не что иное	1	2
12	в том случае когда	1	1
13	но тем не менее	1	1
14	то он уже не	1	1
15	одной и той же	1	1
16	в том что эта	1	1
17	в такой же мере	1	1
18	а может быть и	1	1
19	мы уже знаем что	1	1
20	ничего не имеют против	1	1
21	какой бы то ни	1	1
22	что же это за	2	1
