N	2gram	Propp_Russ	Tragedij
1	и в	59	18
2	в этом	18	9
3	в году	5	9
4	не только	28	8
5	и на	14	7
6	и не	6	7
7	может быть	14	7
8	и с	12	7
9	как бы	18	7
10	что он	2	6
11	у него	2	6
12	в образе	3	6
13	но в	5	6
14	и его	2	6
15	это не	14	5
16	несмотря на	4	5
17	что это	4	5
18	так и	8	5
19	к жизни	3	5
20	все же	7	5
21	в дальнейшем	2	5
22	то же	6	5
23	как и	19	5
24	не может	6	5
25	в то	3	5
26	что в	35	4
27	в себе	1	4
28	и даже	1	4
29	все это	12	4
30	прежде всего	2	4
31	и все	4	4
32	об этом	11	4
33	еще не	7	4
34	но и	20	4
35	том что	33	4
36	и что	8	4
37	так же	7	4
38	то что	10	4
39	в этой	4	4
40	что я	1	4
41	в нем	3	4
42	но это	5	4
43	в целом	2	4
44	своего рода	3	3
45	и он	1	3
46	что с	2	3
47	один из	10	3
48	должно быть	2	3
49	в основном	4	3
50	уже в	2	3
51	в его	3	3
52	для него	1	3
53	в своем	3	3
54	с ним	2	3
55	о чем	7	3
56	и сам	1	3
57	в конце	1	3
58	iii в	1	3
59	и как	2	3
60	как в	10	3
61	в поле	18	3
62	то есть	3	3
63	при этом	11	3
64	жизнь и	2	3
65	как это	11	3
66	как будто	6	3
67	отнюдь не	3	3
68	все эти	5	3
69	к нему	3	3
70	лицо его	1	2
71	не так	1	2
72	и то	2	2
73	превратилось в	1	2
74	и здесь	3	2
75	и лучше	2	2
76	данном случае	8	2
77	это был	1	2
78	и за	2	2
79	в том	33	2
80	он и	1	2
81	с тем	14	2
82	говорит о	3	2
83	как у	2	2
84	даже если	1	2
85	что и	8	2
86	из своих	2	2
87	ни в	1	2
88	в русском	4	2
89	что все	2	2
90	не могут	1	2
91	в виде	10	2
92	его в	9	2
93	этим объясняется	1	2
94	не в	2	2
95	но этого	1	2
96	в первом	1	2
97	но все	3	2
98	но эта	2	2
99	было в	1	2
100	с г	2	2
101	из самых	2	2
102	еще в	6	2
103	в таком	5	2
104	одном из	1	2
105	вопрос о	4	2
106	вряд ли	2	2
107	дома и	1	2
108	знает что	1	2
109	и это	2	2
110	нет в	2	2
111	она как	2	2
112	под влиянием	1	2
113	уже не	9	2
114	к тому	4	2
115	о том	14	2
116	перед нами	2	2
117	не был	3	2
118	не имеет	9	2
119	что эти	2	2
120	бросается в	3	2
121	в данном	7	2
122	ее к	2	2
123	что этот	4	2
124	отличие от	4	2
125	я тебе	1	2
126	он был	2	2
127	то и	4	2
128	потому что	15	2
129	и дети	1	2
130	не играют	1	2
131	так что	4	2
132	он не	1	2
133	по поводу	1	2
134	в частности	2	2
135	и детей	1	2
136	но они	4	2
137	в это	4	2
138	точно так	1	2
139	в одном	4	2
140	и до	3	2
141	в глаза	3	2
142	в отличие	4	2
143	отношение к	1	2
144	до конца	5	2
145	что она	4	2
146	который в	2	2
147	одна из	12	2
148	с его	1	2
149	а как	1	2
150	тут же	2	2
151	тем что	7	2
