N	2gram	Trubetskoy	VLabPisa
1	таким образом	11	32
2	в этом	17	29
3	не только	9	26
4	и в	14	26
5	и т	3	25
6	может быть	9	23
7	и не	19	20
8	хотя бы	5	20
9	не может	22	17
10	в его	4	15
11	в том	17	15
12	этом отношении	1	14
13	в силу	2	14
14	все это	6	13
15	прежде всего	8	13
16	в качестве	3	12
17	в частности	2	12
18	как это	1	12
19	что в	4	11
20	с другой	1	11
21	из них	3	11
22	то же	11	10
23	не могут	4	10
24	о том	7	10
25	но и	10	10
26	по этому	2	10
27	для него	6	9
28	об этом	1	9
29	к этому	1	9
30	могут быть	1	8
31	только в	5	8
32	на основании	2	8
33	все эти	2	8
34	вместе с	4	8
35	том что	9	8
36	ни один	1	8
37	было бы	5	8
38	не следует	1	8
39	в своем	6	8
40	это не	1	7
41	не было	3	7
42	по отношению	2	7
43	очевидно что	1	7
44	тому что	2	7
45	как и	4	7
46	их в	2	7
47	во всех	5	7
48	а не	2	7
49	то что	13	7
50	главным образом	3	7
51	отношению к	1	7
52	в нем	5	7
53	из этих	3	7
54	один из	1	6
55	у него	2	6
56	более или	4	6
57	в порядке	2	6
58	все же	4	6
59	приводит к	4	6
60	это и	1	6
61	не в	4	6
62	между тем	5	6
63	так и	1	6
64	в себе	9	6
65	или менее	4	6
66	в зависимости	1	6
67	том же	2	6
68	в то	10	6
69	даже в	1	5
70	в результате	2	5
71	в их	4	5
72	связи с	3	5
73	к тому	7	5
74	перед нами	1	5
75	не является	1	5
76	и при	6	5
77	же время	10	5
78	как бы	4	5
79	и есть	2	5
80	никогда не	5	5
81	подобных им	1	4
82	в самом	3	4
83	ее в	2	4
84	в ее	1	4
85	можно сказать	1	4
86	что для	3	4
87	в этой	4	4
88	что все	3	4
89	что он	6	4
90	по существу	5	4
91	с тем	6	4
92	с ними	1	4
93	в своей	5	4
94	является не	2	4
95	роль в	1	4
96	силу этого	1	4
97	должен быть	1	4
98	в связи	1	4
99	это только	2	4
100	когда он	1	4
101	их и	1	4
102	в сознании	3	4
103	одна из	3	4
104	отнюдь не	7	4
105	во время	2	4
106	и к	6	3
107	что они	3	3
108	что оно	3	3
109	что у	1	3
110	мы знаем	1	3
111	естественно что	2	3
112	того что	3	3
113	никак не	1	3
114	но как	1	3
115	видеть в	2	3
116	что и	3	3
117	сводится к	3	3
118	его в	4	3
119	если бы	6	3
120	или в	3	3
121	сил и	3	3
122	именно в	3	3
123	в конце	3	3
124	разума и	1	3
125	видно из	1	3
126	и как	3	3
127	же и	1	3
128	в которых	1	3
129	вовсе не	1	3
130	бы в	1	3
131	с этим	2	3
132	а в	5	3
133	что не	1	3
134	в котором	2	3
135	даже и	2	3
136	она не	2	3
137	говорить не	1	3
138	в значительной	3	3
139	но даже	2	3
140	того чтобы	8	3
141	для того	6	3
142	и их	1	3
143	всех других	1	3
144	этот вопрос	2	3
145	так же	2	3
146	как на	8	3
147	нет и	1	3
148	работая над	1	3
149	та или	1	3
150	образом в	1	3
151	и от	2	3
152	точки зрения	11	3
153	жизни и	4	3
154	и по	3	3
155	значительной мере	2	3
156	всех этих	3	3
157	имеет свою	1	3
158	этом и	2	2
159	отметить что	2	2
160	представить себе	2	2
161	и весь	1	2
162	только не	1	2
163	том чтобы	3	2
164	и этот	3	2
165	из которых	5	2
166	нет ни	1	2
167	они не	1	2
168	если в	6	2
169	самого себя	7	2
170	воплощение в	1	2
171	должно быть	3	2
172	эта не	1	2
173	зависит от	2	2
174	том числе	1	2
175	должна быть	2	2
176	это особенно	1	2
177	тогда когда	4	2
178	с нею	3	2
179	говорить о	3	2
180	да и	3	2
181	чрезвычайно разнообразны	1	2
182	многие из	1	2
183	что при	1	2
184	что такое	2	2
185	для них	3	2
186	не столько	1	2
187	с другими	1	2
188	по себе	2	2
189	в своих	6	2
190	и даже	2	2
191	что ни	1	2
192	и наконец	2	2
193	в которой	1	2
194	не о	2	2
195	и некоторые	1	2
196	а о	1	2
197	а во-вторых	2	2
198	ни одна	3	2
199	что его	1	2
