N	3gram	Tiupa_Vved	Russkaja
1	то же время	4	10
2	в то же	5	10
3	в том что	10	7
4	на самом деле	4	6
5	во всяком случае	3	6
6	для того чтобы	1	6
7	не может быть	6	4
8	на то что	2	4
9	к тому чтобы	1	4
10	более или менее	2	4
11	той или иной	4	3
12	можно было бы	2	3
13	в данном случае	15	3
14	в этом случае	1	3
15	и не может	1	3
16	с самим собой	1	2
17	ни одна из	1	2
18	того или иного	1	2
19	в этом направлении	2	2
20	и тем самым	2	2
21	и в другом	1	2
22	о том что	6	2
23	к тому что	1	2
24	все что может	1	2
25	в другом случае	1	2
26	друг от друга	2	2
27	в настоящее время	1	2
28	тем что они	1	1
29	таким образом при	1	1
30	в противном случае	2	1
31	не хочется думать	1	1
32	но при этом	3	1
33	таком взгляде на	1	1
34	в самом деле	2	1
35	и в жизни	2	1
36	уже не на	1	1
37	стороны и в	1	1
38	этом и состоит	1	1
39	дело в том	1	1
40	а лишь к	1	1
41	но в то	1	1
42	речь идет о	3	1
43	но и этот	1	1
44	но и от	1	1
45	что он может	1	1
46	не могло бы	1	1
47	том числе и	1	1
48	внутренней и внешней	1	1
49	прежде всего на	2	1
50	как бы не	1	1
51	отнюдь не является	1	1
52	до известной степени	1	1
53	так же как	1	1
54	по отношению к	11	1
55	у него на	1	1
56	и прежде всего	1	1
57	в том чтобы	2	1
58	не только от	1	1
59	между тем при	1	1
60	по крайней мере	1	1
61	прежде всего в	1	1
62	что вся эта	1	1
63	а в том	3	1
64	с самого начала	1	1
65	но на самом	1	1
66	и того же	1	1
67	на целый ряд	1	1
68	заключает в себе	4	1
69	на первый взгляд	3	1
70	он не может	1	1
71	в связи с	1	1
72	то же самое	2	1
73	и все же	6	1
74	в том же	1	1
75	к которому принадлежит	1	1
76	к одному из	1	1
77	в том числе	1	1
78	тем не менее	3	1
79	того и другого	1	1
80	жизни но и	1	1
81	в этом отношении	7	1
82	в свою очередь	5	1
83	в этом и	1	1
84	никогда не было	1	1
85	об этом и	1	1
86	это и есть	1	1
87	в значительной степени	2	1
88	при таком взгляде	1	1
89	состоит в том	2	1
90	к тому же	6	1
91	одного и того	1	1
92	и в этом	1	1
93	в полной мере	1	1
