N	2gram	Bakhtin_sl	OGranits
1	и в	69	13
2	и его	45	12
3	прежде всего	14	9
4	может быть	40	8
5	и не	32	8
6	не может	27	8
7	в его	19	7
8	и т.п	1	7
9	и их	6	7
10	эстетический объект	1	7
11	точки зрения	24	7
12	таким образом	16	6
13	не только	37	6
14	стилистических приемов	1	6
15	только в	9	6
16	то что	2	6
17	как бы	16	6
18	языка и	18	5
19	в поэзии	4	5
20	хотя бы	6	5
21	с точки	11	5
22	в материале	1	5
23	художественного произведения	1	5
24	в процессе	14	5
25	все же	10	5
26	и эта	2	5
27	и наконец	9	5
28	в каждом	5	4
29	мы можем	1	4
30	не является	3	4
31	произведения как	3	4
32	только и	3	4
33	мы не	4	4
34	то же	17	4
35	было бы	3	4
36	все это	14	4
37	в сознании	3	4
38	слов и	5	4
39	лишь в	6	4
40	социальной группы	2	4
41	в своей	8	4
42	на фоне	11	4
43	в двух	2	4
44	но мы	2	4
45	но в	13	4
46	поэтического произведения	1	3
47	с этим	5	3
48	что в	3	3
49	к одному	1	3
50	и то	2	3
51	стилистических форм	1	3
52	связана с	2	3
53	и уже	1	3
54	так и	22	3
55	не как	4	3
56	говорить о	2	3
57	одно и	3	3
58	в одном	4	3
59	не столько	4	3
60	за пределы	6	3
61	отношению к	2	3
62	по отношению	2	3
63	слово в	18	3
64	в пределах	27	3
65	в их	6	3
66	при анализе	1	3
67	в ее	2	3
68	не в	14	3
69	в которой	4	3
70	и все	9	3
71	в себе	3	3
72	так как	7	3
73	языка как	10	3
74	поэтической речи	1	3
75	да и	2	3
76	но и	37	3
77	к единству	1	3
78	и для	7	3
79	как и	8	3
80	точку зрения	6	3
81	никогда не	9	3
82	литературного языка	28	2
83	в области	1	2
84	к сожалению	1	2
85	языком как	1	2
86	истории литературы	1	2
87	в самом	6	2
88	во всем	3	2
89	нет ничего	1	2
90	и к	9	2
91	что они	2	2
92	того или	2	2
93	может иметь	3	2
94	представим себе	1	2
95	форм и	3	2
96	мы видим	2	2
97	в данном	5	2
98	мы уже	4	2
