N	2gram	Vygotskiy_	Morfolog
1	и т	1	62
2	может быть	20	61
3	и пр	1	45
4	таким образом	38	26
5	могут быть	7	21
6	так как	25	20
7	мы имеем	3	19
8	не может	23	19
9	в этом	47	18
10	в этих	2	17
11	представляет собой	23	17
12	и в	47	17
13	представляют собой	2	16
14	и не	27	16
15	мы видим	10	15
16	перед нами	3	14
17	с этим	5	14
18	прежде всего	9	14
19	по существу	2	13
20	при помощи	1	12
21	связи с	4	12
22	и др	1	12
23	а не	7	11
24	заметить что	1	11
25	что в	23	10
26	то же	16	10
27	а затем	2	10
28	вопрос о	9	10
29	мы увидим	1	10
30	но если	5	10
31	этом случае	15	10
32	в том	38	10
33	так и	8	10
34	что и	4	10
35	в связи	1	10
36	то что	40	10
37	все же	7	9
38	с другой	7	9
39	но и	19	9
40	не только	36	8
41	в результате	3	8
42	иногда в	1	8
43	мы не	10	8
44	в качестве	9	8
45	но не	13	8
46	в тех	1	8
47	а в	3	8
48	как мы	24	8
49	во втором	5	7
50	один из	3	7
51	и здесь	5	7
52	если в	6	7
53	не могут	9	7
54	не менее	6	7
55	том что	28	7
56	потому что	26	7
57	этот случай	1	7
58	по отношению	10	7
59	наряду с	2	7
60	точки зрения	39	7
61	как это	7	7
62	тем не	4	7
63	образом мы	2	7
64	отношению к	9	7
65	и другие	1	6
66	подобно тому	2	6
67	о том	5	6
68	как бы	13	6
69	увидим ниже	3	6
70	но это	4	6
71	это не	6	6
72	с точки	31	6
73	в нашем	6	6
74	или в	2	6
75	и как	7	6
76	вовсе не	3	6
77	во всех	9	6
78	если мы	6	6
79	очень часто	2	6
80	также и	2	6
81	в форме	1	6
82	во время	2	6
83	они и	2	5
84	в море	1	5
85	из которых	3	5
86	другой стороны	3	5
87	в первом	6	5
88	начинается с	2	5
89	что он	13	5
90	как в	7	5
91	было бы	12	5
92	в точности	1	5
93	к тому	13	5
94	ничего не	2	5
95	что они	11	5
96	хотя и	4	5
97	прежде чем	3	5
98	тому что	14	5
99	учение о	3	5
100	ясно что	4	5
101	все эти	7	5
102	одна из	2	5
103	между собой	15	5
104	на его	3	5
105	то можно	1	5
106	об этом	4	5
107	в других	2	5
108	там где	7	5
109	мы можем	7	5
110	тому как	2	5
111	между тем	2	5
112	он не	5	5
113	если же	2	5
