N	2gram	Voloshinov	RusskieA
1	и в	12	79
2	в том	6	64
3	том что	5	59
4	что в	2	57
5	не только	4	41
6	так как	9	34
7	и другие	2	33
8	в этом	4	33
9	как бы	13	31
10	но и	3	31
11	как и	5	28
12	и на	4	28
13	может быть	14	28
14	о том	3	23
15	при этом	6	22
16	там же	1	20
17	это не	2	20
18	как мы	1	20
19	все это	3	18
20	таким образом	12	17
21	то что	5	17
22	вместе с	2	17
23	во многих	1	16
24	мы не	3	16
25	в них	3	14
26	и с	3	14
27	не менее	3	14
28	тем не	3	14
29	как это	2	14
30	и что	2	14
31	мы видели	1	14
32	и не	10	14
33	для нас	7	14
34	у нас	1	14
35	уже не	4	13
36	к этому	2	13
37	в некоторых	3	13
38	и по	3	13
39	как в	5	13
40	еще не	3	13
41	не может	16	13
42	между собой	2	12
43	мы имеем	2	12
44	в виде	1	12
45	мы увидим	1	11
46	следующим образом	1	11
47	но это	2	11
48	далеко не	1	11
49	все же	4	10
50	его в	4	10
51	между тем	3	10
52	что и	2	10
53	так и	4	10
54	то же	5	9
55	о чем	1	9
56	что они	1	9
57	с ней	1	9
58	и все	2	9
59	данном случае	2	9
60	том же	1	9
61	но в	5	9
62	но не	2	9
63	одно из	1	8
64	в этих	2	8
65	так же	3	8
66	связи с	1	8
67	на себя	1	8
68	во всех	1	8
69	что это	1	8
70	подобно тому	1	8
71	того чтобы	1	8
72	как например	1	8
73	того что	3	8
74	в данном	2	8
75	как уже	2	8
76	тому как	1	8
77	в руках	1	7
78	настоящее время	2	7
79	в своем	2	7
80	на них	1	7
81	к нему	4	7
82	не в	4	7
83	а с	1	7
84	было бы	1	7
85	только в	6	7
86	а не	5	7
87	до конца	2	7
88	в настоящее	2	7
89	ничего не	2	7
90	не можем	1	7
91	мы должны	1	7
92	как будто	1	7
93	в эти	1	7
94	для этого	1	7
95	же как	1	6
96	к тому	1	6
97	не всегда	1	6
98	только на	3	6
99	в одном	1	6
100	что она	1	6
101	в качестве	1	6
102	в таком	1	6
103	на этом	1	6
104	в нем	6	6
105	и более	3	6
106	что здесь	1	6
107	друг друга	1	6
108	и пр	3	6
109	все эти	3	6
110	она не	2	6
111	и их	1	6
112	и о	1	6
113	и к	4	5
114	например в	1	5
115	только для	1	5
116	входит в	1	5
117	с другой	4	5
118	к ним	2	5
119	не было	1	5
120	мы уже	1	5
121	можно было	1	5
122	и др	5	5
123	там где	2	5
124	в то	2	5
125	прежде всего	8	5
126	в особенности	2	5
127	тогда когда	2	5
128	с ним	3	5
129	для них	1	5
130	ничего общего	1	5
131	в свою	1	5
132	но если	1	5
133	и для	3	5
134	тот же	1	5
135	в его	2	5
136	на самом	4	5
137	или даже	1	5
138	и потому	2	5
139	отнюдь не	5	5
140	в целом	1	5
141	кроме того	2	4
142	но все	2	4
143	именно в	1	4
144	во всяком	1	4
145	в котором	3	4
146	но эти	1	4
147	и из	1	4
148	влияние на	2	4
149	она как	1	4
150	она в	1	4
151	несмотря на	1	4
152	здесь мы	1	4
153	что для	1	4
154	но есть	1	4
155	могут быть	2	4
156	и здесь	2	4
157	та же	1	4
158	в основном	2	4
159	не на	1	4
160	так называемый	1	4
161	то время	1	4
162	в основе	1	4
163	на основе	1	4
164	совпадают с	1	4
165	связанных с	1	4
166	всяком случае	1	4
167	нас не	1	4
168	уже в	2	4
169	его и	1	4
170	такой же	2	4
171	а к	2	4
172	в ней	6	4
173	которые в	1	4
174	и ее	3	4
175	и тогда	1	4
176	к другу	1	3
177	говорит о	1	3
178	самом же	1	3
179	в какой	2	3
180	в виду	5	3
181	связь с	2	3
182	более или	1	3
183	есть в	1	3
184	где они	1	3
185	имеет место	2	3
186	как только	2	3
187	нами выше	1	3
188	только как	1	3
189	в изучении	1	3
190	увидим что	1	3
191	по отношению	11	3
192	и те	2	3
193	свою очередь	1	3
194	как на	2	3
195	на которой	1	3
196	что все	1	3
197	точки зрения	14	3
198	что именно	1	3
199	тем это	1	3
200	какой степени	2	3
201	для этой	1	3
202	никогда не	5	3
203	ее и	3	3
204	с одной	2	3
205	обычно не	1	3
206	на него	2	3
207	хотя и	1	3
208	в ее	1	3
209	тому же	2	3
210	или не	3	3
211	и некоторые	1	3
212	окно и	2	3
