N	2gram	Savitsky_P	Myslijsy
1	потому что	3	182
2	и в	14	121
3	может быть	5	107
4	в том	9	103
5	то что	4	83
6	для нас	2	75
7	что в	4	73
8	и не	12	73
9	только в	7	72
10	не только	17	67
11	а не	2	67
12	в этом	10	59
13	но и	6	59
14	том что	4	59
15	то же	9	56
16	не в	5	54
17	если бы	4	53
18	в себе	3	53
19	по себе	4	52
20	не может	4	52
21	того что	2	47
22	в душе	1	45
23	было бы	6	45
24	в нем	3	45
25	не есть	1	42
26	как и	1	42
27	вместе с	1	39
28	что и	1	38
29	мы не	3	38
30	тогда когда	1	36
31	что мы	3	36
32	и что	1	32
33	а в	4	30
34	что не	1	29
35	между тем	3	29
36	но не	3	29
37	мы можем	1	28
38	с этим	2	27
39	могут быть	3	27
40	не было	2	26
41	и т	3	26
42	в то	7	24
43	с тем	3	23
44	как бы	4	23
45	с другой	5	22
46	не имеет	1	22
47	но в	9	22
48	и потому	4	21
49	не менее	2	21
50	мысль о	2	20
51	это не	3	20
52	в ней	6	20
53	мысли и	1	19
54	и как	3	19
55	что это	1	19
56	и то	1	19
57	из этих	1	19
58	заключает в	2	19
59	тем самым	3	19
60	должно быть	2	19
61	есть не	2	19
62	в самом	1	18
63	для того	3	18
64	в каком	1	18
65	еще не	1	18
66	точки зрения	3	17
67	со стороны	2	17
68	что оно	1	17
69	уже в	1	17
70	в его	2	17
71	во всяком	1	17
72	только что	1	16
73	и на	1	16
74	так же	1	16
75	в своем	4	16
76	в которой	1	16
77	в них	2	16
78	есть нечто	2	16
79	что если	1	16
80	и наоборот	1	16
81	на то	1	16
82	быть может	6	15
83	в этих	1	15
84	только как	1	15
85	с одной	3	15
86	и тем	2	15
87	и по	1	15
88	т д	1	15
89	прежде всего	3	15
90	в ряду	2	15
91	думать что	2	15
92	все же	1	14
93	в одно	1	14
94	в природе	1	14
95	в котором	4	14
96	во всех	2	14
97	столь же	3	14
98	бы ни	2	14
99	там где	1	14
100	в истории	1	14
101	же время	7	14
102	и без	3	14
103	мы должны	4	14
104	само по	1	14
105	те же	1	13
106	например в	2	13
107	как на	2	13
108	из них	2	13
109	что все	1	13
110	в смысле	6	13
111	есть для	1	13
112	одно из	1	12
113	другой стороны	1	12
114	более или	1	12
115	никогда не	1	12
116	и при	1	12
117	хотя и	3	12
118	в каждом	1	12
119	всяком случае	1	12
120	друг друга	1	12
121	все это	2	12
122	есть в	2	12
123	или менее	1	12
124	тем более	2	12
125	и если	4	11
126	только на	1	11
127	и это	2	11
128	его в	1	11
129	и притом	1	11
130	в силу	2	11
131	сами по	3	11
132	того чтобы	1	11
133	и только	1	11
134	же в	4	11
135	и с	2	10
136	хотя бы	8	10
137	одной стороны	3	10
138	духа и	2	10
139	находится в	1	10
140	представить себе	1	10
141	мы видим	1	10
142	и мы	2	10
143	что при	1	10
144	в других	1	10
145	тем и	1	10
146	и есть	2	10
147	тех пор	1	10
148	можно думать	1	10
149	если мы	1	10
150	тем же	1	10
151	между прочим	2	10
152	вопрос о	1	9
153	во многих	1	9
154	об отношении	1	9
155	связь между	1	9
156	поэзии и	1	9
157	могли бы	1	9
158	от нее	1	9
159	чувство и	1	9
160	в сравнении	3	9
161	с точки	3	9
162	не все	1	9
163	и других	2	9
164	до тех	1	9
165	далеко не	1	9
166	и о	5	9
167	говорить о	2	8
168	не как	1	8
169	вслед за	3	8
170	именно в	2	8
171	что по	1	8
172	одно и	1	8
173	что есть	1	8
174	с и	1	8
175	с ними	3	8
176	в которых	5	8
177	тот же	3	8
178	и более	1	8
179	помнить что	2	8
180	или что	1	8
181	на основании	1	7
182	к другим	1	7
183	в жизни	2	7
184	в собственном	1	7
185	в данном	1	7
186	было в	2	7
187	что именно	1	7
188	в эту	2	7
189	но как	1	7
190	она не	1	7
191	не были	1	7
192	этом смысле	1	7
193	находятся в	1	7
194	не более	1	7
195	о котором	1	7
196	бы и	1	7
197	и теперь	1	7
198	только один	1	7
199	мысли но	1	7
200	слова но	2	7
201	как она	1	7
202	не с	1	7
203	место в	1	7
204	и к	4	6
205	вопрос об	1	6
206	давно уже	1	6
207	как оно	1	6
208	к ним	1	6
209	она есть	3	6
210	в ее	2	6
211	прежде чем	1	6
212	что его	1	6
213	в мире	2	6
214	эти последние	1	6
215	главным образом	2	6
216	друг другу	2	6
217	но есть	1	6
218	оно есть	1	6
219	должна быть	1	6
220	никак не	2	6
221	заключается в	3	6
222	да и	2	6
223	и уже	1	6
224	в этой	1	6
225	но на	1	6
226	что с	1	6
227	в виде	2	6
228	и слова	1	6
229	на нее	1	6
230	были бы	1	5
231	формы в	1	5
232	например с	1	5
233	не столько	2	5
234	и такое	1	5
235	в некотором	1	5
236	и другим	1	5
237	не дается	1	5
238	когда в	1	5
239	сравнении с	3	5
240	что то	1	5
241	а с	1	5
242	которое в	2	5
243	одна из	2	5
244	к первому	1	5
245	если в	2	5
246	эта мысль	1	5
247	отношении к	5	5
248	переход от	2	5
249	и здесь	1	5
250	они не	1	5
251	нет ничего	1	5
252	за тем	1	5
253	в какой	1	5
254	в области	11	5
255	нужно было	2	5
256	в начале	2	5
257	не к	2	5
258	еще более	2	4
259	в применении	1	4
260	этой последней	1	4
261	из нее	1	4
262	иначе как	1	4
263	более как	1	4
264	не вполне	1	4
265	при виде	1	4
266	без которой	1	4
267	положение что	1	4
268	я и	3	4
269	с его	1	4
270	и быть	1	4
271	некотором смысле	1	4
272	что происходит	1	4
273	не могла	1	4
274	того кто	1	4
275	и чем	1	4
276	ведет к	1	4
277	собственном смысле	1	4
278	бы мы	1	4
279	в наших	1	4
280	отношения к	2	4
281	которого в	1	4
282	более чем	2	4
283	что во	1	4
284	и многие	1	4
285	многих других	1	4
286	из двух	1	4
287	том виде	1	4
288	стремление к	1	4
289	к духу	1	4
290	есть и	1	4
291	стороны и	2	4
292	только то	1	4
293	мы и	1	3
294	к этой	1	3
295	по-видимому не	2	3
296	в результате	1	3
297	ясно что	1	3
298	в различных	1	3
299	их не	1	3
300	также что	1	3
301	тем в	1	3
302	применении к	1	3
303	пор пока	1	3
304	входят в	1	3
305	она может	1	3
306	бы это	1	3
307	имеют в	1	3
308	что уже	1	3
309	мы знаем	1	3
310	бы что	1	3
311	но для	1	3
312	с которой	1	3
313	большинстве случаев	1	3
314	в себя	1	3
315	чтобы понять	1	3
316	мысль и	1	3
317	многих случаях	1	3
318	что эта	1	3
319	выражается в	1	3
320	теми же	1	3
321	в общем	2	3
322	значило бы	1	3
323	и ее	1	3
324	для них	2	3
325	в отношении	10	3
326	знать что	2	3
327	развития в	1	3
328	из тех	1	3
329	эти явления	1	3
330	связанные с	1	3
331	в известном	1	3
332	на каждом	1	3
333	время в	2	3
334	именно на	1	3
335	мы хотим	1	3
336	ни были	1	3
337	идеи в	1	3
338	взгляда на	2	3
339	это значение	1	3
340	в формах	1	3
341	к первой	1	3
342	и всегда	1	3
343	с которым	1	3
344	мнения о	1	3
345	есть как	1	3
346	и я	1	3
347	нисколько не	1	3
348	идеи и	1	3
349	должен быть	1	3
350	что от	1	3
351	как ни	1	3
352	отличие от	1	3
353	которую мы	2	3
354	это в	1	3
355	каждого слова	1	3
356	них самих	1	3
357	в развитии	1	3
358	человека с	1	3
359	в большинстве	1	3
360	сходства между	1	3
361	заключен в	1	3
362	для этого	1	3
363	в ком	1	2
364	ее части	1	2
365	является в	2	2
366	можно говорить	1	2
367	есть знак	1	2
368	к более	1	2
369	что истина	1	2
370	что дело	1	2
371	в с	4	2
372	значения но	1	2
373	по одному	1	2
374	есть та	1	2
375	если он	1	2
376	духа в	1	2
377	в это	1	2
378	говорится о	1	2
379	не хотим	1	2
380	бы из	1	2
381	не об	1	2
382	в прошлом	1	2
383	может ли	2	2
384	и еще	1	2
385	во времена	1	2
386	отношения в	1	2
387	на две	1	2
388	в движении	1	2
389	себя в	1	2
390	только а	1	2
391	и мертвых	1	2
392	от тех	1	2
393	к чему	2	2
394	на пути	4	2
395	же как	1	2
396	из чего	1	2
397	точек зрения	2	2
398	не нужно	2	2
399	с к	7	2
400	к истине	1	2
401	не одну	1	2
402	менее ясно	1	2
403	бы она	1	2
404	из мира	1	2
405	вообще можно	1	2
406	бы оно	1	2
407	с с	2	2
408	с ее	1	2
409	вопросом о	1	2
410	переходит в	1	2
411	оно ни	1	2
412	этом деле	1	2
413	судить по	1	2
414	на наш	1	2
415	и силы	1	2
416	ни к	1	2
417	чем то	1	2
418	не будем	2	2
419	не прийти	1	2
420	знаем что	1	2
421	каждый из	1	2
422	только это	2	2
423	было и	1	2
424	к науке	1	2
425	в сфере	2	2
426	жизни народа	1	2
427	относиться к	1	2
428	весьма мало	2	2
429	вероятно что	1	2
430	наших глазах	1	2
431	мира но	1	2
432	где он	1	2
433	с т	4	2
434	в г	1	2
435	и первое	1	2
436	этом не	1	2
437	в естественных	1	2
438	история и	1	2
439	этих двух	1	2
440	можем представить	1	2
441	и эти	1	2
442	только к	1	2
443	в народе	1	2
444	при посредстве	2	2
445	на свои	1	2
446	них в	1	2
447	собою как	1	2
448	в отношениях	1	2
449	во времени	1	2
450	что из	2	2
451	д не	1	2
452	причины почему	1	2
453	времени с	1	2
454	есть прежде	1	2
455	какой бы	1	2
456	мыслей к	1	2
457	может и	2	2
458	и другие	1	1
459	чтобы дать	1	1
460	ней не	2	1
461	чем оно	1	1
462	и глубины	1	1
463	прямо на	1	1
464	нем в	1	1
465	вопросу о	1	1
466	эта идея	2	1
467	из всех	1	1
468	утверждается как	1	1
469	ряду многих	1	1
470	жить и	1	1
471	науке и	1	1
472	раскрывается в	1	1
473	при существовании	1	1
474	что народ	1	1
475	и само	1	1
476	где бы	2	1
477	чтобы в	1	1
478	стремления и	1	1
479	воля и	1	1
480	отношением к	1	1
481	притом в	1	1
482	и очень	1	1
483	наш взгляд	1	1
484	в исторические	1	1
485	и разных	1	1
486	дети и	2	1
487	в выборе	2	1
488	казалось бы	1	1
489	к характеру	1	1
490	первые могут	1	1
491	он был	1	1
492	в творчестве	1	1
493	и должна	1	1
494	должна была	1	1
495	творчества если	1	1
496	явления которые	1	1
497	она получила	1	1
498	и пред	1	1
499	всего что	1	1
500	соприкасается с	1	1
501	сложны и	1	1
502	настоящее время	1	1
503	она ни	2	1
504	зрения можно	1	1
505	но возможно	1	1
506	без того	1	1
507	особенно в	1	1
508	что называют	1	1
509	были в	1	1
510	настоящую минуту	1	1
511	наука и	1	1
512	друг с	1	1
513	х и	2	1
514	не будут	1	1
515	распадается на	1	1
516	когда и	1	1
517	духа с	1	1
518	гораздо более	1	1
519	чем было	1	1
520	верим в	1	1
521	и мир	1	1
522	по преимуществу	1	1
523	частях своих	1	1
524	и среди	1	1
525	на сторону	1	1
526	что каждая	1	1
527	очень далеко	1	1
528	д е	10	1
529	прийти к	1	1
530	в качестве	9	1
531	и через	1	1
532	в тот	2	1
533	здесь быть	1	1
534	жизни она	1	1
535	есть с	1	1
536	основная задача	1	1
537	духовную жизнь	2	1
538	сколько бы	2	1
539	весь мир	1	1
540	чем говорить	1	1
541	тем больше	1	1
542	во всей	2	1
543	определенном смысле	1	1
544	в полной	2	1
545	не о	2	1
546	как по	1	1
547	к миру	1	1
548	о х	2	1
549	на себя	1	1
550	к стремлению	1	1
551	происходит и	1	1
552	религиозные и	1	1
553	iii в	2	1
554	но нужно	1	1
555	следует понимать	1	1
