N	3gram	Bakhtin_Fr	Sovremen
1	с точки зрения	4	5
2	мы видели что	1	3
3	с самого начала	1	3
4	в свою очередь	3	2
5	то же самое	1	2
6	во всяком случае	1	2
7	не подлежит сомнению	1	2
8	в настоящее время	1	2
9	и все те	1	1
10	подлежит никакому сомнению	1	1
11	по самому своему	1	1
12	есть не что	1	1
13	все же в	1	1
14	самому своему существу	1	1
15	через все стадии	1	1
16	что в каждом	1	1
17	таким образом все	2	1
18	понимают все те	1	1
19	так сказать классический	1	1
20	в том что	4	1
21	на самом деле	1	1
22	и до сих	1	1
23	как и во	1	1
24	до сих пор	3	1
25	одной стороны и	1	1
26	до наших дней	2	1
27	в свое время	2	1
28	в новое время	1	1
29	но уже в	2	1
30	лишь там где	1	1
31	не что иное	1	1
32	в предыдущей главе	2	1
33	в связи с	2	1
34	в самом деле	3	1
35	дело в том	2	1
36	на другой день	1	1
37	и благодаря этому	2	1
38	а в конце	1	1
39	это как бы	1	1
40	как мы видим	5	1
41	той или иной	1	1
42	вместе с ним	1	1
43	что иное как	1	1
44	в данном случае	1	1
45	прежде всего мы	1	1
46	видели что это	1	1
47	и во всей	1	1
48	но все же	1	1
49	мы уже знаем	1	1
50	не подлежит никакому	1	1
51	и прежде всего	2	1
52	уже знаем что	1	1
53	с одной стороны	3	1
54	мы не знаем	1	1
55	со всеми его	3	1
56	со всеми ее	1	1
57	по аналогии с	1	1
58	то же время	12	1
59	по отношению к	3	1
60	и может быть	1	1
61	никакому сомнению что	1	1
62	в то же	12	1
63	на этот вопрос	1	1
64	и в этом	1	1
65	ведь это не	1	1
66	и есть то	2	1
67	можно было бы	2	1
68	в этом смысле	1	1
69	и вообще на	1	1
70	каждый раз он	1	1
71	в себе в	1	1
72	мы видим что	2	1
