N	2gram	Losev_Dial	ViktorSh
1	конце концов	1	2
2	в конце	2	2
3	и в	34	2
4	в том	17	2
5	том что	18	2
6	все время	4	1
7	но это	10	1
8	одно и	6	1
9	том же	1	1
10	их как	1	1
11	по существу	2	1
12	ведь это	2	1
13	и сводится	3	1
14	хочу сказать	2	1
15	в самом	9	1
16	как же	9	1
17	знания без	1	1
18	без знания	4	1
19	а только	2	1
20	то я	1	1
21	именно в	5	1
22	что сами	1	1
23	все то	1	1
24	ни к	3	1
25	имеется в	5	1
26	самом деле	7	1
27	но разве	2	1
28	ясно что	16	1
29	говоря о	3	1
30	в частности	3	1
31	и то	7	1
32	так в	2	1
33	крайней мере	10	1
34	и мало	1	1
35	не хочу	1	1
36	вращаясь в	1	1
37	то чего	1	1
38	и его	8	1
39	даже не	8	1
40	к чему	2	1
41	своим словесным	1	1
42	бы уже	1	1
43	на одном	1	1
44	хотя бы	9	1
45	и положения	1	1
46	с головой	1	1
47	далеко не	1	1
48	тем более	5	1
49	по крайней	10	1
50	в которых	1	1
51	ибо никакой	1	1
52	к этому	3	1
53	только в	10	1
54	одном и	1	1
55	потому что	21	1
56	это далеко	1	1
57	уже известно	1	1
58	в их	2	1
59	все дело	1	1
60	оно с	1	1
61	и только	6	1
62	то же	9	1
63	чего не	7	1
64	и не	50	1
65	гораздо более	1	1
66	я не	11	1
67	да и	4	1
68	в этом	14	1
69	так как	12	1
70	все это	13	1
71	же две	1	1
72	совершенно ясно	2	1
73	в устах	1	1
