N	3gram	Vygotskiy_	VeschiIm
1	и т д	6	38
2	это значит что	2	25
3	не может быть	3	24
4	не что иное	1	12
5	что иное как	1	12
6	в том что	20	9
7	в самом деле	29	7
8	на то что	16	7
9	по сравнению с	1	7
10	ни в каком	2	6
11	с точки зрения	11	6
12	то и другое	3	6
13	так или иначе	1	6
14	в свою очередь	3	5
15	и то же	3	5
16	и то что	3	5
17	не потому что	1	5
18	одно и то	3	5
19	подобно тому как	1	5
20	о том как	3	4
21	то время как	3	4
22	что в ней	3	4
23	от того что	1	4
24	то что является	1	4
25	этой точки зрения	2	4
26	с этой точки	2	4
27	в то время	4	4
28	более или менее	1	4
29	сам по себе	2	4
30	ли это что	1	4
31	в каком случае	1	4
32	не только не	3	4
33	о том что	8	4
34	это и есть	2	4
35	это и значит	1	4
36	потому что они	2	4
37	мы видели что	2	3
38	вместе с тем	3	3
39	что это есть	2	3
40	указывает на то	4	3
41	заключается в том	10	3
42	и ничем не	1	3
43	можно сказать что	1	3
44	свидетельствует о том	1	3
45	если бы я	1	3
46	из того что	1	3
47	сами по себе	3	3
48	она не может	2	3
49	мы не можем	2	3
50	можно было бы	6	3
51	есть как бы	1	3
52	так что в	1	3
53	от всех прочих	1	3
54	только то что	3	3
55	с одной стороны	6	3
56	то что мы	3	3
57	с другой стороны	5	3
58	то это значит	1	3
59	так же как	2	2
60	но это значит	1	2
61	то что он	3	2
62	в одном и	1	2
63	все то что	13	2
64	на действительность и	1	2
65	каком случае не	1	2
66	заключается не в	2	2
67	мы находим в	1	2
68	и когда она	2	2
69	а не к	1	2
70	в применении к	1	2
71	мы видим что	7	2
72	бы сказать что	1	2
73	дело не с	1	2
74	в данном случае	5	2
75	как раз к	1	2
76	в том чтобы	2	2
77	что в результате	1	2
78	так как мы	2	2
79	не имеет никакого	3	2
80	было бы сказать	2	2
81	она могла бы	1	2
82	она должна быть	3	2
83	для того чтобы	17	2
84	но если вы	1	2
85	это не есть	1	2
86	и что она	2	2
87	то что оно	1	2
88	друг с другом	2	2
89	и в конце	2	2
90	том что он	3	2
91	сказать что оно	1	2
92	и в частности	1	2
93	не есть еще	1	2
94	в том или	1	2
95	в первом случае	1	2
96	как раз в	3	2
97	и таким образом	1	2
98	никакого отношения к	1	2
99	хотя бы в	1	2
100	она может быть	1	2
101	как бы его	2	2
102	к тому что	5	2
103	но все же	1	2
104	что то же	1	2
105	есть не просто	1	2
106	во всяком случае	6	2
107	в этом отношении	1	2
108	и в этом	6	2
109	а не только	1	2
110	не мог бы	1	2
111	в этом и	1	2
112	в основе своей	1	2
113	мы все же	1	1
114	что он не	4	1
115	не может понять	1	1
116	что она была	1	1
117	и как раз	1	1
118	она отличается от	1	1
119	таким же точно	1	1
120	ни от кого	1	1
121	видно уже из	1	1
122	и что эти	1	1
123	и как бы	2	1
124	кроме того что	2	1
125	т д все	1	1
126	как будто бы	1	1
127	что она не	1	1
128	совершенно верно что	1	1
129	не только то	1	1
130	самая что и	1	1
131	том что это	1	1
132	получится если мы	1	1
133	но тот же	1	1
134	что мы воспринимаем	1	1
135	с и в	3	1
136	никак не может	3	1
137	том смысле что	1	1
138	в той же	2	1
139	прежде всего на	1	1
140	что она отличается	1	1
141	и может быть	3	1
142	прямо говорит что	1	1
143	ни к какому	1	1
144	в том смысле	2	1
145	которой ничего не	1	1
146	ясно что каждый	1	1
147	едва ли можно	1	1
148	не в этом	1	1
149	не к чему	1	1
150	здесь не только	1	1
151	что оно не	1	1
152	самом деле в	1	1
153	на такое же	1	1
154	когда речь идет	1	1
155	то или иное	1	1
156	что тут не	1	1
157	ни в какой	2	1
158	и вот это	1	1
159	ясно что это	1	1
160	взятый сам по	1	1
161	вовсе не какой-нибудь	1	1
162	один и тот	1	1
163	та и другая	2	1
164	и в самом	15	1
165	дело не в	1	1
166	что не только	1	1
167	еще не вполне	1	1
168	то что в	5	1
169	и для всякой	1	1
170	как равно и	1	1
171	это относится не	1	1
172	с которой мы	1	1
173	и во всех	2	1
174	и не было	1	1
175	и что это	2	1
176	непосредственного отношения к	1	1
177	есть в сущности	1	1
178	собой если же	1	1
179	только в том	5	1
180	и что все	1	1
181	она и не	1	1
182	было так то	1	1
183	если мы хотим	1	1
184	и тот же	1	1
185	если бы оно	1	1
186	была бы совершенно	2	1
187	не в том	2	1
188	потому что она	1	1
189	и мы увидим	2	1
190	всякий знает что	1	1
191	тот же самый	1	1
192	надо было бы	3	1
193	но это только	1	1
194	дело вовсе не	1	1
195	что у него	2	1
196	мы будем говорить	1	1
197	случае не может	1	1
198	так как она	1	1
199	но совершенно ясно	2	1
200	и то и	3	1
201	не было бы	2	1
202	указание на то	1	1
203	то что можно	1	1
204	до сих пор	6	1
205	когда он говорит	2	1
206	можно формулировать так	2	1
207	одного и того	1	1
208	мы переходим к	1	1
209	того что в	1	1
210	и здесь мы	1	1
211	что она и	1	1
212	потому что только	1	1
213	таким образом и	1	1
214	с этой стороны	1	1
215	смысле этого слова	5	1
216	потому что он	3	1
217	таким образом что	2	1
218	что все эти	2	1
219	речь идет о	5	1
220	с но и	1	1
221	один из самых	1	1
222	тем же самым	1	1
223	и ничего не	1	1
224	я только что	1	1
225	и вместе с	3	1
226	но только в	1	1
227	не иначе как	1	1
228	к которым они	1	1
229	и того же	1	1
230	в этом случае	1	1
231	уже это одно	3	1
232	а в том	1	1
233	и значит быть	1	1
234	от жизни и	1	1
235	каждой из них	1	1
236	по самому своему	1	1
237	и в той	1	1
238	ясно что смысл	1	1
239	представьте себе что	1	1
240	и сказать что	1	1
241	в зависимости от	1	1
242	и есть в	1	1
243	и есть действительность	1	1
244	на это я	1	1
245	что такое понимание	1	1
246	по себе и	1	1
247	тем что она	1	1
248	то что для	1	1
249	по существу и	1	1
250	с тем что	3	1
251	как не в	1	1
252	я позволю себе	1	1
253	ясно что и	1	1
254	в ней есть	1	1
255	на то чтобы	2	1
256	то же самое	12	1
257	и все же	1	1
258	говорит что все	1	1
259	смысл не только	1	1
260	и каждое слово	1	1
261	не имеют никакого	1	1
262	что же эти	1	1
263	то обстоятельство что	1	1
264	что несмотря на	1	1
265	несмотря на все	1	1
266	и что он	1	1
267	вместо того чтобы	3	1
268	я не могу	3	1
269	который вполне может	1	1
270	но в этом	1	1
271	свой смысл и	1	1
272	он говорит о	1	1
273	не то что	4	1
274	по его мнению	1	1
275	д все это	1	1
276	но так как	1	1
277	он все же	1	1
278	и не надо	1	1
279	это было бы	2	1
280	те или иные	1	1
281	о котором я	3	1
282	или хотя бы	1	1
283	есть в основе	1	1
284	и заставляет нас	2	1
285	котором я говорю	1	1
286	точки зрения которую	1	1
287	новые и новые	1	1
288	и не может	1	1
289	есть все то	1	1
290	вовсе не в	2	1
291	а также и	1	1
292	может быть и	1	1
