N	4gram	Medvedev_V	slovoVRo
1	в то же время	5	18
2	в той или иной	1	13
3	но в то же	1	7
4	и в то же	3	6
5	с одной стороны и	2	4
6	большей или меньшей степени	2	4
7	в большей или меньшей	2	4
8	в этом случае она	1	4
9	никогда не может быть	1	3
10	и т п все	1	3
11	одно и то же	1	3
12	с этой точки зрения	1	2
13	в точном смысле слова	2	2
14	и не может быть	2	2
15	и т п эти	1	2
16	в то время как	1	2
17	т п все это	1	2
18	до сих пор не	1	2
19	именно в том что	1	1
20	если бы он был	1	1
21	в том случае если	1	1
22	с большей или меньшей	1	1
23	и в зависимости от	1	1
24	а в том что	1	1
25	и т п это	1	1
26	нет и не может	1	1
27	может быть включен в	1	1
28	этой проблемы в плане	1	1
29	как если бы он	1	1
30	хотя бы и не	2	1
31	в том числе и	2	1
32	в том что оно	1	1
33	на то или иное	1	1
34	имеем в виду не	1	1
35	но с другой стороны	1	1
36	никак не могут быть	1	1
37	не обязательно должен быть	1	1
38	но все же и	1	1
39	одну и ту же	1	1
40	так же как и	1	1
41	прямо и непосредственно как	1	1
