N	2gram	Vinokur_Ku	UchenyiS
1	и в	44	14
2	не только	29	10
3	а не	17	10
4	и не	23	8
5	прежде всего	14	8
6	то что	14	7
7	вот почему	1	7
8	в этом	31	7
9	не может	13	7
10	может быть	25	6
11	в искусстве	2	6
12	перестает быть	1	5
13	хотя бы	19	5
14	то же	12	5
15	и только	2	5
16	все это	10	5
17	в конечном	3	4
18	с другой	14	4
19	в этой	8	4
20	в россии	1	4
21	конечном счете	2	4
22	конечно не	3	4
23	что такое	8	4
24	но и	13	4
25	в их	3	4
26	к сожалению	2	3
27	бы то	1	3
28	было бы	28	3
29	и то	7	3
30	только к	2	3
31	как такового	2	3
32	этой области	3	3
33	для этого	6	3
34	очевидно что	4	3
35	это не	13	3
36	как и	3	3
37	то ни	2	3
38	вряд ли	5	3
39	для него	2	3
40	формы в	2	3
41	в своей	4	3
42	все же	17	3
43	ни было	1	3
44	в области	15	3
45	в частности	6	3
46	в то	4	3
47	не как	2	3
48	у нас	19	3
49	пришлось бы	2	3
50	другой стороны	12	3
51	не следует	6	3
52	но в	11	3
53	же время	4	3
54	этого термина	4	2
55	все они	1	2
56	таким образом	17	2
57	в самом	20	2
58	если не	4	2
59	же не	1	2
60	не приходится	2	2
61	материал для	1	2
62	в противном	2	2
63	могли бы	4	2
64	его и	1	2
65	если бы	21	2
66	самом деле	17	2
67	могут быть	5	2
68	не в	18	2
69	это было	2	2
70	бы и	6	2
71	и с	11	2
72	в противовес	3	2
73	до сих	5	2
74	одним из	2	2
75	крайней мере	11	2
76	как таковой	2	2
77	но не	11	2
78	по существу	9	2
79	мы и	1	2
80	тем что	9	2
81	как принцип	1	2
82	более чем	1	2
83	в себе	4	2
84	в его	16	2
85	в конце	5	2
86	даже и	5	2
87	должна быть	6	2
88	мы не	1	2
89	мы получаем	2	2
90	сколько угодно	2	2
91	именно как	1	2
92	ничего не	6	2
93	всех этих	4	2
94	между тем	11	2
95	приемов и	3	2
96	что она	5	2
97	не есть	4	2
98	что он	7	2
99	в широком	2	2
100	конце концов	3	2
101	на эту	2	2
102	этом отношении	8	2
103	противном случае	2	2
104	о чем	2	2
105	фактов и	2	2
106	как раз	10	2
107	композиции и	1	2
108	а его	1	2
109	в некоторых	1	2
110	тех или	1	2
111	пишет он	4	2
112	не могут	5	2
113	а как	1	2
114	что мы	6	2
115	сводится к	3	2
116	в буквальном	2	2
117	в том	47	2
118	это уже	1	2
119	том что	30	2
120	или иных	1	2
121	с проблемой	2	2
122	нас в	1	2
123	но это	4	2
124	этом смысле	8	2
125	но даже	3	2
126	и для	3	2
127	в системе	3	2
128	и является	4	2
129	что и	5	2
130	в сторону	2	2
131	не столько	2	2
132	меньшей степени	2	2
133	не случайно	7	2
134	к голому	1	2
135	смысле этого	5	2
136	с его	4	2
137	и у	3	2
138	превращается в	4	2
139	на первый	1	2
140	сих пор	5	2
141	по крайней	11	2
142	только в	15	2
143	по себе	10	2
144	что все	6	2
145	не все	4	2
146	вопроса о	7	2
147	но конечно	1	2
148	и исторические	1	1
149	еще один	3	1
150	и форм	1	1
151	раз обратное	1	1
152	в той	6	1
153	и исторически	1	1
154	литературы в	1	1
155	было и	1	1
156	в г	3	1
157	признать что	1	1
158	так то	1	1
159	что было	2	1
160	что в	25	1
161	к лицу	1	1
162	чем к	1	1
163	с которыми	1	1
164	иначе говоря	2	1
165	не было	6	1
166	так или	3	1
167	бы только	1	1
168	и даже	5	1
169	связанных с	2	1
170	возражать против	1	1
171	она все	1	1
172	именно такой	1	1
173	более или	3	1
174	но тут	1	1
175	говорит он	1	1
176	всего что	2	1
177	первую очередь	3	1
178	и потому	6	1
179	и творчество	1	1
180	столько же	1	1
181	буквальном смысле	1	1
182	но он	2	1
183	этом случае	4	1
184	единицы и	1	1
185	образом на	1	1
186	в свое	4	1
187	в которой	7	1
188	такое понимание	1	1
189	не самый	1	1
190	имеем в	1	1
191	можно сказать	6	1
192	несомненно что	1	1
193	этого не	5	1
194	или меньшей	2	1
195	мы можем	2	1
196	бы послужить	1	1
197	что же	11	1
198	или иначе	4	1
199	в данном	8	1
200	элементарным и	1	1
201	все его	1	1
202	иначе связанные	1	1
203	история литературы	2	1
204	что ему	1	1
205	он уже	1	1
206	как таковая	1	1
207	применение в	1	1
208	приобретая все	1	1
209	еще раз	2	1
210	нет и	1	1
211	и революция	2	1
212	наука о	3	1
213	как на	4	1
214	его форма	1	1
215	есть наука	2	1
216	быть не	2	1
217	только одним	1	1
218	и все	4	1
219	объекта и	1	1
220	которые могли	1	1
221	историю литературы	1	1
222	что этот	2	1
223	содержание и	5	1
224	из самых	1	1
225	звуковой формы	1	1
226	все элементы	1	1
227	только более	1	1
228	же как	3	1
229	к простому	1	1
230	но нам	1	1
231	сказать что	5	1
232	в сфере	3	1
233	к следующему	1	1
234	в процессе	1	1
235	от вопроса	1	1
236	достоевского и	2	1
237	данном случае	2	1
238	является наиболее	1	1
239	речи в	7	1
240	его как	1	1
241	тезис о	1	1
242	него не	1	1
243	но для	4	1
244	один пример	3	1
245	свое место	2	1
246	этот процесс	1	1
247	и др	1	1
248	и содержание	1	1
249	своем месте	1	1
250	когда нужно	1	1
251	это много	1	1
252	очень часто	2	1
253	и индивидуального	1	1
254	не имеется	1	1
255	того как	6	1
256	переходит в	2	1
257	отсюда и	1	1
258	в таком	3	1
259	но прежде	1	1
260	тех кто	2	1
261	то и	4	1
262	которое мы	1	1
263	этот и	1	1
264	и свое	3	1
265	она не	1	1
266	быть в	2	1
267	как науки	1	1
268	смысле и	2	1
269	но именно	1	1
270	до конца	3	1
271	и стилистических	1	1
272	таком понимании	1	1
273	в своем	4	1
274	тогда когда	7	1
275	с тем	5	1
276	поэтики и	1	1
277	для себя	1	1
278	только как	3	1
279	что только	2	1
280	в последние	1	1
281	является с	1	1
282	ал блока	1	1
283	пройти мимо	1	1
284	еще одно	3	1
285	одной стороны	2	1
286	и стилистики	1	1
287	уже значительно	1	1
288	именно к	1	1
289	относится к	3	1
290	мы имеем	11	1
291	не без	1	1
292	но также	6	1
293	от слова	3	1
294	то содержание	1	1
295	тому чтобы	2	1
296	гораздо больше	1	1
297	и спорить	1	1
298	их в	1	1
299	же в	5	1
300	не для	2	1
301	он может	1	1
302	в ней	6	1
303	или даже	2	1
304	быть материалом	1	1
305	л толстой	1	1
306	вообще во	1	1
307	но что	3	1
308	теории и	1	1
309	даже не	1	1
310	и так	1	1
311	это для	1	1
312	же остается	2	1
313	язык в	7	1
314	это значит	1	1
315	место и	1	1
316	он называет	1	1
317	себе известное	1	1
318	литературы а	1	1
319	а это	5	1
320	пушкин и	2	1
321	связанные с	3	1
322	в период	1	1
323	к вопросам	1	1
324	на то	6	1
325	он и	1	1
326	есть язык	4	1
327	которой и	2	1
328	случайно и	1	1
329	но если	2	1
330	в большей	2	1
331	это же	1	1
332	не значит	2	1
333	сам по	1	1
334	только для	3	1
335	словами как	1	1
336	не столь	1	1
337	сюда же	3	1
338	в которых	8	1
339	по мнению	1	1
340	к этому	4	1
341	большей или	2	1
342	так и	10	1
343	обе эти	4	1
344	к проблеме	1	1
345	о нем	2	1
346	что с	2	1
347	сам автор	1	1
348	из которых	3	1
349	это в	1	1
350	ее в	2	1
351	случае все	1	1
352	поэзии и	1	1
353	в современном	3	1
354	отнюдь не	5	1
355	теории словесности	1	1
356	находятся в	1	1
357	этих слов	1	1
358	и вся	1	1
359	часто бывает	1	1
