N	2gram	Potebnia_M	SlovoVZh
1	не может	30	16
2	может быть	47	14
3	точки зрения	8	14
4	как бы	12	13
5	и его	7	13
6	таким образом	21	12
7	и в	58	12
8	отношению к	13	11
9	по отношению	15	11
10	в нашем	2	11
11	и не	34	10
12	так как	29	9
13	если бы	23	9
14	прежде всего	8	8
15	для нас	29	7
16	сказать что	5	7
17	в ней	9	6
18	слова и	7	6
19	в том	38	6
20	в процессе	1	6
21	только в	36	6
22	в нем	26	6
23	при этом	17	6
24	и др	1	5
25	можно сказать	1	5
26	что мы	11	5
27	хотя бы	4	5
28	должна быть	4	5
29	то же	13	5
30	поэтическое произведение	1	5
31	а не	38	5
32	в виду	2	5
33	то что	24	5
34	мы ни	1	5
35	в жизни	5	5
36	как и	16	5
37	как в	18	5
38	том что	21	5
39	и следовательно	4	5
40	но в	12	5
41	никогда не	7	5
42	в самом	5	4
43	и на	8	4
44	не только	32	4
45	ни было	4	4
46	на самом	2	4
47	как если	1	4
48	за пределы	4	4
49	от того	9	4
50	его в	3	4
51	с другой	13	4
52	не в	23	4
53	дело в	3	4
54	отношение к	1	4
55	что не	15	4
56	так и	17	4
57	уже не	4	4
58	жизни и	3	4
59	в этом	18	4
60	все же	11	4
61	зависимости от	1	4
62	к нему	2	4
63	бы то	2	3
64	как к	1	3
65	и с	3	3
66	ее и	1	3
67	находит свое	1	3
68	до сих	5	3
69	это как	1	3
70	и более	3	3
71	в котором	5	3
72	и по	8	3
73	мы не	17	3
74	то ни	3	3
75	или не	3	3
76	между тем	7	3
77	для него	13	3
78	отношении к	1	3
79	с ним	7	3
80	того что	15	3
81	и уже	6	3
82	когда он	1	3
83	тем не	11	3
84	в некоторых	4	3
85	имеет в	1	3
86	все это	3	3
87	он должен	2	3
88	ни в	2	3
89	сколько бы	1	3
90	конечно не	1	3
91	по себе	24	3
92	так же	7	3
93	в них	7	3
94	из общего	1	3
95	в каком	7	3
96	в творчестве	1	3
97	этой точки	2	3
98	самом деле	2	3
99	только на	4	3
100	но для	1	3
101	в себе	22	3
102	слово в	2	3
103	произведения и	1	3
104	все эти	3	3
105	о том	6	3
106	в своей	3	3
107	здесь не	2	3
108	не менее	10	3
109	из этого	2	3
110	и проч	11	3
111	в такой	2	3
112	нуждается в	2	3
113	слово так	1	3
114	да и	1	3
115	но и	26	3
116	бы мы	1	3
117	и для	8	3
118	и ее	1	3
119	сих пор	5	3
120	и вообще	5	3
121	не к	1	3
122	еще не	9	3
123	в особенности	1	2
124	что в	34	2
125	этих двух	1	2
126	все они	3	2
127	нет ничего	2	2
128	перестает быть	3	2
129	слова так	3	2
130	но это	7	2
131	не так	6	2
132	и потому	7	2
133	действия и	1	2
134	вместе со	3	2
135	и другие	1	2
136	ни на	1	2
137	какой степени	1	2
138	и то	4	2
139	мы можем	10	2
140	влияние на	4	2
141	и самое	3	2
142	в данном	1	2
143	в душе	28	2
144	в то	6	2
145	некоторых языках	1	2
146	которые мы	7	2
147	сливается с	1	2
148	к слову	1	2
149	зависит от	6	2
150	с одной	7	2
151	совпадает с	1	2
152	уже в	5	2
153	там где	8	2
154	в его	7	2
155	с этой	3	2
156	она не	3	2
157	это не	10	2
158	одной стороны	6	2
159	относится к	5	2
160	дело с	2	2
161	с точки	4	2
162	мы имеем	1	2
163	и дает	1	2
164	была бы	3	2
165	остаются вне	2	2
166	словом и	2	2
167	с чисто	1	2
168	на него	6	2
169	тем как	3	2
170	тогда когда	15	2
171	в себя	2	2
172	в формах	3	2
173	и слово	2	2
174	но тем	6	2
175	как это	1	2
176	те же	4	2
177	но все	4	2
178	от этой	1	2
179	мы в	2	2
180	если же	5	2
181	одно и	1	2
182	и та	1	2
183	из него	3	2
184	и что	13	2
185	что и	16	2
186	в отношении	1	2
187	другой стороны	7	2
188	этой стороны	1	2
189	и вполне	2	2
190	но что	2	2
191	как не	4	2
192	в этих	10	2
193	следовательно только	1	2
194	есть уже	4	2
195	тому же	1	2
196	связь с	2	2
197	оно не	4	2
198	бы даже	2	2
199	а к	1	2
200	как же	1	2
201	и притом	6	2
202	форма в	1	2
203	ко всем	4	2
204	соприкасается с	1	2
205	на это	2	2
206	имеем в	1	2
207	для других	2	2
208	к ним	3	2
209	и здесь	1	2
210	как на	5	2
211	слова но	4	2
212	и все	6	2
213	но не	19	2
214	общего с	3	2
215	быть только	7	2
216	его как	1	2
217	допустим что	2	2
218	не есть	13	2
219	могут быть	17	2
220	значения и	1	2
221	с другими	3	2
222	стороны и	3	2
223	в своем	3	2
224	за его	1	2
225	в какой	2	2
226	имеет место	4	2
227	вместе с	12	2
228	между ними	2	2
229	место в	3	2
230	в зависимости	1	2
231	может стать	3	2
232	такой же	4	2
233	и так	1	2
234	можем сказать	1	2
235	со словом	4	2
236	с его	3	2
237	они ни	2	2
238	себя и	3	2
239	на все	5	2
240	его к	3	2
241	известной степени	1	2
242	к этому	3	2
243	бы не	11	2
244	основного тона	1	2
245	он не	4	2
246	в условиях	1	2
247	независимо от	15	2
248	что слово	5	2
249	в чем	6	2
250	делает его	1	2
251	и совершенно	2	2
252	но мы	3	2
253	словами и	1	2
254	как только	1	2
255	едва ли	1	2
256	ничего не	2	2
257	жизнью и	1	2
258	более того	1	2
259	такой взгляд	2	1
260	все в	2	1
261	все стороны	1	1
262	его бытием	1	1
263	на которую	3	1
264	к одному	3	1
265	это на	1	1
266	остается в	1	1
267	себе в	2	1
268	то в	6	1
269	грамматических форм	1	1
270	во всяком	9	1
271	нам не	2	1
272	от него	8	1
273	что давно	1	1
274	что они	6	1
275	его и	1	1
276	находящееся в	1	1
277	является в	1	1
278	но можно	1	1
279	то он	2	1
280	случае оно	2	1
281	во всех	12	1
282	не зная	3	1
283	проч и	1	1
284	восприятия и	3	1
285	до степени	1	1
286	только из	3	1
287	слово есть	1	1
288	поэтому не	1	1
289	только к	1	1
290	если оно	1	1
291	для говорящих	1	1
292	представителей этой	1	1
293	что оно	5	1
294	к другу	1	1
295	этой задачи	1	1
296	для какой	1	1
297	мы могли	1	1
298	та же	1	1
299	бы показать	1	1
300	было в	1	1
301	с самого	5	1
302	дано в	1	1
303	воздействуя на	1	1
304	зрения на	1	1
305	образом мы	3	1
306	же то	2	1
307	приближается к	2	1
308	его форме	1	1
309	в обществе	3	1
310	друг к	1	1
311	отношения которые	1	1
312	чистоту и	1	1
313	так можно	1	1
314	которой было	1	1
315	на эти	1	1
316	на этом	3	1
317	собственной внутренней	1	1
318	не отвечает	1	1
319	другие области	1	1
320	мы воспринимаем	1	1
321	не имеют	7	1
322	можно подумать	1	1
323	то есть	69	1
324	предметы и	1	1
325	дает место	1	1
326	как одно	1	1
327	всех языках	1	1
328	языка в	6	1
329	не нужен	2	1
330	это последнее	6	1
331	должно быть	9	1
332	мы уже	1	1
333	к одной	3	1
334	нас не	1	1
335	значение и	4	1
336	мы увидим	3	1
337	что называется	1	1
338	даже и	4	1
339	и того	6	1
340	предмет в	1	1
341	все остальные	9	1
342	от нее	6	1
343	группы к	1	1
344	внешнему миру	1	1
345	в произведении	1	1
346	но при	3	1
347	и слушающего	1	1
348	она могла	2	1
349	исключительно при	1	1
350	в свою	8	1
351	входит в	1	1
352	только как	5	1
353	случае мы	1	1
354	что уже	1	1
355	того чтобы	4	1
356	не должен	1	1
357	сознание и	1	1
358	определенным образом	1	1
359	себе общий	1	1
360	и их	6	1
361	одна и	1	1
362	его содержание	2	1
363	еще более	2	1
364	не должно	2	1
365	ту же	1	1
366	степень его	1	1
367	в другом	3	1
368	нам совершенно	1	1
369	а из	1	1
370	такой степени	2	1
371	тому как	8	1
372	как перед	1	1
373	несмотря на	5	1
374	но то	1	1
375	но эти	4	1
376	на что	3	1
377	что собственно	1	1
378	и должна	1	1
379	это часто	1	1
380	признать что	1	1
381	в теории	2	1
382	нем находит	1	1
383	к общему	4	1
384	нашем же	1	1
385	во многих	5	1
386	на одно	1	1
387	для всего	1	1
388	что это	5	1
389	в противном	3	1
390	хотя и	6	1
391	и тогда	2	1
392	только его	1	1
393	и особенности	1	1
394	этом отношении	1	1
395	его внутренней	1	1
396	это уже	1	1
397	явления в	2	1
398	мы должны	4	1
399	на другое	1	1
400	в ее	2	1
401	и тем	5	1
402	кажется что	1	1
403	остается только	6	1
404	сам по	5	1
405	становятся все	1	1
406	проникает в	1	1
407	какой бы	1	1
408	один шаг	1	1
409	бы только	2	1
410	нашего времени	1	1
411	для нее	4	1
412	какие именно	1	1
413	не как	4	1
414	аналогии с	1	1
415	только отдельные	2	1
416	другой только	1	1
417	увидим что	4	1
418	и вся	1	1
419	в слово	2	1
420	два человека	1	1
421	должны быть	11	1
422	же нам	1	1
423	есть форма	1	1
424	потому не	1	1
425	всех других	1	1
426	и грамматических	2	1
427	в субъект	1	1
428	то мы	4	1
429	произведения остаются	1	1
430	в науке	1	1
431	содержание в	1	1
