N	3gram	Kanaev_Sov	FransuaR
1	то же время	1	55
2	в то же	1	55
3	в том что	1	27
4	до сих пор	1	27
5	с точки зрения	5	20
6	в связи с	1	16
7	и прежде всего	1	14
8	не может быть	4	13
9	дело в том	1	13
10	с одной стороны	1	13
11	на самом деле	1	13
12	и в то	1	12
13	в отличие от	2	11
14	той или иной	1	10
15	до наших дней	1	10
16	в данном случае	1	10
17	мы видим что	1	9
18	по отношению к	1	9
19	в свое время	1	9
20	мы видели что	3	8
21	в самом деле	1	7
22	можно было бы	1	7
23	в настоящее время	2	7
24	не подлежит сомнению	2	7
25	как мы видим	1	7
26	но все же	1	6
27	и во всех	1	6
28	в свою очередь	2	6
29	и до сих	1	6
30	в новое время	1	6
31	с самого начала	3	6
32	одной стороны и	1	5
33	это как бы	1	5
34	подлежит никакому сомнению	1	5
35	друг с другом	2	5
36	то же самое	2	5
37	со всеми его	1	5
38	во всяком случае	2	5
39	и тот же	1	5
40	не подлежит никакому	1	5
41	все же в	1	5
42	прежде всего необходимо	1	5
43	и той же	1	4
44	никакому сомнению что	1	4
45	таким образом все	1	4
46	на этот вопрос	1	4
47	так же как	1	4
48	может быть и	2	4
49	одной и той	1	4
50	и не может	1	4
51	и во всей	1	4
52	один и тот	1	4
53	в предыдущей главе	1	3
54	во всех деталях	1	3
55	ровно ничего не	1	3
56	как и во	1	3
57	в себе в	1	3
58	не дает нам	1	3
59	в этом смысле	1	3
60	есть не что	1	3
61	бы то ни	1	3
62	и в этом	1	3
63	не что иное	1	3
64	все эти три	1	3
65	что иное как	1	3
66	может быть в	1	2
67	и благодаря этому	1	2
68	быть и речи	1	2
69	мы уже знаем	1	2
70	совершенно так же	1	2
71	видели что это	1	2
72	уже знаем что	1	2
73	только на его	1	2
74	но мы уже	1	2
75	то ни было	1	2
76	мы должны еще	1	2
77	на другой день	1	2
78	и может быть	1	2
79	так как он	2	2
80	еще раз подчеркнуть	1	2
81	и в начале	1	2
82	но уже в	1	2
83	не могут быть	1	2
84	в конечном счете	1	2
85	и есть то	1	2
86	может быть только	1	2
87	мы знаем что	1	2
88	все более и	1	2
89	прежде всего мы	1	2
90	в известном смысле	1	2
91	с помощью которых	2	2
92	какой бы то	1	2
93	и не было	1	2
94	со всеми ее	1	2
95	более и более	1	2
96	и в настоящее	1	2
97	что дело идет	1	2
98	под углом зрения	1	2
99	и та же	1	2
100	мы не знаем	1	2
101	в этом случае	1	2
102	сказать несколько слов	1	2
103	одна и та	1	2
104	мы не можем	6	2
105	как одной из	1	2
106	ни о каком	1	2
107	что в каждом	1	1
108	но ведь это	1	1
109	громадную роль играет	1	1
110	что в ней	1	1
111	что все они	1	1
112	и его представители	1	1
113	и все те	1	1
114	но все эти	1	1
115	понимают все те	1	1
116	сих пор в	1	1
117	можно наблюдать на	1	1
118	но если мы	1	1
119	и по его	1	1
120	и что она	1	1
121	она и не	1	1
122	они не могут	1	1
123	что при таком	1	1
124	в обоих случаях	1	1
125	и вообще на	1	1
126	самому своему существу	1	1
127	так сказать классический	1	1
128	ведь это то	1	1
129	на этот раз	1	1
130	необходимо сказать несколько	1	1
131	течение нескольких дней	1	1
132	таким образом он	1	1
133	его и не	1	1
134	ведь это не	1	1
135	же самое что	1	1
136	тем же законам	1	1
137	а в конце	1	1
138	и могут быть	1	1
139	вместе с ним	1	1
140	в науке и	1	1
141	свобода по отношению	1	1
142	это то же	1	1
143	в заключение нужно	1	1
144	та самая которая	1	1
145	у нас есть	1	1
146	стадии своего развития	1	1
147	должны еще раз	1	1
148	каждый раз он	1	1
149	в одном случае	1	1
150	через все стадии	1	1
151	по самому своему	1	1
152	раз подчеркнуть что	1	1
153	случае не подлежит	1	1
154	в дальнейшем мы	1	1
155	оно может быть	1	1
156	нет и ни	1	1
157	и еще более	1	1
158	из этих двух	1	1
159	тем не менее	2	1
160	и пр но	1	1
161	в начале нашего	1	1
162	не в том	1	1
163	сами по себе	1	1
164	в течение нескольких	1	1
165	в том случае	1	1
166	только один смысл	1	1
167	в зависимости от	4	1
168	с помощью которой	1	1
169	не может дать	1	1
170	раз и навсегда	1	1
171	по аналогии с	1	1
172	на две клетки	1	1
173	его таким образом	1	1
174	на этой стадии	1	1
175	может быть таким	1	1
176	как например при	1	1
177	образом одна из	1	1
178	вот пример такого	1	1
179	поэтому в дальнейшем	1	1
180	легла в основу	1	1
181	самом деле все	1	1
182	не является исключением	1	1
183	и ничего не	1	1
184	том что эта	1	1
185	лишь там где	1	1
186	и в новое	1	1
187	именно в том	1	1
188	у нас на	1	1
189	всяком случае не	1	1
190	но только не	1	1
191	в которой он	1	1
192	в этой области	1	1
