N	4gram	Tiupa_Narr	Istorich
1	не что иное как	2	11
2	с этой точки зрения	1	6
3	точно так же как	2	6
4	есть не что иное	1	5
5	состоит в том что	2	4
6	от отца к сыну	1	4
7	один и тот же	1	3
8	от тестя к зятю	1	3
9	бы то ни было	3	3
10	в том что он	1	2
11	но все же не	2	2
12	же как и в	1	2
13	дело в том что	1	2
14	в том числе и	4	2
15	но в таком случае	1	2
16	никогда не было и	1	1
17	отца к сыну а	1	1
18	в том что в	1	1
19	цикл инициации древнейшая основа	1	1
20	ничем не отличается от	1	1
21	мысль о том что	1	1
22	сам по себе а	1	1
23	не мог говорить и	1	1
24	и не могло быть	1	1
25	он не мог говорить	1	1
26	друг с другом и	1	1
27	мы имеем дело не	1	1
28	между жизнью и смертью	1	1
29	сами по себе они	1	1
30	мы имеем дело с	1	1
31	все же не все	2	1
32	какой бы то ни	1	1
33	их друг с другом	1	1
34	имеем дело не с	1	1
35	это все те же	2	1
36	в то же время	3	1
37	инициации древнейшая основа сказки	1	1
