N	4gram	Propp_Isto	Tvorches
1	дело в том что	2	4
2	не сами по себе	1	2
3	это не значит что	1	2
4	стоит обратить особое внимание	1	1
5	на самом же деле	1	1
6	не что иное как	3	1
7	но дело не в	1	1
8	содержит в себе ничего	1	1
9	сами по себе а	1	1
10	и т д и	2	1
11	ответ на этот вопрос	1	1
12	дело не только в	1	1
13	в соответствии с этим	1	1
14	отнюдь не означает что	1	1
15	вопрос о том не	1	1
16	в одном из вариантов	1	1
17	бы то ни было	2	1
18	и тем не менее	2	1
19	т д все это	1	1
20	и т д все	3	1
21	так же как и	1	1
22	возникает вопрос о том	1	1
23	не может быть назван	1	1
24	не содержит в себе	1	1
