N	4gram	Losev_Dial	Problemy
1	в то же время	7	26
2	но в то же	1	11
3	и в то же	3	7
4	в том что он	1	5
5	в то время как	2	3
6	и в этом смысле	2	3
7	одно и то же	8	3
8	одна и та же	5	2
9	но потому что она	1	2
10	в том и в	1	2
11	том и в другом	1	2
12	и в том и	1	2
13	мы можем сказать что	3	2
14	дело в том что	1	2
15	уже сама по себе	1	2
16	ни в чем не	1	2
17	и в этом отношении	1	2
18	он на самом деле	1	1
19	никогда не может быть	1	1
20	но в конце концов	1	1
21	это было так то	1	1
22	именно в том что	1	1
23	и до сих пор	1	1
24	в конце концов не	1	1
25	на самом же деле	2	1
26	само по себе не	1	1
27	именно с точки зрения	1	1
28	с одной стороны и	3	1
29	сознания можно было бы	1	1
30	не с точки зрения	2	1
31	в одних и тех	1	1
32	друг с другом что	1	1
33	на том или другом	1	1
34	и в нем нет	1	1
35	все более и более	1	1
36	что она уже не	1	1
37	он есть т е	1	1
38	уже само по себе	1	1
39	что на самом деле	1	1
40	в том что первая	1	1
41	с другой стороны эта	1	1
42	лишь с точки зрения	1	1
43	а в том что	1	1
44	о том что все	1	1
45	друг к другу как	1	1
46	не может и не	2	1
47	с точки зрения своей	1	1
48	то это вовсе не	1	1
49	но это не значит	1	1
50	и вместе с тем	1	1
51	одних и тех же	1	1
52	что в нем есть	2	1
53	можно было бы дать	1	1
54	тем не менее в	1	1
55	ни того ни другого	1	1
56	если бы это было	1	1
57	взаимоотношение внутреннего и внешнего	1	1
58	в одном месте и	1	1
59	иметь в виду что	2	1
60	все больше и больше	1	1
61	на самом деле это	1	1
62	все новые и новые	1	1
63	и в другом случае	1	1
64	сам по себе и	1	1
65	что это еще не	1	1
66	и есть то что	1	1
67	как более или менее	2	1
68	самом же деле он	1	1
69	не потому что она	2	1
70	несмотря на то что	2	1
71	как раз и показывает	1	1
72	вопрос о том что	1	1
73	так всегда и бывает	1	1
74	само по себе достаточно	1	1
75	и т д и	3	1
76	по себе не имеет	1	1
77	каково бы ни было	1	1
78	если бы не было	1	1
79	может и не должен	1	1
80	то же время как	1	1
81	так же как и	1	1
82	не в том что	1	1
83	бы это было так	1	1
84	по мере того как	1	1
85	до сих пор не	1	1
86	и т д но	2	1
87	что же это за	1	1
